Matchup,SF @ MIL
Pitcher,Kyle Harrison
Pitcher Team,MIL
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.2,206,0.206,0.252,0.291,0.085,1.03,3,0.52,6.8%,28.6%,29.6%,20.0%,14.5%,10.63,66.7%,7.3%,4.7%,28.9%,26.6%,5.9%,20.3%
vsLHB,13.2,58,0.245,0.269,0.283,0.038,1.24,0,-,6.9%,26.2%,22.4%,17.1%,12.1%,8.56,72.4%,8.6%,-,7.5%,15.0%,-,15.0%
vsRHB,37.2,148,0.191,0.246,0.294,0.103,0.96,3,0.72,6.8%,29.3%,32.4%,21.0%,15.4%,11.47,64.4%,6.8%,6.8%,38.6%,31.8%,7.1%,22.7%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Casey Schmitt RHB,+520,17,4.60,1,1,0.353,0.353,0.588,0.235,0.408,-,28.1%,17.6%,16.7%,81.7,14.3%,7.1%,28.6%,28.6%,42.9%,71.1,22.2%,29.6%,11.1%,84.4%,42.9%,16.7%,21.4%,35.7%,35.7%,35.7%,28.6%,42.9%
Willy Adames RHB,+527,16,4.40,0,0,0.188,0.188,0.375,0.188,0.236,-,29.0%,31.2%,17.3%,87.0,18.2%,9.1%,27.3%,45.5%,63.6%,71.4,27.6%,20.7%,13.8%,93.5%,27.3%,0.0%,36.4%,36.4%,54.5%,45.5%,-,10.0%
Matt Chapman RHB,+610,15,4.40,0,0,0.167,0.333,0.250,0.083,0.274,20.0%,40.0%,40.0%,16.9%,96.3,16.7%,-,50.0%,66.7%,50.0%,76.3,66.7%,19.0%,9.5%,87.5%,16.7%,0.0%,66.7%,-,50.0%,50.0%,-,45.5%
Luis Arraez LHB,+1920,11,4.80,0,0,0.455,0.455,0.455,-,0.405,-,3.8%,9.1%,2.4%,86.1,-,-,10.0%,10.0%,60.0%,62.9,-,28.6%,-,87.5%,40.0%,0.0%,30.0%,20.0%,10.0%,50.0%,40.0%,30.0%
Rafael Devers LHB,+680,9,4.80,0,0,-,0.333,-,-,0.216,33.3%,57.9%,33.3%,25.6%,95.3,-,-,-,66.7%,-,71.4,6.2%,18.8%,6.2%,84.2%,33.3%,0.0%,-,66.7%,-,33.3%,66.7%,44.4%
Daniel Susac RHB,+1000,9,4.20,0,0,0.222,0.222,0.222,-,0.198,-,29.2%,11.1%,17.1%,87.2,-,-,-,37.5%,-,68.1,-,25.0%,10.0%,87.0%,12.5%,0.0%,-,87.5%,12.5%,62.5%,25.0%,42.9%
Drew Gilbert LHB,+1050,7,3.20,0,0,-,-,-,-,-,-,37.5%,28.6%,15.8%,62.7,-,-,20.0%,-,-,68.0,14.3%,28.6%,-,100.0%,20.0%,0.0%,-,40.0%,40.0%,40.0%,20.0%,66.7%
Eric Haase RHB,+730,7,2.80,0,0,0.200,0.429,0.200,-,0.313,28.6%,37.5%,14.3%,18.8%,77.5,-,-,-,-,25.0%,72.1,14.3%,14.3%,-,87.5%,-,-,25.0%,50.0%,50.0%,25.0%,25.0%,33.3%
Jung Hoo Lee LHB,+1420,6,4.20,0,0,0.333,0.333,0.333,-,0.297,-,21.4%,-,11.5%,90.6,-,-,-,33.3%,16.7%,67.2,-,45.5%,9.1%,84.6%,33.3%,0.0%,16.7%,50.0%,50.0%,33.3%,16.7%,25.0%
Victor Bericoto RHB,N/A,3,1.50,0,0,0.333,0.333,0.333,-,0.297,-,37.5%,66.7%,18.8%,101.2,-,-,-,100.0%,-,75.6,85.7%,14.3%,14.3%,87.5%,-,-,-,100.0%,100.0%,-,-,0.0%
Bryce Eldridge LHB,+700,2,4.20,0,1,-,0.500,-,-,0.324,50.0%,0.0%,-,-,105.9,100.0%,100.0%,100.0%,100.0%,-,72.9,37.5%,12.5%,12.5%,72.7%,100.0%,0.0%,-,-,100.0%,-,-,16.7%
Jonah Cox RHB,N/A,1,1.00,0,0,-,-,-,-,-,-,100.0%,100.0%,100.0%,-,-,-,-,-,-,60.6,-,-,-,100.0%,-,-,-,-,-,-,-,100.0%
