Matchup,SF @ PIT
Pitcher,Blade Tidwell
Pitcher Team,SF
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,37.2,154,0.239,0.306,0.384,0.145,1.22,5,1.19,8.4%,23.1%,20.1%,14.6%,10.6%,7.41,66.2%,6.9%,9.3%,37.0%,24.1%,19.2%,21.3%
vsLHB,17.2,84,0.292,0.385,0.500,0.208,1.75,4,2.04,11.9%,14.1%,14.3%,9.8%,5.9%,6.11,66.7%,7.9%,13.3%,36.7%,26.7%,25.0%,26.7%
vsRHB,20.0,70,0.182,0.210,0.258,0.076,0.75,1,0.45,4.3%,32.6%,27.1%,21.3%,16.4%,8.55,65.7%,5.7%,4.2%,37.5%,20.8%,10.0%,14.6%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Oneil Cruz LHB,,+340,33,5.00,8,1,1,91.9,266.7,2,2,25.0%,-,12.5%,37.5%,50.0%,78.0,76.9%,23.1%,15.4%,92.9%,75.0%,37.5%,33.3%,37.5%,12.5%,12.5%,50.0%,37.5%,50.0%
Esmerlyn Valdez RHB,,+470,36,4.40,8,0,0,84.5,306.5,2,1,12.5%,12.5%,25.0%,25.0%,25.0%,73.4,42.9%,14.3%,7.1%,93.3%,37.5%,12.5%,0.0%,25.0%,62.5%,62.5%,37.5%,-,57.1%
Jacob Gonzalez LHB,,+790,19,2.40,8,0,1,81.9,314.7,2,2,12.5%,-,-,25.0%,37.5%,72.5,30.0%,40.0%,10.0%,90.9%,50.0%,25.0%,0.0%,25.0%,50.0%,37.5%,25.0%,37.5%,0.0%
Rafael Flores RHB,,+740,27,3.80,8,0,0,88.5,343.1,3,1,12.5%,-,12.5%,50.0%,50.0%,73.9,41.7%,25.0%,25.0%,92.3%,37.5%,12.5%,0.0%,25.0%,62.5%,37.5%,37.5%,25.0%,0.0%
Bryan Reynolds SHB,,+550,25,5.00,8,0,2,101.2,308.3,3,2,12.5%,12.5%,12.5%,87.5%,50.0%,72.9,11.1%,88.9%,66.7%,100.0%,75.0%,50.0%,0.0%,25.0%,25.0%,12.5%,50.0%,37.5%,80.0%
Jared Triolo RHB,,+919,22,4.00,8,0,0,68.1,197.1,0,0,-,-,-,12.5%,12.5%,69.8,-,12.5%,-,88.9%,25.0%,12.5%,0.0%,12.5%,50.0%,50.0%,12.5%,37.5%,66.7%
Jake Mangum SHB,,+1700,14,3.40,8,0,0,69.9,279.0,2,1,-,-,12.5%,37.5%,37.5%,68.5,12.5%,50.0%,25.0%,100.0%,50.0%,25.0%,0.0%,25.0%,25.0%,12.5%,62.5%,25.0%,50.0%
Brandon Lowe LHB,,+331,28,4.20,8,0,0,91.5,317.1,4,1,-,-,25.0%,37.5%,37.5%,75.9,63.6%,27.3%,9.1%,84.6%,62.5%,50.0%,0.0%,12.5%,37.5%,62.5%,25.0%,12.5%,50.0%
Henry Davis RHB,,+464,35,2.40,8,0,0,80.5,178.8,0,0,-,-,12.5%,37.5%,50.0%,72.6,25.0%,37.5%,6.2%,94.1%,37.5%,-,-,37.5%,25.0%,37.5%,50.0%,12.5%,40.0%
Spencer Horwitz LHB,,+610,26,4.20,8,0,0,93.9,269.9,1,0,-,-,-,50.0%,37.5%,69.8,12.5%,87.5%,25.0%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,12.5%,62.5%,25.0%,20.0%
Nick Gonzales RHB,,+1260,18,4.80,8,0,0,90.0,276.6,1,1,12.5%,-,12.5%,37.5%,50.0%,71.2,9.1%,54.5%,18.2%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,12.5%,50.0%,37.5%,50.0%
Nick Yorke RHB,—,N/A,19,2.60,8,0,0,86.8,152.3,0,0,-,-,-,50.0%,25.0%,71.4,-,62.5%,25.0%,100.0%,25.0%,-,-,25.0%,62.5%,25.0%,50.0%,25.0%,28.6%
Billy Cook RHB,—,N/A,1,2.00,6,0,0,82.7,179.4,0,0,-,-,-,16.7%,33.3%,74.0,33.3%,50.0%,16.7%,100.0%,33.4%,16.7%,0.0%,16.7%,33.3%,-,100.0%,-,50.0%
