Matchup,SF @ SD
Pitcher,Tyler Mahle
Pitcher Team,SF
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,89.0,379,0.265,0.333,0.434,0.168,1.40,13,1.31,9.2%,21.1%,21.1%,19.7%,9.4%,8.09,57.4%,5.5%,6.8%,35.7%,28.1%,13.5%,12.2%
vsLHB,51.2,202,0.232,0.301,0.416,0.184,1.10,7,1.22,6.9%,22.2%,25.2%,20.6%,10.3%,8.88,62.1%,5.3%,5.1%,32.8%,31.4%,14.0%,14.6%
vsRHB,37.0,177,0.305,0.370,0.455,0.149,1.84,6,1.46,11.9%,19.6%,16.4%,18.2%,8.4%,7.05,52.0%,5.8%,8.7%,38.9%,24.6%,12.9%,9.5%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Luis Rengifo SHB,,+1100,13,4.20,10,1,1,89.4,271.6,2,2,10.0%,10.0%,10.0%,30.0%,20.0%,70.5,18.2%,63.6%,27.3%,91.7%,30.0%,20.0%,50.0%,10.0%,50.0%,30.0%,70.0%,-,25.0%
Manny Machado RHB,,+420,19,4.60,10,1,1,91.3,268.8,2,1,10.0%,-,20.0%,50.0%,40.0%,76.0,73.3%,40.0%,20.0%,88.2%,70.0%,30.0%,0.0%,40.0%,30.0%,50.0%,20.0%,30.0%,62.5%
Luis Campusano RHB,,+750,34,3.80,10,1,1,87.2,255.3,3,1,10.0%,-,20.0%,30.0%,40.0%,71.1,25.0%,66.7%,16.7%,92.3%,60.0%,30.0%,33.3%,30.0%,20.0%,20.0%,60.0%,20.0%,33.3%
Ty France RHB,,+562,31,4.20,10,1,1,94.3,304.2,4,2,20.0%,10.0%,10.0%,50.0%,70.0%,74.8,38.5%,38.5%,23.1%,100.0%,70.0%,30.0%,33.3%,40.0%,30.0%,20.0%,60.0%,20.0%,50.0%
Jackson Merrill LHB,,+443,16,3.80,10,1,2,96.3,305.0,5,4,30.0%,-,-,70.0%,50.0%,73.0,33.3%,66.7%,33.3%,81.8%,70.0%,40.0%,25.0%,30.0%,20.0%,20.0%,40.0%,40.0%,50.0%
Sung-Mun Song LHB,—,N/A,11,2.20,10,0,0,89.7,232.7,3,1,-,-,10.0%,40.0%,-,73.2,18.2%,45.5%,9.1%,100.0%,40.0%,40.0%,0.0%,-,40.0%,20.0%,70.0%,10.0%,44.4%
Gavin Sheets LHB,,+600,11,2.80,10,0,1,81.6,277.0,2,1,-,-,20.0%,10.0%,20.0%,75.9,71.4%,7.1%,-,87.5%,60.0%,50.0%,0.0%,10.0%,40.0%,30.0%,20.0%,50.0%,16.7%
Rodolfo Durán RHB,—,N/A,30,2.80,10,0,0,82.1,208.5,1,1,-,-,20.0%,20.0%,10.0%,71.0,33.3%,16.7%,-,92.3%,50.0%,40.0%,0.0%,10.0%,10.0%,30.0%,30.0%,40.0%,28.6%
Freddy Fermin RHB,,+677,15,3.00,10,0,0,83.3,287.5,3,0,-,-,30.0%,10.0%,20.0%,69.7,-,37.5%,-,88.9%,60.0%,50.0%,0.0%,10.0%,40.0%,30.0%,50.0%,20.0%,77.8%
Xander Bogaerts RHB,,+870,14,4.00,10,0,1,87.4,310.0,3,2,10.0%,-,10.0%,30.0%,60.0%,74.1,26.7%,33.3%,13.3%,100.0%,70.0%,40.0%,0.0%,30.0%,30.0%,40.0%,50.0%,10.0%,0.0%
Jake Cronenworth LHB,,+710,16,4.40,10,0,1,83.9,260.8,1,0,-,-,20.0%,30.0%,50.0%,71.6,20.0%,50.0%,30.0%,100.0%,40.0%,20.0%,0.0%,20.0%,50.0%,40.0%,20.0%,40.0%,28.6%
Fernando Tatis Jr. RHB,,+485,17,4.60,10,0,0,99.1,252.6,2,1,-,-,-,70.0%,30.0%,78.1,70.0%,50.0%,10.0%,90.9%,40.0%,20.0%,0.0%,20.0%,50.0%,20.0%,60.0%,20.0%,50.0%
Jase Bowen RHB,—,N/A,10,2.20,8,0,1,82.7,262.1,3,2,25.0%,-,12.5%,37.5%,50.0%,73.5,33.3%,33.3%,16.7%,100.0%,87.5%,37.5%,0.0%,50.0%,-,12.5%,75.0%,12.5%,50.0%
