Matchup,SF @ SEA
Pitcher,Bryan Woo
Pitcher Team,SEA
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,104.1,424,0.232,0.271,0.353,0.121,1.07,10,0.86,4.7%,24.5%,24.1%,19.7%,13.2%,8.80,68.6%,7.7%,7.0%,43.1%,30.1%,10.0%,14.7%
vsLHB,58.2,248,0.247,0.300,0.396,0.150,1.24,7,1.07,6.9%,23.1%,23.0%,18.2%,12.2%,8.74,66.5%,6.6%,8.7%,46.2%,34.7%,10.0%,13.9%
vsRHB,45.1,176,0.212,0.230,0.294,0.082,0.86,3,0.60,1.7%,26.6%,25.6%,22.0%,14.6%,8.93,71.6%,9.3%,4.8%,38.9%,23.8%,10.0%,15.9%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Rafael Devers LHB,,+324,22,4.60,10,2,2,96.4,329.5,5,3,20.0%,20.0%,30.0%,50.0%,30.0%,73.3,38.5%,69.2%,30.8%,92.9%,80.0%,60.0%,33.3%,20.0%,20.0%,40.0%,50.0%,10.0%,0.0%
Bryce Eldridge LHB,,+525,39,4.40,10,1,1,98.3,262.0,3,1,10.0%,10.0%,20.0%,60.0%,30.0%,73.2,33.3%,55.6%,44.4%,100.0%,60.0%,30.0%,33.3%,30.0%,30.0%,20.0%,20.0%,60.0%,12.5%
Willy Adames RHB,,+630,33,4.60,10,1,1,89.9,257.5,2,1,10.0%,10.0%,40.0%,40.0%,40.0%,74.0,42.1%,31.6%,21.1%,100.0%,60.0%,30.0%,33.3%,30.0%,40.0%,60.0%,20.0%,20.0%,12.5%
Luis Arraez LHB,,+1200,6,4.60,10,0,0,86.8,209.7,0,0,-,-,-,-,40.0%,63.0,-,66.7%,-,92.3%,50.0%,10.0%,0.0%,40.0%,30.0%,10.0%,40.0%,50.0%,0.0%
Drew Cavanaugh LHB,—,N/A,4,3.40,10,0,1,85.1,268.0,4,1,10.0%,10.0%,10.0%,20.0%,40.0%,69.6,-,54.5%,18.2%,84.6%,60.0%,30.0%,0.0%,30.0%,30.0%,10.0%,50.0%,40.0%,33.3%
Drew Gilbert LHB,,+1160,8,4.00,10,0,1,85.7,311.2,2,0,-,-,10.0%,20.0%,40.0%,70.4,-,50.0%,16.7%,100.0%,30.0%,10.0%,0.0%,20.0%,70.0%,60.0%,40.0%,-,22.2%
Daniel Susac RHB,—,N/A,22,3.40,10,0,0,70.1,187.4,0,0,-,-,-,-,40.0%,69.0,-,18.2%,-,91.7%,40.0%,40.0%,0.0%,-,30.0%,30.0%,10.0%,60.0%,50.0%
Heliot Ramos RHB,,+562,39,4.40,10,0,0,91.3,219.1,1,1,-,-,-,40.0%,-,71.5,28.6%,50.0%,28.6%,93.3%,40.0%,20.0%,0.0%,20.0%,60.0%,30.0%,40.0%,30.0%,42.9%
Christian Koss RHB,—,N/A,6,1.60,10,0,0,82.8,248.7,0,0,-,-,-,10.0%,-,72.1,8.3%,33.3%,8.3%,92.3%,30.0%,30.0%,0.0%,-,60.0%,50.0%,40.0%,10.0%,62.5%
Jesus Rodriguez RHB,—,N/A,10,2.60,10,0,0,80.6,254.8,1,0,-,-,20.0%,20.0%,40.0%,69.1,-,25.0%,8.3%,80.0%,60.0%,20.0%,0.0%,40.0%,40.0%,30.0%,40.0%,30.0%,57.1%
Casey Schmitt RHB,,+560,32,4.60,10,0,0,92.6,265.2,3,2,10.0%,-,10.0%,40.0%,40.0%,74.2,42.9%,64.3%,14.3%,100.0%,80.0%,40.0%,0.0%,40.0%,20.0%,20.0%,70.0%,10.0%,42.9%
Jung Hoo Lee LHB,,+1100,14,3.60,10,0,0,92.4,230.6,0,0,-,-,30.0%,50.0%,40.0%,67.6,-,57.1%,14.3%,93.3%,40.0%,-,-,40.0%,60.0%,60.0%,30.0%,10.0%,66.7%
Grant McCray LHB,—,N/A,-,1.00,1,0,0,84.8,-,0,0,-,-,-,-,-,59.7,-,33.3%,-,100.0%,-,-,-,-,100.0%,100.0%,-,-,100.0%
