Matchup,SF @ STL
Pitcher,Matthew Liberatore
Pitcher Team,STL
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,143.1,628,0.285,0.355,0.476,0.191,1.49,27,1.70,8.3%,24.1%,23.2%,20.0%,11.1%,9.17,60.0%,7.4%,9.4%,42.4%,29.6%,19.0%,21.9%
vsLHB,33.1,156,0.286,0.359,0.479,0.193,1.59,7,1.89,8.3%,26.6%,23.7%,22.2%,12.5%,9.99,59.0%,8.3%,9.6%,44.2%,26.9%,21.4%,13.5%
vsRHB,108.0,472,0.285,0.354,0.475,0.191,1.48,20,1.67,8.3%,23.2%,23.1%,19.4%,10.7%,9.08,60.4%,7.1%,9.3%,41.7%,30.5%,18.4%,24.6%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Christian Koss RHB,,+1000,26,3.80,8,3,3,81.1,306.3,3,3,12.5%,12.5%,37.5%,62.5%,12.5%,70.2,11.1%,55.6%,55.6%,90.0%,37.5%,37.5%,100.0%,-,37.5%,62.5%,25.0%,12.5%,28.6%
Bryce Eldridge LHB,,+520,30,4.60,8,1,1,98.0,314.3,2,1,12.5%,-,12.5%,62.5%,25.0%,70.5,-,70.0%,40.0%,83.3%,37.5%,12.5%,100.0%,25.0%,62.5%,50.0%,37.5%,12.5%,42.9%
Osleivis Basabe RHB,,+860,12,3.20,8,1,1,89.5,247.3,3,1,12.5%,12.5%,25.0%,37.5%,50.0%,73.2,38.5%,30.8%,15.4%,100.0%,62.5%,12.5%,0.0%,50.0%,25.0%,50.0%,25.0%,25.0%,14.3%
Jonah Cox RHB,,+890,18,4.40,8,0,0,77.8,246.8,1,0,-,-,12.5%,25.0%,37.5%,69.6,8.3%,50.0%,-,100.0%,50.0%,12.5%,0.0%,37.5%,37.5%,25.0%,50.0%,25.0%,40.0%
Drew Gilbert LHB,—,N/A,19,2.60,8,0,0,82.1,123.0,0,0,-,-,12.5%,25.0%,25.0%,67.7,-,30.8%,7.7%,86.7%,25.0%,-,-,25.0%,50.0%,62.5%,25.0%,12.5%,12.5%
Turner Hill LHB,,+1650,6,3.80,8,0,0,83.9,328.6,2,1,-,-,-,25.0%,12.5%,64.1,-,63.6%,-,84.6%,25.0%,12.5%,0.0%,12.5%,62.5%,62.5%,37.5%,-,25.0%
Andrew Knizner RHB,,+820,7,3.00,8,0,0,80.7,161.5,0,0,-,-,25.0%,25.0%,37.5%,67.9,-,30.0%,20.0%,100.0%,37.5%,12.5%,0.0%,25.0%,25.0%,37.5%,50.0%,12.5%,57.1%
Grant McCray LHB,,+900,9,3.20,8,0,0,82.1,253.5,2,2,12.5%,-,-,50.0%,37.5%,70.9,23.1%,23.1%,23.1%,92.9%,62.5%,25.0%,0.0%,37.5%,12.5%,-,62.5%,37.5%,33.3%
Shay Whitcomb RHB,,+630,13,2.80,8,0,1,84.9,271.6,1,1,-,-,25.0%,12.5%,25.0%,71.4,20.0%,40.0%,10.0%,100.0%,62.5%,37.5%,0.0%,25.0%,37.5%,50.0%,25.0%,25.0%,28.6%
Jung Hoo Lee LHB,,+1300,10,4.00,8,0,0,82.5,212.7,0,0,-,-,37.5%,25.0%,50.0%,66.7,-,35.7%,14.3%,100.0%,50.0%,12.5%,0.0%,37.5%,50.0%,87.5%,-,12.5%,12.5%
Drew Cavanaugh LHB,—,N/A,5,2.40,6,0,0,75.4,218.2,1,0,-,-,-,16.7%,33.3%,69.4,-,42.9%,14.3%,100.0%,50.0%,16.7%,0.0%,33.3%,16.7%,-,83.3%,16.7%,16.7%
Brett Harris RHB,,+850,4,2.40,6,0,0,76.6,383.1,1,1,16.7%,-,-,33.3%,33.3%,73.6,20.0%,60.0%,20.0%,71.4%,16.7%,-,-,16.7%,66.7%,33.3%,50.0%,16.7%,0.0%
Nate Furman LHB,—,N/A,-,1.80,1,0,0,19.0,-,0,0,-,-,-,-,-,-,-,-,-,0.0%,-,-,-,-,-,-,-,100.0%,100.0%
