Matchup,STL @ CHC
Pitcher,David Peterson
Pitcher Team,CHC
Opposing Team,STL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,43.2,195,0.275,0.334,0.433,0.157,1.49,5,1.03,8.2%,19.4%,17.9%,18.3%,9.1%,7.21,66.8%,7.9%,8.5%,35.9%,24.6%,11.4%,8.5%
vsLHB,14.2,61,0.241,0.297,0.414,0.172,1.09,2,1.23,3.3%,33.0%,32.8%,32.8%,15.3%,12.27,72.1%,10.6%,8.1%,35.1%,16.2%,33.3%,13.5%
vsRHB,29.0,134,0.292,0.351,0.442,0.150,1.69,3,0.93,10.4%,13.6%,11.2%,11.5%,6.4%,4.66,64.4%,6.8%,8.6%,36.2%,27.6%,6.9%,6.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jordan Walker RHB,,+157,25,17,3.60,1,1,0.294,0.294,0.471,0.176,0.333,-,34.5%,17.6%,19.2%,99.3,301.1,5,1,28.6%,-,-,78.6%,50.0%,79.5,96.2%,38.5%,30.8%,92.9%,64.3%,28.6%,25.0%,35.7%,35.7%,21.4%,64.3%,14.3%,35.3%
Nelson Velazquez RHB,,+171,20,15,2.00,1,2,0.333,0.467,0.667,0.333,0.473,20.0%,38.2%,26.7%,17.8%,95.9,307.2,4,3,25.0%,-,12.5%,62.5%,50.0%,75.1,64.5%,19.4%,16.1%,91.2%,75.0%,37.5%,33.3%,37.5%,25.0%,37.5%,50.0%,12.5%,40.0%
Masyn Winn RHB,,+262,6,18,3.40,0,0,0.429,0.500,0.571,0.143,0.447,16.7%,7.7%,11.1%,3.1%,89.3,275.3,4,1,-,-,15.4%,30.8%,46.2%,72.7,19.2%,26.9%,15.4%,100.0%,69.3%,23.1%,0.0%,46.2%,30.8%,23.1%,61.5%,15.4%,29.4%
Jose Fermin RHB,,+300,20,17,3.00,0,3,0.235,0.235,0.235,-,0.209,-,16.0%,5.9%,6.5%,81.4,262.3,5,3,-,-,25.0%,18.8%,56.2%,68.5,5.6%,44.4%,-,75.0%,56.2%,25.0%,0.0%,31.2%,31.2%,37.5%,50.0%,12.5%,38.9%
Ivan Herrera RHB,,+166,27,16,4.00,0,0,-,0.312,-,-,0.207,25.0%,31.6%,18.8%,9.2%,88.1,248.4,3,1,-,-,37.5%,25.0%,37.5%,73.3,31.6%,26.3%,-,100.0%,62.5%,25.0%,0.0%,37.5%,12.5%,37.5%,37.5%,25.0%,23.5%
Pedro Pages RHB,—,N/A,7,16,2.40,0,1,0.200,0.250,0.333,0.133,0.255,6.2%,29.8%,31.2%,16.9%,91.4,274.5,3,3,11.1%,-,11.1%,66.7%,55.6%,71.8,18.6%,14.0%,9.3%,91.5%,88.8%,44.4%,0.0%,44.4%,11.1%,22.2%,33.3%,44.4%,35.3%
Alec Burleson LHB,,N/A,10,15,3.20,0,0,0.067,0.067,0.067,-,0.059,-,20.0%,13.3%,12.5%,87.9,307.7,4,0,-,-,7.7%,46.2%,15.4%,72.9,28.6%,28.6%,14.3%,93.3%,46.2%,38.5%,0.0%,7.7%,53.8%,38.5%,30.8%,30.8%,62.5%
JJ Wetherholt LHB,,+254,27,13,4.20,0,1,0.154,0.154,0.231,0.077,0.166,-,9.1%,7.7%,4.8%,92.7,302.7,4,2,8.3%,-,-,50.0%,25.0%,72.0,4.8%,47.6%,19.0%,95.5%,50.0%,33.3%,0.0%,16.7%,50.0%,8.3%,58.3%,33.3%,40.0%
Bryan Torres LHB,—,N/A,1,13,1.80,0,0,0.167,0.231,0.167,-,0.187,7.7%,12.5%,15.4%,6.2%,67.0,228.2,0,0,-,-,-,-,11.1%,63.7,-,12.5%,-,69.6%,22.2%,11.1%,0.0%,11.1%,55.6%,11.1%,33.3%,55.6%,16.7%
Lars Nootbaar LHB,,+285,15,13,3.60,0,0,0.250,0.231,0.250,-,0.205,-,11.8%,15.4%,4.4%,90.0,268.1,0,0,-,-,9.1%,54.5%,9.1%,72.8,40.0%,46.7%,13.3%,88.2%,36.4%,27.3%,0.0%,9.1%,63.6%,54.5%,27.3%,18.2%,23.1%
Nathan Church LHB,,+387,16,12,3.20,0,0,0.083,0.083,0.083,-,0.074,-,5.9%,-,2.4%,87.2,279.8,2,2,16.7%,-,-,41.7%,16.7%,68.5,-,40.0%,13.3%,88.2%,16.6%,8.3%,0.0%,8.3%,75.0%,41.7%,41.7%,16.7%,7.7%
Blaze Jordan RHB,,+238,4,11,3.40,0,0,0.091,0.091,0.273,0.182,0.147,-,22.2%,18.2%,12.5%,90.0,267.5,2,1,-,-,-,33.3%,22.2%,73.5,47.1%,29.4%,5.9%,94.4%,44.4%,22.2%,0.0%,22.2%,44.4%,33.3%,22.2%,44.4%,36.4%
Jimmy Crooks LHB,,N/A,-,5,2.60,0,1,-,0.200,-,-,0.130,20.0%,57.1%,60.0%,23.5%,103.9,402.1,1,1,100.0%,-,-,100.0%,100.0%,70.1,20.0%,20.0%,20.0%,71.4%,100.0%,100.0%,0.0%,-,-,-,100.0%,-,33.3%
