Matchup,STL @ PIT
Pitcher,Jared Jones
Pitcher Team,PIT
Opposing Team,STL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,90.2,379,0.224,0.297,0.392,0.169,1.19,12,1.19,8.2%,32.5%,28.5%,24.4%,15.8%,10.72,58.2%,7.0%,7.6%,38.7%,28.2%,16.4%,20.2%
vsLHB,53.1,223,0.216,0.306,0.412,0.196,1.22,7,1.18,9.9%,33.6%,29.6%,23.7%,16.0%,11.14,56.0%,7.6%,7.5%,41.0%,28.4%,15.8%,20.1%
vsRHB,37.0,156,0.234,0.283,0.366,0.131,1.16,5,1.22,5.8%,31.0%,26.9%,25.6%,15.5%,10.22,61.4%,6.0%,7.7%,35.6%,27.9%,17.2%,20.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Leonardo Bernal SHB,,+625,14,4.60,8,2,2,97.0,321.3,2,2,25.0%,12.5%,25.0%,62.5%,37.5%,73.2,25.0%,41.7%,33.3%,80.0%,62.5%,50.0%,50.0%,12.5%,37.5%,37.5%,50.0%,12.5%,40.0%
Ivan Herrera RHB,,+875,15,3.60,8,1,1,88.3,321.6,2,1,12.5%,12.5%,12.5%,50.0%,62.5%,71.4,11.1%,66.7%,22.2%,75.0%,50.0%,25.0%,50.0%,25.0%,50.0%,25.0%,-,75.0%,40.0%
JJ Wetherholt LHB,,+825,23,3.20,8,0,1,86.3,316.0,2,2,-,-,-,37.5%,25.0%,71.2,11.1%,22.2%,-,100.0%,37.5%,37.5%,0.0%,-,62.5%,37.5%,50.0%,12.5%,66.7%
Bryan Torres LHB,,+1650,20,3.00,8,0,0,78.6,183.5,1,0,-,-,25.0%,-,12.5%,64.4,-,37.5%,-,88.9%,25.0%,12.5%,0.0%,12.5%,37.5%,50.0%,12.5%,37.5%,25.0%
Nathan Church LHB,,+1200,20,4.00,8,0,1,87.5,231.6,1,0,12.5%,12.5%,37.5%,37.5%,50.0%,69.8,16.7%,33.3%,25.0%,80.0%,50.0%,-,-,50.0%,37.5%,37.5%,-,62.5%,20.0%
César Prieto LHB,—,N/A,5,1.80,8,0,0,81.3,282.1,1,0,-,-,12.5%,12.5%,12.5%,68.8,10.0%,40.0%,10.0%,90.9%,25.0%,12.5%,0.0%,12.5%,75.0%,75.0%,25.0%,-,75.0%
Nolan Gorman LHB,—,N/A,38,2.40,8,0,1,89.7,272.6,2,1,12.5%,-,-,37.5%,37.5%,75.0,38.5%,30.8%,23.1%,100.0%,37.5%,12.5%,0.0%,25.0%,50.0%,37.5%,37.5%,25.0%,40.0%
Jose Fermin RHB,—,N/A,11,3.80,8,0,0,90.3,258.5,1,1,-,-,37.5%,37.5%,50.0%,67.2,-,63.6%,-,100.0%,62.5%,12.5%,0.0%,50.0%,25.0%,37.5%,37.5%,25.0%,33.3%
Jordan Walker RHB,,+725,17,4.20,8,0,0,99.1,173.6,0,0,-,-,12.5%,75.0%,-,80.9,100.0%,36.4%,36.4%,91.7%,12.5%,-,-,12.5%,87.5%,62.5%,37.5%,-,50.0%
Alec Burleson LHB,,+725,18,3.40,8,0,0,91.5,281.0,2,2,12.5%,-,12.5%,75.0%,25.0%,74.8,31.2%,37.5%,37.5%,100.0%,50.0%,12.5%,0.0%,37.5%,50.0%,37.5%,50.0%,12.5%,75.0%
Pedro Pages RHB,—,N/A,22,2.80,8,0,1,73.6,227.6,2,1,-,-,25.0%,25.0%,50.0%,74.4,44.4%,33.3%,22.2%,69.2%,62.5%,50.0%,0.0%,12.5%,12.5%,25.0%,25.0%,50.0%,83.3%
Victor Scott II LHB,,+1509,8,1.40,8,0,0,88.0,244.1,0,0,-,-,-,12.5%,25.0%,66.0,14.3%,42.9%,-,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,25.0%,50.0%,25.0%,40.0%
Masyn Winn RHB,,+1500,16,3.20,8,0,0,88.7,300.9,2,0,-,-,-,25.0%,12.5%,69.6,16.7%,50.0%,16.7%,92.3%,50.0%,37.5%,0.0%,12.5%,50.0%,12.5%,-,87.5%,0.0%
Thomas Saggese RHB,,+1200,20,4.40,8,0,0,96.0,295.7,3,0,-,-,-,50.0%,25.0%,72.4,30.0%,70.0%,20.0%,100.0%,62.5%,50.0%,0.0%,12.5%,37.5%,-,25.0%,75.0%,40.0%
