Matchup,TB @ ATH
Pitcher,Mason Barnett
Pitcher Team,ATH
Opposing Team,TB

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,34.0,147,0.234,0.343,0.477,0.242,1.38,8,2.12,11.6%,24.2%,23.8%,20.1%,10.7%,9.26,60.3%,4.4%,9.8%,38.0%,35.9%,21.2%,14.1%
vsLHB,15.0,70,0.274,0.372,0.548,0.274,1.67,4,2.40,11.4%,22.2%,17.1%,19.4%,9.8%,7.20,60.9%,6.1%,8.0%,34.0%,34.0%,17.6%,16.0%
vsRHB,18.2,77,0.197,0.316,0.409,0.212,1.18,4,1.93,11.7%,25.9%,29.9%,20.5%,11.4%,11.09,59.7%,3.0%,11.9%,42.9%,38.1%,25.0%,11.9%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jonny DeLuca RHB,—,N/A,11,3.40,10,2,2,92.4,311.3,3,2,20.0%,10.0%,10.0%,50.0%,30.0%,74.3,61.5%,53.8%,38.5%,81.2%,50.0%,40.0%,50.0%,10.0%,50.0%,30.0%,50.0%,20.0%,50.0%
Junior Caminero RHB,,+240,25,4.40,10,2,3,96.6,413.1,3,3,20.0%,20.0%,20.0%,70.0%,30.0%,78.4,66.7%,66.7%,50.0%,100.0%,30.0%,20.0%,50.0%,10.0%,70.0%,20.0%,60.0%,20.0%,50.0%
Jonathan Aranda LHB,,+370,39,4.40,10,1,1,89.5,262.6,4,1,10.0%,10.0%,30.0%,30.0%,60.0%,71.0,5.9%,35.3%,11.8%,100.0%,90.0%,70.0%,14.3%,20.0%,-,30.0%,40.0%,30.0%,62.5%
Ryan Vilade RHB,—,N/A,19,2.60,10,1,1,77.7,242.1,4,2,10.0%,-,20.0%,10.0%,40.0%,74.9,44.4%,44.4%,11.1%,75.0%,50.0%,40.0%,25.0%,10.0%,30.0%,30.0%,40.0%,30.0%,25.0%
Cedric Mullins LHB,,+370,25,3.80,10,1,2,93.7,222.0,2,1,-,-,30.0%,60.0%,10.0%,72.3,11.8%,52.9%,5.9%,100.0%,50.0%,30.0%,33.3%,20.0%,20.0%,40.0%,40.0%,20.0%,44.4%
Nick Fortes RHB,—,N/A,8,3.20,10,1,1,78.2,269.8,2,2,10.0%,10.0%,20.0%,30.0%,20.0%,72.0,14.3%,35.7%,21.4%,93.3%,30.0%,10.0%,100.0%,20.0%,50.0%,60.0%,10.0%,30.0%,37.5%
Richie Palacios LHB,,+890,16,2.60,10,1,2,85.8,261.8,2,2,10.0%,10.0%,30.0%,50.0%,50.0%,68.8,-,50.0%,21.4%,93.3%,60.0%,30.0%,33.3%,30.0%,20.0%,50.0%,30.0%,20.0%,42.9%
Victor Mesa Jr. LHB,,+390,33,3.80,10,1,1,84.2,290.3,4,2,10.0%,10.0%,30.0%,30.0%,30.0%,73.4,31.2%,37.5%,12.5%,94.1%,50.0%,40.0%,25.0%,10.0%,30.0%,70.0%,20.0%,10.0%,50.0%
Yandy Diaz RHB,,+478,7,5.20,10,0,1,100.2,308.9,3,1,10.0%,-,-,90.0%,50.0%,73.9,35.3%,52.9%,35.3%,94.4%,50.0%,10.0%,0.0%,40.0%,50.0%,20.0%,30.0%,50.0%,62.5%
Taylor Walls SHB,,+821,11,3.40,10,0,1,71.7,292.8,3,2,-,-,20.0%,-,20.0%,70.6,11.1%,55.6%,-,90.0%,50.0%,30.0%,0.0%,20.0%,10.0%,40.0%,30.0%,30.0%,55.6%
Liam Hicks LHB,,+680,33,3.20,10,0,0,79.2,216.3,1,0,-,-,30.0%,-,30.0%,67.3,-,38.5%,-,100.0%,60.0%,30.0%,0.0%,30.0%,20.0%,40.0%,10.0%,50.0%,66.7%
Chandler Simpson LHB,,+1760,6,4.40,10,0,0,83.8,275.6,3,0,-,-,-,-,30.0%,64.2,11.1%,77.8%,-,90.0%,50.0%,20.0%,0.0%,30.0%,50.0%,-,70.0%,30.0%,0.0%
Carson Williams RHB,—,N/A,2,2.40,8,0,0,83.8,165.8,1,1,-,-,12.5%,25.0%,25.0%,73.4,28.6%,35.7%,14.3%,87.5%,50.0%,25.0%,0.0%,25.0%,-,12.5%,50.0%,37.5%,33.3%
