Matchup,TB @ NYY
Pitcher,Ian Seymour
Pitcher Team,TB
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,127.1,534,0.231,0.310,0.448,0.217,1.17,25,1.77,6.7%,29.4%,29.0%,23.2%,15.1%,10.96,66.1%,9.2%,10.4%,37.3%,30.8%,23.1%,25.1%
vsLHB,42.1,181,0.253,0.340,0.524,0.271,1.16,11,2.34,3.3%,28.7%,28.2%,23.9%,15.6%,10.84,71.1%,9.8%,10.0%,38.3%,30.0%,30.6%,28.3%
vsRHB,85.0,353,0.219,0.294,0.408,0.188,1.18,14,1.48,8.5%,29.7%,29.5%,22.8%,14.8%,11.01,63.6%,8.9%,10.6%,36.7%,31.2%,19.1%,23.4%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Paul Goldschmidt RHB,,+620,22,2.60,8,1,1,95.1,256.0,2,1,12.5%,-,25.0%,37.5%,62.5%,72.3,27.3%,63.6%,27.3%,100.0%,62.5%,25.0%,50.0%,37.5%,37.5%,37.5%,37.5%,25.0%,71.4%
Spencer Jones LHB,,+567,25,4.20,8,1,1,95.8,257.5,1,1,12.5%,-,37.5%,50.0%,50.0%,77.8,87.5%,37.5%,37.5%,72.7%,87.5%,37.5%,33.3%,50.0%,12.5%,37.5%,37.5%,25.0%,16.7%
Ali Sanchez RHB,—,N/A,8,2.60,8,1,1,77.2,268.8,2,1,12.5%,12.5%,25.0%,37.5%,50.0%,70.8,11.1%,33.3%,22.2%,90.0%,62.5%,50.0%,25.0%,12.5%,25.0%,37.5%,12.5%,50.0%,25.0%
Ben Rice LHB,,+470,29,4.20,8,1,1,87.0,361.2,4,3,12.5%,-,12.5%,50.0%,12.5%,71.1,12.5%,62.5%,25.0%,80.0%,50.0%,37.5%,33.3%,12.5%,50.0%,25.0%,37.5%,37.5%,20.0%
Jazz Chisholm Jr. LHB,—,N/A,24,3.80,8,0,0,89.1,254.2,1,0,-,-,-,37.5%,37.5%,71.2,8.3%,41.7%,8.3%,92.3%,50.0%,25.0%,0.0%,25.0%,37.5%,37.5%,50.0%,12.5%,42.9%
Heliot Ramos RHB,,+560,17,4.20,8,0,0,96.3,288.7,4,0,-,-,37.5%,50.0%,37.5%,74.4,60.0%,60.0%,40.0%,100.0%,75.0%,50.0%,0.0%,25.0%,25.0%,50.0%,50.0%,-,75.0%
Ryan McMahon LHB,—,N/A,14,3.00,8,0,0,77.5,271.3,1,0,-,-,25.0%,12.5%,50.0%,73.3,50.0%,30.0%,10.0%,90.9%,62.5%,25.0%,0.0%,37.5%,25.0%,25.0%,37.5%,37.5%,25.0%
Amed Rosario RHB,,+870,25,2.60,8,0,0,83.4,266.9,2,1,12.5%,-,-,25.0%,25.0%,74.8,30.8%,15.4%,7.7%,100.0%,37.5%,12.5%,0.0%,25.0%,50.0%,37.5%,37.5%,25.0%,66.7%
Cody Bellinger LHB,,+630,16,4.20,8,0,0,86.7,270.1,2,1,-,-,12.5%,37.5%,12.5%,71.0,11.1%,55.6%,22.2%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,37.5%,50.0%,12.5%,0.0%
George Lombard Jr. RHB,,+930,12,3.80,8,0,1,75.2,256.4,1,0,-,-,-,-,37.5%,71.0,7.7%,30.8%,-,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,25.0%,37.5%,37.5%,16.7%
Austin Wells LHB,,+550,18,3.40,8,0,0,85.0,233.9,1,1,-,-,12.5%,12.5%,25.0%,72.9,25.0%,62.5%,-,100.0%,62.5%,37.5%,0.0%,25.0%,12.5%,25.0%,12.5%,62.5%,14.3%
Luis Garcia Jr. LHB,—,N/A,21,3.80,8,0,0,91.0,312.9,1,1,-,-,-,37.5%,25.0%,74.9,60.0%,50.0%,30.0%,90.9%,25.0%,-,-,25.0%,75.0%,50.0%,50.0%,-,50.0%
Jose Caballero RHB,—,N/A,12,3.20,8,0,0,77.2,170.1,0,0,-,-,50.0%,12.5%,37.5%,69.6,10.0%,15.0%,-,100.0%,50.0%,12.5%,0.0%,37.5%,25.0%,62.5%,12.5%,25.0%,71.4%
Anthony Volpe RHB,,+900,26,4.00,8,0,0,87.4,292.4,3,0,-,-,12.5%,50.0%,37.5%,71.8,20.0%,60.0%,10.0%,90.9%,62.5%,37.5%,0.0%,25.0%,37.5%,25.0%,50.0%,25.0%,0.0%
