Matchup,TEX @ LAA
Pitcher,Reid Detmers
Pitcher Team,LAA
Opposing Team,TEX

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,129.0,529,0.215,0.284,0.374,0.159,1.10,17,1.19,7.4%,28.8%,28.4%,20.7%,14.1%,10.47,65.5%,7.9%,8.6%,38.0%,30.9%,13.5%,15.1%
vsLHB,32.2,138,0.213,0.281,0.336,0.123,1.13,4,1.10,8.0%,30.9%,25.4%,20.8%,14.8%,9.64,68.8%,8.1%,7.9%,40.4%,29.2%,7.7%,9.0%
vsRHB,95.2,391,0.216,0.286,0.387,0.171,1.10,13,1.22,7.2%,28.1%,29.4%,20.6%,13.8%,10.82,64.3%,7.8%,8.9%,37.1%,31.5%,15.4%,17.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Brandon Nimmo LHB,,+503,19,4.00,10,2,3,94.7,294.2,4,4,20.0%,10.0%,20.0%,70.0%,90.0%,71.9,28.6%,57.1%,42.9%,100.0%,90.0%,30.0%,66.7%,60.0%,10.0%,30.0%,50.0%,20.0%,28.6%
Cameron Cauley RHB,—,N/A,22,2.40,10,1,1,91.1,282.5,1,1,-,-,-,40.0%,20.0%,69.4,23.1%,53.8%,7.7%,100.0%,40.0%,30.0%,33.3%,10.0%,60.0%,40.0%,30.0%,30.0%,37.5%
Corey Seager LHB,,+330,16,4.00,10,1,1,85.9,246.4,1,1,10.0%,-,-,40.0%,30.0%,72.6,23.1%,30.8%,30.8%,86.7%,40.0%,30.0%,33.3%,10.0%,50.0%,40.0%,10.0%,50.0%,77.8%
Ezequiel Duran RHB,,+680,21,4.00,10,1,2,87.7,255.9,2,1,10.0%,-,-,30.0%,20.0%,72.0,11.1%,38.9%,11.1%,100.0%,50.0%,40.0%,25.0%,10.0%,40.0%,10.0%,60.0%,30.0%,60.0%
Wyatt Langford RHB,,+353,15,4.00,10,1,2,90.2,267.6,2,2,20.0%,10.0%,10.0%,50.0%,30.0%,72.4,17.6%,41.2%,29.4%,94.4%,50.0%,40.0%,25.0%,10.0%,40.0%,50.0%,20.0%,30.0%,20.0%
Elias Diaz RHB,,+630,25,3.20,10,0,1,86.4,181.9,1,1,-,-,20.0%,30.0%,30.0%,75.0,55.0%,15.0%,5.0%,95.2%,40.0%,20.0%,0.0%,20.0%,20.0%,30.0%,10.0%,60.0%,28.6%
Austin Wynns RHB,—,N/A,7,1.80,10,0,0,87.6,237.7,3,1,-,-,20.0%,40.0%,10.0%,72.7,30.8%,30.8%,7.7%,100.0%,40.0%,30.0%,0.0%,10.0%,40.0%,30.0%,40.0%,30.0%,33.3%
Jake Burger RHB,,+374,35,3.00,10,0,2,95.8,260.2,3,2,20.0%,10.0%,20.0%,70.0%,40.0%,77.6,88.9%,44.4%,22.2%,94.7%,50.0%,10.0%,0.0%,40.0%,40.0%,40.0%,40.0%,20.0%,37.5%
Nicky Lopez LHB,—,N/A,6,3.00,10,0,0,83.2,205.9,0,0,-,-,10.0%,30.0%,20.0%,64.1,-,38.5%,7.7%,72.2%,20.0%,-,-,20.0%,60.0%,20.0%,70.0%,10.0%,71.4%
Justin Foscue RHB,,+600,28,2.00,10,0,0,85.9,237.8,1,0,-,-,10.0%,40.0%,10.0%,71.4,9.5%,28.6%,14.3%,91.3%,20.0%,10.0%,0.0%,10.0%,60.0%,60.0%,30.0%,10.0%,66.7%
Evan Carter LHB,—,N/A,10,3.00,10,0,0,64.1,257.3,1,0,-,-,10.0%,10.0%,10.0%,71.2,25.0%,12.5%,-,80.0%,30.0%,30.0%,0.0%,-,20.0%,20.0%,30.0%,50.0%,50.0%
Joc Pederson LHB,—,N/A,17,3.40,3,0,1,87.5,362.8,1,1,33.3%,-,-,66.7%,-,71.7,-,40.0%,40.0%,83.3%,33.3%,33.3%,0.0%,-,66.7%,-,66.7%,33.3%,66.7%
