Matchup,TEX @ TOR
Pitcher,Patrick Corbin
Pitcher Team,TOR
Opposing Team,TEX

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,64.2,290,0.293,0.355,0.456,0.162,1.53,8,1.11,7.9%,20.5%,16.2%,14.3%,9.9%,6.54,63.1%,5.1%,7.4%,43.3%,22.8%,16.3%,19.1%
vsLHB,15.2,68,0.262,0.289,0.311,0.049,1.28,0,-,5.9%,26.3%,23.5%,17.8%,12.9%,9.19,69.6%,4.4%,2.2%,50.0%,19.6%,-,13.0%
vsRHB,48.1,222,0.303,0.375,0.500,0.197,1.63,8,1.49,8.6%,18.6%,14.0%,13.0%,8.9%,5.77,61.2%,5.3%,8.9%,41.4%,23.7%,20.0%,20.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Elias Diaz RHB,—,N/A,28,16,3.20,2,2,0.125,0.125,0.500,0.375,0.262,-,29.6%,12.5%,20.0%,81.7,267.9,2,2,14.3%,7.1%,14.3%,14.3%,21.4%,76.0,68.2%,22.7%,4.5%,88.0%,35.7%,40.0%,7.1%,50.0%,42.9%,28.6%,28.6%,33.3%
Kyle Higashioka RHB,,N/A,18,9,4.00,2,3,0.625,0.667,1.500,0.875,0.878,11.1%,42.1%,22.2%,18.6%,95.2,317.5,3,2,33.3%,33.3%,50.0%,50.0%,66.7%,70.8,5.9%,35.3%,17.6%,94.4%,33.3%,100.0%,50.0%,16.7%,66.7%,16.7%,16.7%,0.0%
Corey Seager LHB,,N/A,15,14,4.40,1,1,0.083,0.214,0.333,0.250,0.243,14.3%,29.6%,21.4%,17.0%,93.7,311.2,2,1,11.1%,-,-,77.8%,22.2%,72.1,12.0%,28.0%,24.0%,92.6%,33.3%,33.3%,-,66.7%,55.6%,-,44.4%,60.0%
Justin Foscue RHB,—,N/A,23,13,1.20,1,1,0.273,0.385,0.545,0.273,0.398,15.4%,12.5%,7.7%,5.7%,91.4,217.9,2,2,20.0%,20.0%,40.0%,60.0%,30.0%,71.4,15.4%,30.8%,30.8%,92.9%,20.0%,50.0%,20.0%,30.0%,40.0%,30.0%,30.0%,44.4%
Wyatt Langford RHB,,N/A,4,12,4.60,1,1,0.167,0.167,0.417,0.250,0.249,-,26.1%,33.3%,16.2%,82.2,284.3,2,2,12.5%,12.5%,12.5%,12.5%,25.0%,74.1,40.9%,18.2%,4.5%,95.7%,62.5%,20.0%,-,25.0%,25.0%,25.0%,50.0%,33.3%
Jake Burger RHB,,N/A,20,11,3.80,1,1,0.444,0.455,1.000,0.556,0.562,9.1%,20.0%,18.2%,9.8%,88.4,300.6,3,1,12.5%,12.5%,25.0%,37.5%,25.0%,77.4,68.4%,21.1%,10.5%,100.0%,62.5%,20.0%,-,37.5%,50.0%,37.5%,12.5%,50.0%
Brandon Nimmo LHB,,N/A,9,16,4.40,0,1,0.200,0.250,0.333,0.133,0.255,6.2%,14.7%,12.5%,9.4%,86.8,286.9,5,2,7.7%,-,-,38.5%,38.5%,71.5,16.7%,20.0%,6.7%,93.8%,61.5%,0.0%,7.7%,23.1%,15.4%,30.8%,53.8%,62.5%
Josh Jung RHB,—,N/A,11,13,4.60,0,0,0.333,0.385,0.333,-,0.324,7.7%,36.4%,15.4%,18.2%,93.9,305.0,4,1,-,-,-,60.0%,30.0%,70.2,10.0%,45.0%,10.0%,95.2%,30.0%,0.0%,30.0%,40.0%,20.0%,40.0%,40.0%,22.2%
Joc Pederson LHB,,N/A,3,9,4.40,0,1,0.286,0.444,0.857,0.571,0.512,11.1%,12.5%,22.2%,4.8%,96.3,283.1,1,1,20.0%,-,40.0%,80.0%,40.0%,72.1,23.1%,30.8%,30.8%,81.2%,40.0%,0.0%,40.0%,20.0%,40.0%,40.0%,20.0%,10.0%
Alejandro Osuna LHB,,N/A,-,9,3.40,0,0,0.375,0.444,0.375,-,0.377,-,18.2%,22.2%,8.7%,82.3,203.3,0,0,-,-,-,20.0%,20.0%,69.4,-,33.3%,-,90.0%,-,-,20.0%,60.0%,20.0%,40.0%,40.0%,33.3%
Nicky Lopez LHB,,N/A,-,8,3.00,0,0,0.500,0.500,0.500,-,0.445,-,16.7%,12.5%,9.1%,60.7,203.5,0,0,-,-,-,14.3%,28.6%,65.3,-,13.3%,-,93.8%,-,-,14.3%,57.1%,-,71.4%,28.6%,60.0%
Jarred Kelenic LHB,—,N/A,-,7,2.40,0,0,0.333,0.429,0.333,-,0.347,14.3%,22.2%,14.3%,8.0%,90.5,266.8,0,0,-,-,-,40.0%,40.0%,75.5,28.6%,28.6%,28.6%,77.8%,20.0%,0.0%,40.0%,40.0%,-,80.0%,20.0%,16.7%
Ezequiel Duran RHB,,N/A,7,7,3.80,0,0,0.286,0.286,0.429,0.143,0.309,-,22.2%,28.6%,12.5%,94.4,216.5,0,0,-,-,40.0%,20.0%,40.0%,72.2,20.0%,12.0%,4.0%,92.6%,-,-,40.0%,60.0%,80.0%,20.0%,-,37.5%
