Matchup,TOR @ BAL
Pitcher,Trey Yesavage
Pitcher Team,TOR
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,32.0,128,0.207,0.255,0.293,0.086,1.06,0,-,7.8%,31.3%,27.3%,20.5%,16.0%,9.84,56.2%,6.9%,3.7%,26.8%,29.3%,-,15.9%
vsLHB,18.0,72,0.221,0.247,0.294,0.074,1.06,0,-,5.6%,34.8%,25.0%,23.7%,16.9%,9.00,56.9%,9.0%,2.0%,30.0%,36.0%,-,10.0%
vsRHB,14.0,56,0.188,0.265,0.292,0.104,1.07,0,-,10.7%,27.8%,30.4%,17.9%,15.0%,10.93,55.4%,4.5%,6.2%,21.9%,18.8%,-,25.0%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pete Alonso RHB,+410,14,4.60,3,3,0.250,0.286,1.000,0.750,0.496,7.1%,24.2%,28.6%,15.1%,97.8,33.3%,-,-,66.7%,22.2%,74.3,48.0%,24.0%,20.0%,80.6%,55.6%,60.0%,-,44.4%,11.1%,33.3%,55.6%,42.9%
Jackson Holliday LHB,+850,17,3.60,2,2,0.333,0.353,0.733,0.400,0.442,5.9%,26.7%,17.6%,12.9%,95.2,15.4%,15.4%,23.1%,53.8%,30.8%,70.8,6.9%,41.4%,24.1%,96.7%,30.8%,50.0%,23.1%,38.5%,61.5%,30.8%,7.7%,28.6%
Taylor Ward RHB,+670,18,4.60,1,1,0.235,0.278,0.412,0.176,0.301,5.6%,25.9%,27.8%,10.9%,91.3,-,-,16.7%,50.0%,41.7%,67.9,3.8%,34.6%,15.4%,96.3%,41.7%,20.0%,25.0%,8.3%,16.7%,41.7%,41.7%,23.5%
Samuel Basallo LHB,+470,14,2.80,1,1,0.250,0.286,0.500,0.250,0.324,7.1%,20.0%,21.4%,10.4%,95.2,10.0%,10.0%,10.0%,60.0%,40.0%,77.1,87.0%,34.8%,17.4%,92.0%,40.0%,25.0%,20.0%,30.0%,30.0%,60.0%,10.0%,35.7%
Tyler O'Neill RHB,N/A,14,2.20,1,2,0.286,0.286,0.500,0.214,0.341,-,25.0%,14.3%,14.6%,89.2,8.3%,8.3%,41.7%,33.3%,33.3%,71.5,8.3%,33.3%,4.2%,88.9%,50.0%,0.0%,25.0%,16.7%,50.0%,41.7%,8.3%,35.7%
Blaze Alexander RHB,N/A,13,3.60,1,3,0.385,0.385,0.769,0.385,0.494,-,25.0%,23.1%,12.8%,96.1,30.0%,10.0%,30.0%,70.0%,70.0%,72.2,20.0%,45.0%,30.0%,100.0%,30.0%,33.3%,50.0%,20.0%,40.0%,40.0%,20.0%,33.3%
Colton Cowser LHB,+690,11,3.00,1,2,0.333,0.455,0.667,0.333,0.471,18.2%,22.7%,18.2%,10.9%,84.6,14.3%,-,-,28.6%,28.6%,74.6,42.9%,14.3%,4.8%,95.5%,28.6%,50.0%,14.3%,57.1%,57.1%,28.6%,14.3%,45.5%
Coby Mayo RHB,+540,18,3.20,0,0,0.071,0.278,0.071,-,0.198,16.7%,25.0%,33.3%,9.9%,93.0,12.5%,-,37.5%,50.0%,37.5%,75.4,60.9%,21.7%,8.7%,82.1%,50.0%,0.0%,12.5%,25.0%,37.5%,62.5%,-,6.7%
Leody Taveras SHB,+710,17,4.40,0,0,0.429,0.529,0.643,0.214,0.496,17.6%,29.4%,35.3%,14.9%,78.9,-,-,25.0%,50.0%,25.0%,73.5,42.9%,14.3%,10.7%,84.8%,12.5%,0.0%,25.0%,37.5%,37.5%,37.5%,25.0%,57.1%
Gunnar Henderson LHB,+462,17,4.60,0,0,0.125,0.176,0.188,0.062,0.165,5.9%,23.3%,23.5%,11.9%,88.5,16.7%,8.3%,25.0%,50.0%,33.3%,75.9,63.0%,22.2%,18.5%,90.0%,16.7%,0.0%,25.0%,50.0%,50.0%,41.7%,8.3%,26.7%
Jeremiah Jackson RHB,N/A,16,3.20,0,1,0.133,0.125,0.200,0.067,0.135,-,15.4%,12.5%,8.5%,95.4,7.1%,-,7.1%,57.1%,35.7%,73.3,33.3%,45.8%,25.0%,92.3%,21.4%,0.0%,35.7%,28.6%,28.6%,28.6%,42.9%,43.8%
Adley Rutschman SHB,+670,14,4.80,0,0,0.250,0.357,0.417,0.167,0.338,14.3%,3.8%,14.3%,1.5%,89.7,-,-,40.0%,30.0%,30.0%,71.2,13.0%,30.4%,4.3%,92.0%,30.0%,0.0%,30.0%,30.0%,40.0%,50.0%,10.0%,26.3%
Weston Wilson RHB,N/A,5,1.60,0,0,0.333,0.600,0.333,-,0.438,40.0%,33.3%,-,10.7%,97.3,-,-,33.3%,66.7%,-,71.8,-,37.5%,12.5%,88.9%,66.7%,0.0%,-,33.3%,33.3%,33.3%,33.3%,28.6%
