Matchup,TOR @ CHC
Pitcher,Dylan Cease
Pitcher Team,TOR
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,119.1,481,0.183,0.248,0.265,0.082,1.08,7,0.53,10.6%,35.4%,36.0%,25.1%,16.5%,13.05,63.3%,6.6%,4.7%,32.8%,21.3%,13.0%,19.0%
vsLHB,67.0,273,0.174,0.259,0.284,0.110,1.12,6,0.81,12.5%,35.5%,35.9%,23.8%,16.5%,13.16,61.2%,6.4%,5.8%,33.8%,24.5%,17.6%,18.7%
vsRHB,52.1,208,0.195,0.232,0.242,0.047,1.03,1,0.17,8.2%,35.4%,36.1%,27.2%,16.5%,12.90,66.0%,6.9%,3.5%,31.6%,17.5%,5.0%,19.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Tyrone Taylor RHB,—,N/A,27,2.80,10,2,2,88.6,332.5,4,3,30.0%,20.0%,40.0%,50.0%,20.0%,71.9,30.8%,38.5%,30.8%,92.9%,50.0%,40.0%,50.0%,10.0%,40.0%,40.0%,60.0%,-,12.5%
Michael Conforto LHB,—,N/A,29,3.20,10,1,3,93.5,321.5,5,5,10.0%,10.0%,40.0%,40.0%,40.0%,72.9,33.3%,58.3%,8.3%,100.0%,60.0%,50.0%,20.0%,10.0%,30.0%,60.0%,40.0%,-,57.1%
Nico Hoerner RHB,,+1500,7,4.00,10,1,1,90.6,268.9,2,1,10.0%,10.0%,40.0%,50.0%,50.0%,70.0,-,57.1%,14.3%,100.0%,50.0%,20.0%,50.0%,30.0%,40.0%,50.0%,40.0%,10.0%,33.3%
Pete Crow-Armstrong LHB,,+483,18,4.40,10,1,2,93.2,273.8,3,2,20.0%,10.0%,50.0%,60.0%,30.0%,77.1,82.4%,35.3%,29.4%,94.4%,80.0%,60.0%,16.7%,20.0%,10.0%,60.0%,30.0%,10.0%,37.5%
Pedro Ramirez SHB,,+1080,10,3.40,10,0,0,87.6,226.4,1,0,-,-,20.0%,40.0%,40.0%,70.8,23.1%,38.5%,15.4%,100.0%,40.0%,10.0%,0.0%,30.0%,50.0%,40.0%,50.0%,10.0%,40.0%
Miguel Amaya RHB,—,N/A,28,3.40,10,0,0,90.9,239.3,4,0,-,-,20.0%,40.0%,70.0%,70.8,11.1%,44.4%,22.2%,94.7%,60.0%,20.0%,0.0%,40.0%,20.0%,20.0%,40.0%,40.0%,50.0%
Alex Bregman RHB,,+880,17,4.40,10,0,0,93.8,239.2,2,1,-,-,-,50.0%,20.0%,69.8,-,69.2%,15.4%,100.0%,40.0%,20.0%,0.0%,20.0%,50.0%,40.0%,40.0%,20.0%,28.6%
Carson Kelly RHB,,+930,9,4.60,10,0,0,85.5,261.3,1,0,-,-,-,40.0%,50.0%,68.9,9.1%,54.5%,18.2%,100.0%,70.0%,30.0%,0.0%,40.0%,30.0%,20.0%,70.0%,10.0%,50.0%
Dansby Swanson RHB,,+800,16,3.80,10,0,0,89.0,237.5,0,0,-,-,-,30.0%,10.0%,71.5,-,50.0%,16.7%,92.3%,30.0%,20.0%,0.0%,10.0%,60.0%,50.0%,30.0%,20.0%,37.5%
Seiya Suzuki RHB,,+579,21,4.40,10,0,0,88.5,217.7,2,1,10.0%,-,20.0%,40.0%,50.0%,75.5,64.7%,29.4%,17.6%,94.4%,60.0%,10.0%,0.0%,50.0%,20.0%,20.0%,50.0%,30.0%,22.2%
Ian Happ SHB,,+600,15,3.00,10,0,1,87.3,274.2,1,1,-,-,20.0%,40.0%,20.0%,70.1,11.1%,44.4%,11.1%,81.8%,40.0%,20.0%,0.0%,20.0%,60.0%,50.0%,30.0%,20.0%,57.1%
Michael Busch LHB,,+620,23,4.20,10,0,0,86.6,270.6,1,0,-,-,20.0%,50.0%,30.0%,69.5,19.0%,33.3%,14.3%,95.5%,40.0%,10.0%,0.0%,30.0%,60.0%,60.0%,20.0%,20.0%,37.5%
James Triantos RHB,—,N/A,-,1.33,1,0,0,98.2,-,0,0,-,-,-,100.0%,-,66.4,-,100.0%,-,100.0%,-,-,-,-,100.0%,-,-,100.0%,-
