Matchup,TOR @ NYY
Pitcher,Dylan Cease
Pitcher Team,TOR
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,137.2,553,0.178,0.246,0.266,0.088,1.06,9,0.59,10.7%,34.8%,36.2%,25.3%,16.0%,13.08,62.7%,6.3%,4.8%,32.4%,23.4%,13.2%,20.0%
vsLHB,78.1,313,0.162,0.246,0.268,0.107,1.03,7,0.80,11.8%,35.4%,37.4%,24.7%,16.2%,13.44,60.8%,6.2%,5.1%,32.5%,26.8%,16.7%,19.1%
vsRHB,59.1,240,0.199,0.246,0.264,0.065,1.10,2,0.30,9.2%,34.1%,34.6%,26.1%,15.9%,12.59,65.1%,6.4%,4.5%,32.3%,19.5%,7.7%,21.1%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Luis Garcia Jr. LHB,,+520,30,3.80,10,1,1,96.7,276.8,2,1,10.0%,10.0%,20.0%,60.0%,30.0%,76.1,72.7%,54.5%,45.5%,84.6%,70.0%,40.0%,25.0%,30.0%,30.0%,40.0%,30.0%,30.0%,22.2%
Trent Grisham LHB,,+470,18,4.40,10,2,2,94.8,299.5,5,2,10.0%,10.0%,40.0%,60.0%,30.0%,71.7,7.7%,53.8%,38.5%,100.0%,80.0%,60.0%,33.3%,20.0%,20.0%,60.0%,30.0%,10.0%,33.3%
Heliot Ramos RHB,,+630,15,4.00,10,0,1,89.7,219.1,1,1,10.0%,-,-,50.0%,20.0%,75.3,66.7%,33.3%,26.7%,100.0%,30.0%,20.0%,0.0%,10.0%,60.0%,20.0%,30.0%,50.0%,10.0%
Ben Rice LHB,,+420,32,4.60,10,2,2,95.8,334.4,4,2,20.0%,10.0%,20.0%,50.0%,20.0%,75.0,56.2%,37.5%,25.0%,100.0%,50.0%,50.0%,40.0%,-,40.0%,50.0%,40.0%,10.0%,37.5%
Jose Caballero RHB,,+1100,10,2.60,10,2,2,81.5,344.1,5,4,30.0%,10.0%,20.0%,50.0%,60.0%,72.0,15.4%,53.8%,23.1%,86.7%,50.0%,40.0%,50.0%,10.0%,20.0%,30.0%,60.0%,10.0%,28.6%
George Lombard Jr. RHB,,+1000,15,4.00,10,0,1,90.0,305.0,3,2,10.0%,10.0%,10.0%,60.0%,40.0%,71.5,7.1%,50.0%,21.4%,100.0%,50.0%,30.0%,0.0%,20.0%,50.0%,30.0%,20.0%,50.0%,12.5%
Austin Wells LHB,,+700,22,2.60,10,0,0,83.0,208.8,0,0,-,-,30.0%,40.0%,20.0%,72.4,13.3%,33.3%,20.0%,93.8%,40.0%,20.0%,0.0%,20.0%,40.0%,70.0%,20.0%,10.0%,37.5%
Amed Rosario RHB,—,N/A,24,1.00,10,1,1,90.4,266.3,2,1,10.0%,10.0%,10.0%,20.0%,60.0%,74.3,36.4%,45.5%,18.2%,84.6%,70.0%,20.0%,0.0%,50.0%,30.0%,30.0%,20.0%,50.0%,0.0%
Max Schuemann RHB,—,N/A,12,2.60,10,1,1,86.4,286.8,5,3,20.0%,10.0%,30.0%,50.0%,60.0%,70.3,-,54.5%,18.2%,91.7%,80.0%,40.0%,0.0%,40.0%,-,40.0%,30.0%,30.0%,50.0%
Jazz Chisholm Jr. LHB,,+560,22,3.20,10,0,1,95.4,269.2,4,3,20.0%,-,20.0%,60.0%,50.0%,72.4,35.3%,52.9%,17.6%,100.0%,80.0%,50.0%,0.0%,30.0%,20.0%,40.0%,30.0%,30.0%,87.5%
Spencer Jones LHB,,+750,30,3.80,10,0,0,97.1,257.4,1,0,10.0%,-,10.0%,60.0%,40.0%,77.1,81.8%,18.2%,9.1%,78.6%,70.0%,30.0%,0.0%,40.0%,30.0%,40.0%,40.0%,20.0%,66.7%
Paul Goldschmidt RHB,—,N/A,15,2.20,10,0,0,83.5,281.2,2,1,10.0%,-,-,20.0%,30.0%,70.4,-,33.3%,-,94.7%,60.0%,50.0%,0.0%,10.0%,40.0%,20.0%,40.0%,40.0%,44.4%
Ali Sanchez RHB,—,N/A,15,1.40,10,0,0,80.9,228.4,0,0,-,-,20.0%,20.0%,40.0%,68.8,-,40.0%,-,100.0%,40.0%,10.0%,0.0%,30.0%,50.0%,50.0%,20.0%,30.0%,30.0%
