Matchup,TOR @ SF
Pitcher,Dylan Cease
Pitcher Team,TOR
Opposing Team,SF

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,58.1,235,0.190,0.258,0.295,0.105,1.10,5,0.77,10.2%,35.4%,37.4%,25.7%,16.4%,13.58,67.6%,6.2%,5.7%,32.8%,26.2%,15.6%,22.1%
vsLHB,35.0,144,0.176,0.264,0.296,0.120,1.14,4,1.03,12.5%,37.2%,38.9%,25.5%,17.0%,14.40,69.4%,5.7%,5.8%,30.4%,27.5%,21.1%,20.3%
vsRHB,23.1,91,0.212,0.248,0.294,0.082,1.03,1,0.39,6.6%,32.4%,35.2%,26.0%,15.5%,12.34,64.8%,7.2%,5.7%,35.8%,24.5%,7.7%,24.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Rafael Devers LHB,,+540,20,20,4.40,5,6,0.471,0.550,1.412,0.941,0.775,15.0%,23.5%,15.0%,9.3%,97.0,353.8,8,7,35.7%,14.3%,21.4%,57.1%,28.6%,74.0,40.6%,37.5%,18.8%,97.0%,78.6%,64.3%,55.6%,14.3%,21.4%,35.7%,42.9%,21.4%,0.0%
Victor Bericoto RHB,,+1000,15,16,4.00,3,4,0.438,0.438,1.000,0.562,0.616,-,19.4%,6.2%,10.3%,88.0,342.5,4,4,26.7%,-,-,46.7%,40.0%,73.2,33.3%,33.3%,14.8%,90.0%,53.3%,40.0%,50.0%,13.3%,46.7%,20.0%,46.7%,33.3%,26.3%
Heliot Ramos RHB,,+680,33,22,4.60,2,4,0.300,0.364,0.800,0.500,0.478,9.1%,21.4%,22.7%,9.1%,92.1,364.7,4,3,26.7%,-,-,53.3%,33.3%,71.1,10.5%,21.1%,15.8%,92.7%,33.4%,26.7%,50.0%,6.7%,66.7%,46.7%,20.0%,33.3%,11.1%
Casey Schmitt RHB,,+650,21,25,4.40,1,2,0.217,0.240,0.348,0.130,0.255,-,17.8%,20.0%,10.0%,90.5,277.2,6,4,10.5%,-,10.5%,52.6%,42.1%,72.5,20.5%,33.3%,20.5%,86.7%,47.4%,21.1%,25.0%,26.3%,42.1%,31.6%,26.3%,42.1%,29.6%
Bryce Eldridge LHB,,+800,34,25,4.20,0,1,0.217,0.280,0.304,0.087,0.260,8.0%,35.0%,44.0%,14.7%,93.9,257.0,3,2,8.3%,-,16.7%,58.3%,25.0%,74.2,33.3%,16.7%,16.7%,92.3%,50.0%,25.0%,0.0%,25.0%,41.7%,33.3%,16.7%,50.0%,17.6%
Jung Hoo Lee LHB,,+1460,18,21,4.20,0,0,0.238,0.238,0.238,-,0.212,-,15.2%,9.5%,6.8%,83.1,210.4,2,0,-,-,5.3%,15.8%,15.8%,68.4,3.4%,37.9%,6.9%,87.9%,31.6%,10.5%,0.0%,21.1%,57.9%,42.1%,26.3%,31.6%,23.5%
Luis Arraez LHB,,+1560,9,20,4.40,0,2,0.333,0.350,0.556,0.222,0.374,5.0%,6.5%,5.0%,2.9%,88.3,266.9,3,1,-,-,16.7%,33.3%,44.4%,64.9,-,51.7%,10.3%,93.5%,66.7%,27.8%,0.0%,38.9%,33.3%,38.9%,33.3%,27.8%,14.3%
Willy Adames RHB,,+680,18,19,4.20,0,0,0.353,0.421,0.353,-,0.349,10.5%,29.4%,26.3%,13.2%,88.2,235.3,3,0,-,-,33.3%,50.0%,41.7%,73.0,25.0%,21.9%,12.5%,94.1%,66.7%,25.0%,0.0%,41.7%,25.0%,41.7%,50.0%,8.3%,31.8%
Eric Haase RHB,,+875,19,17,3.60,0,0,0.059,0.059,0.059,-,0.052,-,35.5%,17.6%,16.9%,72.8,248.6,2,0,-,-,14.3%,28.6%,21.4%,72.1,20.0%,24.0%,4.0%,86.2%,28.6%,14.3%,0.0%,14.3%,28.6%,35.7%,42.9%,21.4%,25.0%
Drew Cavanaugh LHB,—,N/A,5,14,3.40,0,0,0.071,0.071,0.071,-,0.064,-,15.6%,28.6%,8.3%,81.9,227.0,4,0,10.0%,10.0%,30.0%,10.0%,40.0%,70.6,6.5%,16.1%,3.2%,96.9%,50.0%,10.0%,0.0%,40.0%,20.0%,40.0%,30.0%,30.0%,46.7%
