Matchup,WSH @ ATH
Pitcher,Cade Cavalli
Pitcher Team,WSH
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,98.2,433,0.262,0.312,0.364,0.101,1.35,8,0.73,7.4%,25.2%,25.4%,21.3%,12.0%,10.03,61.1%,8.9%,6.8%,40.1%,22.6%,9.5%,12.9%
vsLHB,56.2,259,0.288,0.344,0.415,0.127,1.48,6,0.95,6.9%,25.8%,25.5%,22.7%,12.0%,10.48,58.1%,9.5%,5.5%,37.6%,24.8%,14.6%,14.5%
vsRHB,41.0,174,0.224,0.265,0.288,0.064,1.20,2,0.44,8.0%,24.4%,25.3%,19.6%,12.0%,9.66,65.5%,8.1%,8.8%,43.9%,19.3%,-,10.5%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Donovan Walton LHB,—,N/A,19,2.80,10,1,1,91.2,293.3,5,1,-,-,30.0%,40.0%,60.0%,68.0,-,81.8%,9.1%,100.0%,80.0%,20.0%,50.0%,60.0%,20.0%,40.0%,40.0%,20.0%,33.3%
Tyler Soderstrom LHB,,+471,22,2.60,10,1,1,92.8,288.0,2,2,10.0%,-,-,50.0%,60.0%,75.3,62.5%,31.2%,25.0%,100.0%,60.0%,20.0%,50.0%,40.0%,40.0%,20.0%,60.0%,20.0%,62.5%
Joshua Kuroda-Grauer RHB,—,N/A,7,3.80,10,0,0,89.3,257.1,1,1,-,-,20.0%,60.0%,40.0%,68.7,-,53.8%,30.8%,92.9%,60.0%,20.0%,0.0%,40.0%,40.0%,30.0%,50.0%,20.0%,16.7%
Henry Bolte RHB,,+870,16,3.20,10,0,0,84.7,302.4,1,0,-,-,-,30.0%,10.0%,77.9,93.8%,18.8%,18.8%,100.0%,10.0%,10.0%,0.0%,-,90.0%,50.0%,40.0%,10.0%,55.6%
Carlos Cortes LHB,,+356,14,2.60,10,0,1,84.4,296.0,4,2,10.0%,10.0%,20.0%,20.0%,40.0%,70.3,7.7%,30.8%,15.4%,76.5%,50.0%,30.0%,0.0%,20.0%,40.0%,30.0%,40.0%,30.0%,16.7%
Jeff McNeil LHB,,+1200,33,2.60,10,0,0,91.6,303.6,4,1,-,-,10.0%,60.0%,10.0%,69.8,-,64.3%,7.1%,100.0%,50.0%,30.0%,0.0%,20.0%,50.0%,40.0%,50.0%,10.0%,100.0%
Jonah Heim SHB,,+600,21,4.00,10,0,0,85.6,175.4,0,0,-,-,-,50.0%,10.0%,70.1,8.3%,41.7%,8.3%,92.3%,10.0%,-,-,10.0%,90.0%,50.0%,50.0%,-,77.8%
Shea Langeliers RHB,,+320,19,3.80,10,0,0,95.0,324.5,2,2,10.0%,-,10.0%,50.0%,30.0%,75.0,68.8%,50.0%,25.0%,94.1%,40.0%,10.0%,0.0%,30.0%,60.0%,20.0%,60.0%,20.0%,16.7%
Lawrence Butler LHB,,+407,26,3.80,10,0,0,90.3,258.5,2,0,-,-,10.0%,40.0%,50.0%,73.8,44.4%,33.3%,22.2%,90.0%,50.0%,20.0%,0.0%,30.0%,50.0%,60.0%,20.0%,20.0%,55.6%
Alika Williams RHB,,+1060,14,3.00,10,0,0,79.6,165.8,1,1,-,-,20.0%,20.0%,30.0%,68.7,7.7%,30.8%,7.7%,92.9%,40.0%,10.0%,0.0%,30.0%,40.0%,50.0%,30.0%,20.0%,50.0%
Jacob Wilson RHB,,+1100,13,3.80,10,0,0,89.4,261.7,1,0,-,-,10.0%,50.0%,30.0%,65.5,-,53.3%,20.0%,93.8%,30.0%,-,-,30.0%,70.0%,50.0%,30.0%,20.0%,20.0%
Colby Thomas RHB,,+560,-,2.00,8,0,1,87.3,304.4,2,1,-,-,-,50.0%,-,74.3,44.4%,33.3%,-,90.0%,25.0%,25.0%,0.0%,-,62.5%,25.0%,62.5%,12.5%,57.1%
