Matchup,WSH @ ATH
Pitcher,Foster Griffin
Pitcher Team,WSH
Opposing Team,ATH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,110.1,445,0.209,0.276,0.365,0.156,1.02,17,1.39,5.8%,25.7%,24.5%,19.2%,12.5%,8.89,61.0%,6.1%,9.9%,36.6%,25.7%,20.5%,18.8%
vsLHB,32.0,124,0.149,0.225,0.289,0.140,0.72,4,1.12,4.8%,28.4%,29.8%,22.3%,13.6%,10.41,64.5%,6.6%,9.1%,29.9%,29.9%,17.4%,22.1%
vsRHB,78.1,321,0.232,0.295,0.394,0.162,1.14,13,1.49,6.2%,24.7%,22.4%,18.0%,12.1%,8.27,59.6%,5.9%,10.2%,38.9%,24.3%,21.8%,17.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jonah Heim SHB,,N/A,21,4.00,10,1,2,87.9,317.9,4,1,10.0%,-,-,30.0%,40.0%,71.3,15.8%,31.6%,10.5%,95.0%,50.0%,30.0%,33.3%,20.0%,50.0%,30.0%,30.0%,40.0%,71.4%
Shea Langeliers RHB,,N/A,10,3.80,10,1,2,95.1,310.9,3,2,20.0%,10.0%,30.0%,60.0%,30.0%,77.7,93.3%,46.7%,26.7%,100.0%,50.0%,40.0%,25.0%,10.0%,50.0%,70.0%,10.0%,20.0%,16.7%
Alika Williams RHB,—,N/A,8,2.40,10,1,1,76.4,242.9,1,1,-,-,30.0%,20.0%,40.0%,70.0,-,16.7%,11.1%,94.7%,60.0%,30.0%,33.3%,30.0%,40.0%,40.0%,50.0%,10.0%,50.0%
Colby Thomas RHB,—,N/A,20,1.80,10,1,1,85.9,262.7,4,2,20.0%,10.0%,20.0%,30.0%,40.0%,74.1,41.7%,25.0%,25.0%,92.3%,40.0%,30.0%,33.3%,10.0%,20.0%,30.0%,50.0%,20.0%,50.0%
Donovan Walton LHB,,N/A,-,3.00,7,1,1,73.0,260.3,1,1,-,-,14.3%,14.3%,42.9%,66.2,-,44.4%,-,69.2%,57.2%,42.9%,33.3%,14.3%,42.9%,28.6%,14.3%,57.1%,42.9%
Joshua Kuroda-Grauer RHB,—,N/A,6,3.80,10,0,0,87.6,229.6,2,0,-,-,-,20.0%,20.0%,66.3,-,50.0%,6.2%,94.1%,30.0%,10.0%,0.0%,20.0%,50.0%,30.0%,50.0%,20.0%,50.0%
Henry Bolte RHB,—,N/A,27,3.20,10,0,0,81.7,191.6,1,0,-,-,-,40.0%,20.0%,77.1,81.2%,25.0%,18.8%,88.9%,40.0%,20.0%,0.0%,20.0%,50.0%,10.0%,60.0%,30.0%,50.0%
Jeff McNeil LHB,,N/A,9,2.60,10,0,0,83.0,233.5,2,1,-,-,-,20.0%,10.0%,67.6,5.9%,41.2%,5.9%,94.4%,60.0%,50.0%,0.0%,10.0%,30.0%,20.0%,50.0%,30.0%,55.6%
Lawrence Butler LHB,,N/A,13,3.80,10,0,0,82.3,267.4,1,0,-,-,-,50.0%,30.0%,72.1,7.1%,28.6%,7.1%,93.3%,30.0%,-,-,30.0%,70.0%,20.0%,50.0%,30.0%,33.3%
Tyler Soderstrom LHB,,N/A,15,3.00,10,0,0,97.1,255.6,2,0,-,-,-,60.0%,20.0%,73.4,33.3%,66.7%,50.0%,85.7%,20.0%,-,-,20.0%,70.0%,-,60.0%,40.0%,83.3%
Jacob Wilson RHB,,N/A,7,3.60,10,0,0,83.3,259.3,2,1,-,-,-,20.0%,50.0%,65.3,-,50.0%,7.1%,100.0%,60.0%,30.0%,0.0%,30.0%,40.0%,10.0%,40.0%,50.0%,37.5%
Carlos Cortes LHB,,N/A,5,2.60,7,0,0,83.4,186.3,0,0,-,-,-,28.6%,28.6%,69.1,12.5%,12.5%,-,80.0%,28.6%,-,-,28.6%,57.1%,28.6%,-,71.4%,50.0%
