Matchup,WSH @ ATL
Pitcher,Jake Irvin
Pitcher Team,WSH
Opposing Team,ATL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.2,228,0.241,0.322,0.397,0.156,1.35,7,1.22,9.6%,25.7%,25.4%,18.4%,11.8%,10.10,61.4%,8.3%,12.0%,45.8%,30.3%,16.3%,21.8%
vsLHB,32.0,144,0.220,0.315,0.374,0.154,1.38,4,1.12,11.8%,27.1%,26.4%,20.2%,12.7%,10.69,63.9%,8.8%,15.3%,51.8%,32.9%,14.3%,18.8%
vsRHB,19.0,84,0.276,0.335,0.434,0.158,1.37,3,1.42,6.0%,23.3%,23.8%,15.6%,10.4%,9.47,57.1%,7.6%,7.0%,36.8%,26.3%,20.0%,26.3%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Michael Harris II LHB,,+325,19,4.00,10,1,1,89.3,313.6,2,2,10.0%,10.0%,20.0%,60.0%,30.0%,75.0,66.7%,50.0%,41.7%,85.7%,40.0%,20.0%,50.0%,20.0%,60.0%,50.0%,40.0%,10.0%,80.0%
Drake Baldwin LHB,,+320,38,4.40,10,2,2,94.3,268.4,2,2,20.0%,10.0%,10.0%,60.0%,40.0%,74.9,43.8%,43.8%,31.2%,100.0%,60.0%,20.0%,100.0%,40.0%,40.0%,30.0%,50.0%,20.0%,25.0%
Joey Bart RHB,—,N/A,20,3.00,10,1,2,83.6,245.0,2,2,20.0%,10.0%,10.0%,30.0%,30.0%,74.1,22.2%,44.4%,22.2%,81.8%,40.0%,20.0%,50.0%,20.0%,40.0%,20.0%,30.0%,50.0%,22.2%
Mike Yastrzemski LHB,,+600,23,1.80,10,1,1,92.5,281.4,5,2,30.0%,30.0%,60.0%,50.0%,40.0%,72.6,6.7%,46.7%,20.0%,100.0%,90.0%,60.0%,16.7%,30.0%,-,60.0%,20.0%,20.0%,16.7%
Matt Olson LHB,,+240,22,4.40,10,1,1,95.0,269.4,2,1,20.0%,10.0%,10.0%,60.0%,20.0%,72.7,26.7%,53.3%,20.0%,100.0%,40.0%,30.0%,33.3%,10.0%,50.0%,40.0%,40.0%,20.0%,33.3%
Austin Riley RHB,,+425,29,4.00,10,2,2,91.4,225.3,2,2,20.0%,10.0%,10.0%,50.0%,40.0%,77.5,73.3%,20.0%,20.0%,100.0%,50.0%,20.0%,50.0%,30.0%,40.0%,30.0%,40.0%,30.0%,57.1%
Eli White RHB,—,N/A,6,1.80,10,0,1,84.6,320.2,3,2,-,-,10.0%,40.0%,40.0%,73.1,44.4%,27.8%,16.7%,94.7%,40.0%,20.0%,0.0%,20.0%,60.0%,30.0%,50.0%,20.0%,20.0%
Jorge Mateo RHB,—,N/A,16,1.80,10,0,0,83.2,255.0,4,1,-,-,20.0%,30.0%,50.0%,74.5,30.8%,30.8%,15.4%,92.9%,50.0%,10.0%,0.0%,40.0%,20.0%,50.0%,20.0%,30.0%,12.5%
Ronald Acuna Jr. RHB,,+360,25,3.80,10,0,0,90.5,235.0,3,0,-,-,10.0%,30.0%,20.0%,75.8,53.8%,53.8%,15.4%,100.0%,50.0%,30.0%,0.0%,20.0%,20.0%,30.0%,20.0%,50.0%,50.0%
Jim Jarvis LHB,,+1050,10,3.20,10,0,0,81.9,267.1,3,0,-,-,10.0%,40.0%,40.0%,71.4,12.5%,75.0%,12.5%,80.0%,50.0%,10.0%,0.0%,40.0%,30.0%,10.0%,70.0%,20.0%,60.0%
Mauricio Dubon RHB,,+870,17,4.00,10,0,0,88.6,289.5,3,0,-,-,-,30.0%,30.0%,69.0,-,47.1%,5.9%,100.0%,50.0%,30.0%,0.0%,20.0%,50.0%,10.0%,80.0%,10.0%,66.7%
Ozzie Albies SHB,,+414,24,4.40,10,1,1,82.1,216.7,1,1,10.0%,10.0%,30.0%,20.0%,30.0%,68.8,-,23.5%,5.9%,89.5%,40.0%,30.0%,33.3%,10.0%,30.0%,50.0%,40.0%,10.0%,57.1%
Dominic Smith LHB,,+437,20,2.80,10,0,0,90.8,252.9,1,0,-,-,10.0%,30.0%,40.0%,69.3,17.6%,52.9%,5.9%,100.0%,60.0%,30.0%,0.0%,30.0%,30.0%,20.0%,40.0%,40.0%,33.3%
