Matchup,WSH @ COL
Pitcher,Cade Cavalli
Pitcher Team,WSH
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,104.2,454,0.259,0.308,0.362,0.103,1.31,9,0.77,7.0%,25.2%,26.2%,21.6%,12.0%,10.23,61.3%,9.0%,6.9%,40.5%,22.7%,10.6%,12.7%
vsLHB,59.1,269,0.285,0.342,0.418,0.134,1.45,7,1.06,6.7%,25.9%,26.0%,22.7%,12.2%,10.62,58.5%,9.8%,5.8%,38.0%,25.1%,16.3%,14.6%
vsRHB,44.1,185,0.222,0.258,0.281,0.060,1.15,2,0.41,7.6%,24.3%,26.5%,20.2%,11.8%,9.95,65.4%,7.9%,8.3%,44.2%,19.2%,-,10.0%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Hunter Goodman RHB,,+250,24,4.20,10,2,3,93.9,283.2,3,3,20.0%,-,20.0%,50.0%,40.0%,77.1,78.6%,50.0%,35.7%,100.0%,60.0%,30.0%,66.7%,30.0%,40.0%,40.0%,40.0%,20.0%,50.0%
Kyle Karros RHB,,+680,19,4.00,10,1,2,91.1,294.7,4,1,10.0%,10.0%,10.0%,20.0%,20.0%,69.3,-,72.7%,18.2%,91.7%,50.0%,50.0%,20.0%,-,40.0%,30.0%,10.0%,60.0%,71.4%
Willi Castro SHB,—,N/A,28,4.20,10,1,3,92.4,335.4,6,3,30.0%,20.0%,30.0%,40.0%,50.0%,72.5,26.7%,53.3%,26.7%,88.2%,70.0%,50.0%,20.0%,20.0%,30.0%,50.0%,30.0%,20.0%,66.7%
Jake McCarthy LHB,,+810,37,4.40,10,1,1,77.3,235.6,2,1,10.0%,10.0%,30.0%,20.0%,20.0%,71.2,-,70.0%,20.0%,83.3%,50.0%,30.0%,33.3%,20.0%,20.0%,50.0%,20.0%,30.0%,62.5%
Cole Carrigg SHB,,+670,40,3.80,10,0,1,82.4,279.7,2,1,-,-,10.0%,30.0%,40.0%,74.3,36.4%,27.3%,18.2%,100.0%,50.0%,30.0%,0.0%,20.0%,50.0%,40.0%,30.0%,30.0%,33.3%
TJ Rumfield LHB,,+690,39,4.20,10,0,0,83.8,214.6,1,0,-,-,10.0%,20.0%,40.0%,69.7,8.3%,50.0%,16.7%,92.3%,40.0%,10.0%,0.0%,30.0%,40.0%,20.0%,50.0%,30.0%,55.6%
Brett Sullivan LHB,—,N/A,16,2.80,10,0,0,87.8,270.6,4,2,-,-,30.0%,50.0%,30.0%,70.7,7.7%,53.8%,-,100.0%,70.0%,40.0%,0.0%,30.0%,20.0%,40.0%,40.0%,20.0%,42.9%
Mickey Moniak LHB,,+333,37,4.00,10,0,0,89.3,292.2,3,0,-,-,10.0%,40.0%,30.0%,74.2,53.3%,46.7%,6.7%,100.0%,50.0%,20.0%,0.0%,30.0%,50.0%,40.0%,40.0%,20.0%,33.3%
Edouard Julien LHB,,+800,18,2.80,10,0,1,82.1,284.1,1,1,10.0%,-,10.0%,40.0%,10.0%,70.7,14.3%,42.9%,14.3%,87.5%,10.0%,10.0%,0.0%,-,70.0%,30.0%,40.0%,30.0%,66.7%
Tyler Freeman RHB,,+1100,12,4.00,10,0,0,77.1,229.0,1,0,-,-,10.0%,40.0%,30.0%,73.0,30.8%,46.2%,15.4%,81.2%,20.0%,-,-,20.0%,60.0%,50.0%,20.0%,30.0%,66.7%
Troy Johnston LHB,,+810,16,3.60,10,0,0,93.2,225.8,1,1,-,-,-,60.0%,20.0%,71.5,12.5%,50.0%,25.0%,94.1%,30.0%,10.0%,0.0%,20.0%,70.0%,50.0%,50.0%,-,14.3%
Ezequiel Tovar RHB,,+680,22,3.40,10,0,1,88.5,261.6,2,1,-,-,-,30.0%,20.0%,71.1,16.7%,41.7%,8.3%,100.0%,30.0%,20.0%,0.0%,10.0%,60.0%,20.0%,40.0%,40.0%,28.6%
Braxton Fulford RHB,—,N/A,4,2.20,4,0,0,87.7,306.5,1,0,-,-,-,50.0%,25.0%,72.7,33.3%,66.7%,33.3%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,50.0%,25.0%,25.0%,0.0%
