HR Split,Overall
Dates,="9/14/2026"
Games,10

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,6:40 PM,Gavin Williams,vs,1.11,-0.27,1.81,1.61,12.0%,27.3%,46.1%,27.4%,7.9%,1517
2,8:40 PM,Casey Mize,@,0.85,-0.08,1.36,1.82,9.3%,18.1%,42.3%,33.4%,8.2%,1237
3,6:40 PM,Nick Lodolo,vs,0.81,-0.16,0.59,1.79,10.5%,19.1%,43.0%,27.2%,6.9%,1164
4,8:40 PM,Tomoyuki Sugano,vs,0.75,1.14,-0.01,1.88,9.1%,20.0%,42.0%,27.7%,6.7%,1383
5,7:10 PM,Brandon Young,@,0.73,0.64,0.66,2.05,8.3%,24.0%,35.6%,26.0%,6.9%,976
6,7:40 PM,Dean Kremer,vs,0.70,0.50,0.71,1.69,10.5%,23.1%,36.1%,26.8%,7.7%,1112
7,9:38 PM,Kade Anderson,@,0.69,1.12,0.35,1.74,7.9%,21.1%,38.1%,30.2%,11.0%,174
8,7:40 PM,Reynaldo Lopez,@,0.45,0.94,-0.17,1.61,8.8%,19.2%,37.7%,27.8%,7.6%,463
9,7:40 PM,Will Warren,@,0.30,-0.34,0.63,1.24,8.9%,18.3%,46.5%,25.6%,7.3%,1447
10,7:07 PM,Troy Melton,@,0.26,0.82,-0.47,1.37,8.0%,18.2%,43.2%,24.4%,8.3%,777
11,7:10 PM,Jonah Tong,vs,0.01,-0.57,0.70,1.18,7.8%,12.4%,32.9%,38.0%,9.1%,223
12,9:40 PM,Sandy Alcantara,@,-0.15,0.53,-0.91,1.28,6.4%,14.0%,37.6%,27.9%,7.3%,1706
13,7:40 PM,David Peterson,vs,-0.32,-0.77,-0.01,1.06,5.7%,24.9%,39.1%,16.5%,6.8%,1417
14,9:40 PM,Corbin Burnes,vs,-0.44,-0.19,-0.17,0.40,9.9%,8.6%,30.1%,40.8%,10.2%,291
15,7:07 PM,Jose Soriano,vs,-0.60,-0.03,-1.04,0.87,6.9%,14.9%,36.5%,17.5%,7.2%,1532
16,7:45 PM,Quinn Mathews,vs,-0.83,-0.23,-0.73,0.97,2.4%,13.4%,37.9%,26.9%,5.8%,250
17,6:40 PM,Tarik Skubal,@,-0.87,-0.51,-0.71,0.58,6.6%,9.9%,37.0%,21.9%,7.2%,1500
18,9:38 PM,Reid Detmers,vs,-0.97,-0.58,-0.84,0.49,5.9%,6.7%,35.2%,28.5%,7.9%,1055
19,7:45 PM,Landen Roupp,@,-0.98,-0.66,-0.78,0.69,6.5%,7.8%,30.7%,26.9%,5.0%,1228
20,6:40 PM,Sean Newcomb,@,-1.49,-1.31,-0.98,0.17,4.6%,2.3%,36.5%,25.4%,6.9%,778
