Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Joe Mack","MIA","Zack Wheeler","PHI","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","1"
"William Contreras","MIL","Tyler Mahle","SF","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","1"
"Colton Cowser","BAL","Keider Montero","DET","5","0.800","1.00","1.40","2.20","1","1","0","2","3","2","11","20.0","0.800","0"
"Jose Fermin","STL","David Peterson","CHC","5","0.800","0.80","0.40","1.20","2","2","0","0","2","2","6","0.0","0.800","0"
"Colson Montgomery","CWS","Max Fried","NYY","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.667","0"
"Elias Diaz","TEX","George Kirby","SEA","3","0.667","0.67","0.33","1.00","1","1","0","0","1","1","3","0.0","0.667","0"
"Alec Bohm","PHI","Tyler Phillips","MIA","6","0.667","0.75","0.50","1.17","3","0","0","1","1","3","7","16.7","0.667","0"
"Brandon Marsh","PHI","Tyler Phillips","MIA","5","0.600","0.50","0.80","1.40","1","1","0","1","2","2","7","0.0","0.714","2"
"Luis Garcia Jr.","WSH","Max Scherzer","TOR","11","0.545","0.50","0.64","1.18","3","1","0","2","3","3","13","9.1","0.545","0"
"Ezequiel Duran","TEX","George Kirby","SEA","19","0.526","0.63","0.05","0.58","9","1","0","0","1","0","11","15.8","0.526","0"
"A.J. Ewing","NYM","Martin Perez","ATL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Jake Rogers","DET","Kyle Bradish","BAL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.500","0"
"Jorge Soler","LAA","Tatsuya Imai","HOU","2","0.500","1.00","0.50","1.00","0","1","0","0","1","3","2","50.0","0.500","0"
"Jose Trevino","CIN","Slade Cecconi","CLE","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
