Bat Side,L
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"4,611",1.14,1.13,1.11,1.09,1.10,1.34,0.87,1.03,1.06,1.03,1.08,88.6,173.3
2,Great American Ball Park,535',Open,"4,017",1.05,1.15,1.03,1.01,1.01,0.92,1.00,1.04,1.02,0.98,1.00,88,175.5
3,Sutter Health Park,24',Open,"2,518",1.05,1.01,1.04,1.03,1.08,0.90,0.95,1.09,0.98,0.97,1.01,88.7,176.9
4,Daikin Park,45',Retractable,"3,580",1.02,1.12,1.03,1.02,0.96,0.93,1.08,1.02,0.99,1.03,1.00,89.6,176
5,Citizens Bank Park,20',Open,"4,536",1.02,1.11,1.03,1.03,0.96,0.90,1.04,0.95,0.96,0.99,1.01,88.8,171.1
6,Oriole Park at Camden Yards,33',Open,"5,454",1.02,1.07,1.02,1.01,0.99,0.96,0.97,0.97,1.02,1.01,1.00,89,170.5
7,Target Field,828',Open,"5,064",1.02,0.98,1.03,1.05,1.02,0.86,0.99,0.97,1.01,1.01,1.01,88.5,177.7
8,Rate Field,595',Open,"4,699",1.02,1.04,1.00,1.00,0.96,1.03,0.97,1.07,1.02,1.01,0.99,87.9,172.5
9,Nationals Park,35',Open,"5,670",1.02,1.01,1.02,1.04,0.96,0.99,0.95,1.00,1.05,1.02,1.00,88.7,166.3
10,PNC Park,780',Open,"4,547",1.01,0.95,1.01,0.97,1.18,0.92,0.98,0.99,1.03,1.03,1.01,89.7,175.2
11,Rogers Centre,270',Retractable,"4,444",1.01,1.06,1.00,0.97,1.07,0.87,1.02,0.99,1.03,1.00,1.00,87.9,167.7
12,Kauffman Stadium,856',Open,"4,832",1.01,0.84,1.02,1.02,1.13,1.30,0.95,1.01,0.98,1.02,1.01,88.5,171.4
13,loanDepot park,10',Retractable,"4,950",1.00,0.95,1.01,1.01,1.01,1.11,0.97,1.03,1.03,1.05,1.00,88.8,167.3
14,Progressive Field,653',Open,"5,898",1.00,1.05,1.00,1.00,0.98,0.83,1.04,1.03,1.04,1.02,0.99,87.7,168
15,Angel Stadium,151',Open,"3,840",1.00,1.03,0.99,0.99,0.98,0.97,1.01,1.03,1.00,1.04,1.00,88.6,165
16,Yankee Stadium,55',Open,"4,899",0.99,1.04,0.99,0.97,1.01,0.85,1.02,1.05,1.01,1.01,1.00,89.2,171.7
17,Chase Field,1086',Retractable,"5,167",0.99,0.83,1.01,1.01,1.06,1.27,0.93,0.98,0.96,1.04,1.02,88.9,164.6
18,Truist Park,1001',Open,"4,649",0.98,0.99,1.00,1.03,0.94,0.96,1.04,0.98,0.96,0.97,1.02,88.8,169
19,Citi Field,10',Open,"4,698",0.98,0.93,1.00,1.02,0.99,0.86,1.03,1.07,0.92,0.98,0.99,88.7,165.5
20,Comerica Park,600',Open,"4,878",0.98,0.96,1.00,1.00,0.94,1.27,0.99,0.97,0.95,1.01,1.00,88.7,171
21,Wrigley Field,595',Open,"4,309",0.98,0.96,1.00,1.04,0.89,1.15,1.01,0.97,0.98,1.01,0.99,88.8,170.9
22,American Family Field,597',Retractable,"4,462",0.98,1.01,0.99,1.00,0.92,1.08,1.08,1.02,0.96,0.97,1.01,87,161.9
23,Fenway Park,21',Open,"5,060",0.98,0.84,1.00,1.00,1.11,0.85,0.98,0.98,0.91,0.99,0.99,88.7,163.7
24,Busch Stadium,460',Open,"5,080",0.97,0.83,0.99,1.02,1.02,0.93,0.93,0.94,0.98,1.02,1.00,88.7,161.2
25,Globe Life Field,545',Retractable,"4,583",0.97,0.97,0.98,0.98,0.95,0.98,1.01,0.96,1.01,1.01,1.00,88.8,173.7
26,Tropicana Field,15',Dome,"2,040",0.97,0.97,0.97,0.96,0.99,1.05,1.00,0.95,0.98,0.97,1.00,87.5,174
27,Oracle Park,',Open,"4,610",0.96,0.78,1.00,1.02,1.03,1.11,0.97,0.97,0.93,1.00,0.99,88.3,156.2
28,Dodger Stadium,515',Open,"4,787",0.96,1.02,0.96,0.95,0.95,0.77,1.04,1.01,0.94,1.00,1.01,89.4,171.1
29,T-Mobile Park,10',Retractable,"4,887",0.95,0.97,0.98,0.97,1.02,0.72,1.11,0.93,1.00,1.03,0.99,88.8,171.1
30,Petco Park,23',Open,"4,738",0.95,0.96,0.96,0.97,0.93,0.85,1.06,1.02,1.02,0.99,0.99,87.7,167.7
