Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"12,168",1.14,1.09,1.12,1.10,1.14,1.50,0.87,1.01,1.04,1.04,1.06,88.4,173.9
2,Sutter Health Park,24',Open,"7,401",1.08,1.10,1.06,1.03,1.13,0.76,0.95,1.10,0.98,0.98,1.01,88,174.2
3,Great American Ball Park,535',Open,"11,264",1.03,1.12,1.01,0.98,1.03,0.83,1.00,1.05,1.01,0.97,1.00,88.1,174.7
4,Oriole Park at Camden Yards,33',Open,"11,526",1.02,1.03,1.02,1.02,1.01,1.07,0.97,0.97,1.04,1.03,1.01,89.1,170.3
5,Nationals Park,35',Open,"11,998",1.02,1.02,1.02,1.04,0.97,0.95,0.94,1.00,1.05,1.03,1.00,88.3,163.1
6,Target Field,828',Open,"11,698",1.02,0.97,1.03,1.03,1.08,0.94,0.99,0.98,1.03,1.01,1.01,88.5,174.3
7,Citizens Bank Park,20',Open,"11,435",1.02,1.07,1.03,1.04,0.98,0.99,1.05,0.96,0.92,0.99,1.00,88.4,164
8,Chase Field,1086',Retractable,"12,115",1.02,0.91,1.02,1.01,1.08,1.48,0.93,0.99,1.03,1.04,1.02,88.8,166.6
9,Daikin Park,45',Retractable,"11,127",1.02,1.12,1.01,1.00,0.99,0.95,1.08,1.02,0.97,1.01,0.99,88.3,167.4
10,Rogers Centre,270',Retractable,"11,782",1.01,1.07,1.01,1.00,1.03,0.80,1.02,0.99,1.05,1.02,1.00,88.2,166.6
11,Angel Stadium,151',Open,"11,188",1.01,1.02,1.01,1.03,0.96,0.95,1.01,1.02,1.00,1.02,1.00,88.5,168.2
12,Progressive Field,653',Open,"11,149",1.01,1.00,1.02,1.01,1.05,0.86,1.05,1.03,1.02,1.02,0.99,88,166.7
13,Kauffman Stadium,856',Open,"11,753",1.01,0.89,1.01,0.99,1.09,1.28,0.94,1.01,1.01,1.02,1.02,88.7,169.5
14,Truist Park,1001',Open,"11,441",1.00,0.99,1.02,1.04,0.98,1.01,1.04,0.98,0.99,1.00,1.01,88.7,167
15,Rate Field,595',Open,"11,372",1.00,0.99,1.00,1.01,0.97,0.88,0.97,1.06,1.01,1.01,0.99,88.2,169.6
16,PNC Park,780',Open,"11,654",1.00,0.88,1.02,1.01,1.15,0.89,0.97,0.98,0.99,1.02,1.00,88.7,166.2
17,loanDepot park,10',Retractable,"11,746",1.00,0.92,1.00,1.00,1.03,1.22,0.97,1.03,1.03,1.03,1.00,88.3,161.3
18,Comerica Park,600',Open,"11,357",1.00,1.00,1.00,1.01,0.94,1.17,0.98,0.97,0.97,1.01,1.00,88.5,168.5
19,Tropicana Field,15',Dome,"5,644",0.99,1.07,0.98,0.96,1.00,1.10,1.02,0.94,1.05,0.96,1.01,87.4,169.3
20,Fenway Park,21',Open,"11,577",0.99,0.88,1.02,1.03,1.06,0.84,0.98,0.97,0.92,0.99,0.99,88.1,159.7
21,Yankee Stadium,55',Open,"10,830",0.99,1.06,0.98,0.95,0.99,0.88,1.03,1.05,1.03,1.02,1.00,89.2,171.1
22,Dodger Stadium,515',Open,"11,154",0.98,1.10,0.97,0.95,0.96,0.73,1.04,1.01,0.97,1.00,1.00,88.9,172.3
23,American Family Field,597',Retractable,"10,977",0.98,1.06,0.99,0.99,0.93,0.94,1.09,1.01,0.96,0.97,1.01,87.5,164.1
24,Petco Park,23',Open,"11,331",0.97,1.05,0.97,0.98,0.92,0.82,1.06,1.02,1.05,0.99,0.99,88.1,165.1
25,Citi Field,10',Open,"11,191",0.97,0.96,0.98,0.99,0.96,0.89,1.04,1.06,0.96,0.98,0.99,88.5,165.2
26,Oracle Park,',Open,"11,610",0.97,0.80,1.00,1.03,1.02,1.24,0.96,0.98,0.94,1.00,0.99,88.2,159.8
27,Wrigley Field,595',Open,"11,332",0.97,1.04,0.97,1.00,0.84,1.06,1.01,0.97,1.01,1.02,0.99,88.5,169.2
28,Busch Stadium,460',Open,"12,083",0.96,0.81,0.99,1.02,1.03,0.86,0.93,0.94,0.98,1.03,1.00,88.7,161
29,Globe Life Field,545',Retractable,"11,078",0.96,0.95,0.97,0.98,0.96,0.97,1.01,0.96,1.02,1.02,1.00,88.5,171.6
30,T-Mobile Park,10',Retractable,"10,604",0.93,0.97,0.96,0.96,0.95,0.64,1.10,0.93,0.99,0.99,0.99,88.4,165.8
