Split,Season
Range,L10
Dates,="8/20/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
2:10 PM,Gage Jump,@,47.2,220,4.63,0.291,0.378,1.74,0.212,0.503,8,1.51,95,26.1%,26.8%,20.1%,12.0%,11.14,28,12.7%,57.5%,9.0%,132,44.7%,10,7.6%,25.0%,24.2%,17.4%
2:10 PM,George Kirby,@,55.2,244,4.43,0.287,0.350,1.42,0.217,0.504,10,1.62,116,23.2%,20.1%,17.3%,12.1%,7.92,13,5.3%,65.0%,7.8%,180,40.6%,18,10.0%,30.0%,16.7%,16.7%
12:40 PM,Michael McGreevy,@,53.1,228,4.15,0.282,0.343,1.39,0.191,0.474,7,1.18,99,19.0%,17.5%,14.9%,8.3%,6.75,15,6.6%,59.6%,7.3%,173,45.1%,19,11.0%,29.5%,11.8%,16.8%
8:10 PM,Grayson Rodriguez,@,45.0,206,5.26,0.282,0.375,1.56,0.243,0.525,8,1.60,93,24.9%,19.9%,14.3%,12.4%,8.20,20,9.7%,60.7%,8.3%,140,47.9%,16,11.4%,25.7%,19.4%,18.6%
8:05 PM,Jacob deGrom,vs,49.1,216,2.57,0.275,0.311,1.44,0.125,0.400,4,0.73,80,33.3%,29.2%,22.3%,16.6%,11.49,16,7.4%,65.0%,5.8%,137,46.7%,9,6.6%,23.4%,12.5%,19.0%
1:10 PM,Shane Bieber,@,48.0,217,5.77,0.271,0.357,1.58,0.208,0.479,10,1.88,92,22.9%,17.1%,18.9%,9.8%,6.94,24,11.1%,58.1%,6.2%,156,47.4%,18,11.5%,26.3%,24.4%,17.3%
12:40 PM,Brady Singer,vs,59.1,253,4.04,0.246,0.303,1.26,0.127,0.373,7,1.06,85,27.5%,20.6%,19.1%,12.4%,7.89,19,7.5%,61.4%,6.0%,178,38.2%,12,6.7%,25.3%,13.3%,15.7%
2:10 PM,Robert Gasser,vs,55.0,227,3.74,0.245,0.300,1.13,0.156,0.401,7,1.15,85,20.7%,21.6%,16.6%,10.8%,8.02,10,4.4%,68.3%,8.5%,164,35.4%,10,6.1%,28.0%,15.2%,20.1%
2:10 PM,Randy Dobnak,vs,40.2,176,3.69,0.241,0.283,1.33,0.082,0.323,2,0.44,51,18.7%,14.2%,12.3%,8.6%,5.53,16,9.1%,60.7%,5.4%,135,40.7%,5,3.7%,20.0%,7.4%,18.5%
6:35 PM,Gerrit Cole,@,58.2,240,2.90,0.240,0.291,1.12,0.166,0.406,7,1.07,93,23.7%,28.3%,23.6%,11.4%,10.43,11,4.6%,66.8%,8.9%,161,46.6%,15,9.3%,29.2%,14.9%,21.7%
2:10 PM,Grant Holmes,@,49.1,207,4.48,0.238,0.307,1.28,0.151,0.389,6,1.09,72,24.5%,16.9%,17.2%,12.0%,6.39,19,9.2%,60.9%,7.5%,151,40.4%,12,7.9%,27.2%,12.2%,17.9%
2:10 PM,Anthony Kay,vs,51.0,219,4.10,0.237,0.302,1.22,0.119,0.356,5,0.88,69,25.2%,19.6%,17.8%,12.5%,7.59,16,7.3%,59.5%,7.5%,152,40.1%,11,7.2%,23.7%,11.1%,17.8%
8:05 PM,Andrew Alvarez,@,46.0,196,3.30,0.224,0.284,1.28,0.082,0.306,1,0.20,52,24.9%,19.4%,19.3%,11.1%,7.43,21,10.7%,55.6%,5.7%,134,37.3%,6,4.5%,22.4%,3.3%,13.4%
6:35 PM,Kyle Bradish,vs,59.0,240,2.88,0.219,0.264,1.12,0.084,0.302,2,0.31,65,23.1%,21.2%,18.8%,10.5%,7.78,19,7.9%,57.3%,5.8%,168,37.5%,6,3.6%,22.6%,5.3%,9.5%
8:10 PM,Peter Lambert,vs,54.1,232,3.74,0.218,0.287,1.21,0.121,0.340,6,0.99,70,26.9%,25.4%,19.9%,13.0%,9.77,21,9.1%,63.1%,7.2%,148,33.1%,10,6.8%,33.1%,12.2%,18.2%
1:10 PM,Landen Roupp,@,55.0,235,4.54,0.216,0.298,1.31,0.132,0.348,6,0.98,71,24.5%,19.6%,17.7%,11.0%,7.53,28,11.9%,59.3%,4.0%,158,29.7%,11,7.0%,25.3%,15.0%,12.7%
1:10 PM,Ian Seymour,vs,54.0,213,3.16,0.206,0.278,0.98,0.191,0.397,8,1.33,79,29.6%,32.9%,25.5%,15.3%,11.67,12,5.6%,62.1%,11.6%,130,37.7%,14,10.8%,27.7%,22.2%,23.1%
1:10 PM,Gavin Williams,vs,57.0,228,2.94,0.198,0.261,1.00,0.146,0.344,9,1.42,73,32.2%,38.2%,25.4%,16.6%,13.74,15,6.6%,64.5%,8.4%,125,43.2%,12,9.6%,28.8%,25.0%,18.4%
