Split,Season
Range,Season
Dates,="7/31/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
7:10 PM,Mitch Bratt,@,15.2,77,7.44,0.308,0.422,1.98,0.277,0.585,4,2.30,38,15.9%,13.0%,13.2%,8.0%,5.74,11,14.3%,58.4%,5.6%,55,38.2%,5,9.1%,30.9%,23.5%,21.8%
9:38 PM,Ryan Johnson,vs,41.2,189,6.27,0.281,0.369,1.54,0.228,0.509,11,2.38,85,24.6%,18.0%,15.0%,12.1%,7.34,17,9.0%,61.8%,8.0%,136,34.6%,11,8.1%,33.1%,24.4%,16.2%
7:10 PM,Janson Junk,@,73.2,314,4.38,0.275,0.331,1.36,0.172,0.447,11,1.34,130,17.2%,17.8%,15.7%,8.4%,6.84,20,6.4%,63.1%,7.3%,238,41.2%,16,6.7%,23.1%,20.0%,18.5%
2:20 PM,Will Warren,@,102.0,448,4.16,0.268,0.337,1.41,0.186,0.454,15,1.32,183,22.1%,22.8%,19.2%,9.7%,9.00,36,8.0%,62.0%,8.4%,307,41.0%,23,7.5%,24.1%,18.9%,19.5%
8:40 PM,Tomoyuki Sugano,vs,96.0,405,5.45,0.268,0.351,1.29,0.247,0.515,20,1.88,192,18.0%,13.8%,13.2%,8.2%,5.25,24,5.9%,58.9%,8.1%,323,44.9%,46,14.2%,31.6%,16.7%,20.4%
7:10 PM,Erick Fedde,@,97.1,420,5.46,0.265,0.339,1.40,0.193,0.458,19,1.76,173,18.1%,16.0%,13.8%,7.8%,6.20,36,8.6%,66.0%,6.6%,314,40.8%,23,7.3%,29.6%,18.3%,19.1%
7:10 PM,Freddy Peralta,vs,113.2,512,4.45,0.263,0.340,1.48,0.184,0.446,17,1.35,204,26.8%,22.1%,17.8%,12.5%,8.95,48,9.4%,57.8%,6.9%,346,37.0%,18,5.2%,26.0%,17.8%,17.6%
10:10 PM,Zebby Matthews,@,76.0,319,5.14,0.262,0.341,1.32,0.214,0.476,15,1.78,138,21.9%,18.5%,17.1%,10.3%,6.99,24,7.5%,66.2%,8.6%,234,37.6%,28,12.0%,26.9%,20.6%,19.2%
7:07 PM,Kyle Leahy,@,101.1,431,4.08,0.261,0.323,1.34,0.153,0.414,12,1.07,162,21.9%,20.2%,18.1%,10.0%,7.73,34,7.9%,60.1%,8.3%,304,50.0%,33,10.9%,23.0%,17.1%,16.4%
6:10 PM,Hunter Greene,vs,21.2,94,3.19,0.253,0.312,1.34,0.161,0.414,3,1.25,36,27.2%,30.9%,26.4%,14.5%,12.05,7,7.4%,63.8%,7.4%,58,46.6%,3,5.2%,25.9%,20.0%,15.5%
7:05 PM,Brandon Young,vs,97.2,414,3.76,0.245,0.299,1.29,0.128,0.373,9,0.83,140,23.3%,19.1%,18.4%,11.5%,7.28,34,8.2%,65.9%,8.0%,299,41.5%,17,5.7%,25.8%,11.7%,18.1%
7:10 PM,Nick Martinez,vs,117.1,473,3.76,0.244,0.285,1.10,0.134,0.378,11,0.84,169,17.8%,14.2%,14.8%,8.9%,5.14,20,4.2%,64.1%,7.6%,383,31.9%,26,6.8%,28.7%,9.1%,21.4%
8:15 PM,Nathan Eovaldi,@,122.1,506,4.20,0.243,0.310,1.17,0.183,0.426,22,1.62,200,30.7%,25.3%,23.9%,16.1%,9.42,29,5.7%,65.2%,6.5%,341,40.2%,29,8.5%,25.5%,24.1%,17.0%
7:15 PM,Bryce Elder,vs,113.2,478,4.46,0.241,0.306,1.25,0.161,0.401,18,1.43,175,22.8%,20.5%,22.9%,10.7%,7.76,37,7.7%,63.3%,7.0%,341,40.5%,21,6.2%,26.7%,19.8%,18.8%
9:38 PM,Shane Drohan,@,82.0,342,3.00,0.240,0.293,1.20,0.131,0.372,6,0.66,116,27.5%,24.0%,22.0%,13.6%,9.00,23,6.7%,67.8%,7.5%,234,37.6%,19,8.1%,28.6%,7.5%,13.2%
7:10 PM,Tanner Bibee,vs,125.0,510,4.58,0.238,0.304,1.18,0.167,0.406,20,1.44,189,24.0%,18.8%,17.1%,11.2%,6.91,37,7.3%,64.0%,8.0%,374,40.1%,32,8.6%,27.5%,16.5%,20.9%
8:40 PM,Michael Wacha,@,132.1,538,4.09,0.237,0.303,1.17,0.168,0.406,16,1.09,200,21.1%,19.1%,17.9%,10.1%,7.01,38,7.1%,64.7%,8.1%,391,36.1%,26,6.6%,28.6%,12.5%,17.6%
2:20 PM,Shota Imanaga,vs,121.0,487,4.39,0.229,0.299,1.10,0.189,0.419,22,1.64,190,28.7%,23.2%,19.6%,14.7%,8.40,29,6.0%,59.6%,5.7%,342,35.7%,32,9.4%,30.4%,19.2%,19.3%
6:10 PM,Paul Skenes,@,120.2,489,2.73,0.223,0.279,1.06,0.134,0.356,11,0.82,160,28.5%,30.3%,22.9%,14.7%,11.04,28,5.7%,60.8%,6.4%,305,37.0%,20,6.6%,23.0%,14.3%,14.1%
7:15 PM,Foster Griffin,@,124.0,499,3.93,0.216,0.278,1.03,0.147,0.364,17,1.23,168,24.7%,22.6%,18.1%,12.0%,8.20,28,5.6%,60.8%,6.2%,350,36.9%,32,9.1%,24.6%,18.6%,18.3%
9:40 PM,Casey Mize,@,86.2,341,2.58,0.211,0.258,0.99,0.123,0.334,5,0.52,106,27.8%,24.9%,20.7%,13.4%,8.83,19,5.6%,65.6%,7.1%,236,35.6%,15,6.4%,29.7%,5.7%,20.8%
10:10 PM,Bryce Miller,vs,68.2,264,3.64,0.206,0.261,0.92,0.167,0.373,11,1.44,94,27.4%,26.9%,22.2%,15.5%,9.31,11,4.2%,65.0%,6.9%,181,30.9%,12,6.6%,34.8%,15.9%,21.0%
8:15 PM,Hunter Brown,vs,47.0,200,4.40,0.192,0.288,1.28,0.114,0.305,5,0.96,51,29.4%,25.0%,21.8%,11.9%,9.57,28,14.0%,55.0%,6.8%,118,39.8%,7,5.9%,22.9%,14.8%,12.7%
7:07 PM,Dylan Cease,vs,113.1,457,2.32,0.185,0.249,1.09,0.084,0.269,7,0.56,109,35.2%,36.3%,25.1%,16.4%,13.18,48,10.5%,63.3%,6.5%,239,32.2%,12,5.0%,21.3%,13.7%,18.8%
