Split,vsLHB
Range,L10
Dates,="8/20/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
8:10 PM,Grayson Rodriguez,@,24.0,115,4.81,0.306,0.375,1.79,0.204,0.510,3,1.12,50,25.6%,17.4%,12.3%,12.8%,7.50,13,11.3%,62.6%,7.9%,81,50.6%,6,7.4%,24.7%,15.0%,13.6%
2:10 PM,George Kirby,@,27.1,124,5.33,0.296,0.374,1.57,0.261,0.557,6,1.98,64,20.7%,17.7%,15.2%,10.6%,7.24,9,7.3%,63.7%,7.3%,92,46.7%,8,8.7%,33.7%,19.4%,19.6%
12:40 PM,Michael McGreevy,@,33.0,147,4.58,0.291,0.362,1.55,0.209,0.500,5,1.36,67,19.9%,17.7%,13.9%,8.6%,7.09,12,8.2%,57.8%,7.0%,109,50.5%,13,11.9%,31.2%,14.7%,18.3%
12:40 PM,Brady Singer,vs,38.2,171,4.55,0.280,0.340,1.42,0.172,0.452,7,1.63,71,26.6%,21.6%,20.2%,12.4%,8.61,11,6.4%,59.9%,5.4%,121,38.0%,9,7.4%,28.9%,17.1%,17.4%
1:10 PM,Ian Seymour,vs,16.0,70,3.79,0.273,0.345,1.31,0.227,0.500,3,1.69,33,25.6%,28.6%,25.0%,13.5%,11.25,3,4.3%,67.1%,11.6%,46,41.3%,6,13.0%,26.1%,25.0%,21.7%
8:05 PM,Jacob deGrom,vs,28.1,120,2.04,0.263,0.288,1.27,0.132,0.395,2,0.64,45,35.7%,30.8%,23.9%,17.4%,11.75,6,5.0%,66.9%,6.0%,77,57.1%,6,7.8%,27.3%,9.5%,22.1%
2:10 PM,Gage Jump,@,14.0,62,4.60,0.250,0.332,1.50,0.135,0.385,2,1.29,20,25.6%,25.8%,18.6%,11.5%,10.29,8,12.9%,62.9%,8.8%,37,40.5%,2,5.4%,32.4%,16.7%,18.9%
2:10 PM,Randy Dobnak,vs,26.0,108,3.33,0.232,0.257,1.15,0.061,0.293,1,0.35,29,15.1%,13.0%,11.3%,7.2%,4.85,7,6.5%,55.5%,6.8%,87,39.1%,3,3.4%,23.0%,5.0%,16.1%
6:35 PM,Kyle Bradish,vs,32.0,133,2.60,0.231,0.271,1.25,0.074,0.306,0,-,37,19.0%,19.5%,19.1%,8.7%,7.31,12,9.0%,57.6%,5.7%,95,37.9%,2,2.1%,21.1%,-,11.6%
1:10 PM,Shane Bieber,@,27.0,121,6.51,0.216,0.339,1.48,0.235,0.451,6,2.00,46,21.2%,16.5%,16.9%,8.4%,6.67,18,14.9%,56.2%,5.7%,83,51.8%,10,12.0%,32.5%,22.2%,16.9%
6:35 PM,Gerrit Cole,@,36.1,146,3.35,0.216,0.282,1.02,0.194,0.410,6,1.49,57,26.2%,30.8%,23.4%,13.1%,11.15,7,4.8%,69.2%,8.0%,94,43.6%,8,8.5%,39.4%,16.2%,22.3%
2:10 PM,Anthony Kay,vs,16.2,65,1.66,0.206,0.202,0.90,0.016,0.222,0,-,14,23.0%,23.1%,23.4%,12.1%,8.10,2,3.1%,61.5%,8.2%,48,29.2%,1,2.1%,18.8%,-,16.7%
1:10 PM,Landen Roupp,@,33.2,143,4.53,0.205,0.294,1.28,0.123,0.328,3,0.80,40,22.2%,18.9%,15.5%,10.1%,7.22,18,12.6%,60.8%,3.7%,95,31.6%,7,7.4%,24.2%,13.0%,8.4%
2:10 PM,Grant Holmes,@,30.1,122,4.91,0.204,0.286,1.15,0.157,0.361,4,1.19,39,22.9%,14.8%,17.0%,10.7%,5.34,13,10.7%,59.0%,6.3%,90,40.0%,7,7.8%,26.7%,16.7%,14.4%
8:10 PM,Peter Lambert,vs,29.1,121,3.88,0.179,0.254,1.09,0.104,0.283,3,0.92,30,27.0%,24.0%,18.0%,13.4%,8.90,13,10.7%,66.4%,7.0%,78,38.5%,6,7.7%,32.1%,12.0%,17.9%
8:05 PM,Andrew Alvarez,@,13.0,52,2.95,0.174,0.235,1.08,0.065,0.239,0,-,11,23.9%,19.2%,16.7%,10.5%,6.92,6,11.5%,54.7%,7.1%,36,41.7%,2,5.6%,19.4%,-,8.3%
1:10 PM,Gavin Williams,vs,35.1,136,1.91,0.165,0.214,0.85,0.094,0.260,3,0.76,33,32.4%,39.7%,28.1%,17.0%,13.75,9,6.6%,64.0%,9.5%,73,38.4%,5,6.8%,31.5%,13.0%,20.5%
2:10 PM,Robert Gasser,vs,19.1,68,2.07,0.097,0.155,0.52,0.048,0.145,0,-,9,25.4%,27.9%,17.1%,12.7%,8.84,4,5.9%,72.1%,8.8%,43,37.2%,2,4.7%,25.6%,-,14.0%
