Split,vsLHB
Range,Season
Dates,="8/13/2026"
Games,20

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
3:07 PM,Max Scherzer,vs,22.1,108,7.67,0.309,0.409,1.84,0.266,0.574,7,2.82,54,14.7%,13.0%,9.9%,7.4%,5.64,12,11.1%,57.4%,7.2%,81,32.1%,9,11.1%,32.1%,23.1%,32.1%
7:30 PM,Aaron Nola,@,74.2,341,5.75,0.278,0.368,1.61,0.237,0.515,18,2.17,154,27.0%,22.0%,18.0%,12.3%,9.04,37,10.9%,58.7%,4.9%,228,45.6%,22,9.6%,30.7%,25.7%,20.2%
4:05 PM,Cade Cavalli,vs,73.2,326,4.00,0.271,0.335,1.37,0.154,0.425,10,1.22,124,24.7%,24.5%,21.7%,11.6%,9.77,22,6.7%,59.3%,9.5%,214,39.3%,13,6.1%,25.7%,18.2%,13.1%
1:10 PM,Tyler Phillips,vs,48.2,221,4.64,0.270,0.337,1.58,0.148,0.418,6,1.11,82,26.5%,17.6%,18.1%,11.7%,7.21,24,10.9%,59.4%,8.5%,157,48.4%,12,7.6%,24.8%,10.3%,14.6%
2:10 PM,Davis Martin,vs,71.2,305,3.98,0.264,0.326,1.41,0.147,0.410,7,0.88,112,20.5%,19.3%,16.0%,9.5%,7.41,29,9.5%,55.4%,7.7%,216,44.9%,16,7.4%,21.8%,12.8%,20.4%
3:07 PM,Payton Tolle,@,31.2,132,4.55,0.254,0.307,1.17,0.190,0.444,6,1.71,56,28.3%,18.9%,22.1%,14.9%,7.11,5,3.8%,62.1%,7.7%,101,32.7%,5,5.0%,23.8%,25.0%,13.9%
2:10 PM,Andrew Abbott,@,36.0,153,3.10,0.250,0.298,1.25,0.136,0.386,4,1.00,54,24.4%,26.8%,17.6%,12.5%,10.25,10,6.5%,68.0%,8.7%,102,38.2%,6,5.9%,31.4%,9.4%,18.6%
4:05 PM,Kevin Gausman,@,76.0,320,3.48,0.246,0.295,1.26,0.133,0.379,7,0.83,111,25.7%,20.9%,16.7%,12.7%,7.93,24,7.5%,61.8%,5.5%,229,35.8%,15,6.6%,24.9%,10.5%,11.8%
1:10 PM,Braxton Ashcraft,@,74.1,318,4.00,0.245,0.322,1.25,0.189,0.434,13,1.57,124,27.3%,29.2%,24.9%,14.2%,11.26,23,7.2%,67.6%,7.1%,197,45.2%,15,7.6%,31.0%,21.3%,21.3%
10:10 PM,Shane Drohan,@,28.0,116,1.92,0.243,0.281,1.11,0.112,0.355,0,-,38,31.8%,23.3%,24.5%,15.9%,8.68,5,4.3%,71.6%,8.5%,82,35.4%,7,8.5%,30.5%,-,9.8%
1:10 PM,Parker Messick,@,34.0,144,3.42,0.242,0.296,1.26,0.129,0.371,3,0.79,49,26.2%,22.2%,19.9%,12.5%,8.47,11,7.6%,66.0%,8.6%,100,30.0%,4,4.0%,24.0%,12.5%,16.0%
10:10 PM,Roki Sasaki,vs,60.0,255,4.55,0.233,0.322,1.33,0.198,0.432,10,1.50,98,32.4%,24.3%,20.2%,16.3%,9.30,27,10.6%,54.1%,7.1%,166,40.4%,14,8.4%,25.3%,23.8%,12.7%
10:07 PM,Jacob deGrom,@,71.1,286,3.39,0.216,0.270,1.04,0.171,0.387,11,1.39,104,33.3%,29.7%,23.7%,16.4%,10.72,16,5.6%,60.8%,6.3%,185,50.3%,18,9.7%,30.3%,19.6%,21.6%
1:10 PM,Keider Montero,vs,65.1,268,4.40,0.211,0.269,1.10,0.142,0.354,8,1.10,87,17.1%,15.3%,15.2%,8.1%,5.65,20,7.5%,61.0%,7.7%,206,38.8%,18,8.7%,32.5%,11.9%,18.0%
10:07 PM,Walbert Urena,vs,53.1,234,4.19,0.209,0.292,1.42,0.097,0.306,3,0.51,60,26.9%,19.7%,16.8%,11.8%,7.76,35,15.0%,52.7%,5.9%,151,35.8%,8,5.3%,23.2%,8.6%,11.9%
7:30 PM,Taj Bradley,vs,77.2,326,4.17,0.205,0.294,1.24,0.170,0.375,12,1.39,108,28.1%,28.2%,22.0%,12.9%,10.66,37,11.3%,63.2%,7.7%,197,44.7%,27,13.7%,32.0%,19.0%,17.8%
1:35 PM,Logan Gilbert,@,77.2,312,3.38,0.195,0.270,0.99,0.174,0.369,11,1.27,106,31.0%,30.4%,21.8%,15.6%,11.01,21,6.7%,67.7%,7.5%,194,40.2%,16,8.2%,30.4%,18.6%,17.5%
1:35 PM,Max Fried,vs,21.1,76,2.21,0.157,0.184,0.75,0.029,0.186,0,-,13,21.5%,22.4%,21.5%,9.8%,7.17,5,6.6%,55.3%,8.0%,54,31.5%,2,3.7%,25.9%,-,5.6%
