Matchup,ARI @ BOS
Pitcher,Payton Tolle
Pitcher Team,BOS
Opposing Team,ARI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.1,1.95,="12-48",.250,.333,0.083,1,1,0,4,26.2,12,.393,.726
Batting Second,16.1,0.67,="6-53",.113,.302,0.189,2,2,1,3,28.8,5,.203,.505
Batting Third,14.1,0.98,="12-53",.226,.415,0.189,2,4,0,5,20.0,2,.255,.670
Batting Fourth,12.0,1.50,="15-49",.306,.449,0.143,1,4,0,4,26.9,3,.346,.795
Batting Fifth,14.0,0.64,="5-46",.109,.109,0.000,0,0,0,0,40.0,4,.180,.289
Batting Sixth,12.0,1.17,="11-47",.234,.426,0.192,2,3,0,6,16.0,3,.280,.706
Batting Seventh,12.1,0.81,="8-46",.174,.348,0.174,2,2,0,5,33.3,2,.208,.556
Batting Eighth,9.1,1.61,="15-43",.349,.628,0.279,3,3,0,7,26.7,0,.378,1.006
Batting Ninth,11.1,0.62,="7-40",.175,.225,0.050,0,2,0,2,34.1,0,.175,.400

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Corbin Carroll LHB,Batting Second ​,="75-250",.300,.600,0.300,12,17,11,36,18.3,40,.403,1.003
Geraldo Perdomo SHB,Batting Third ​,="38-169",.225,.337,0.112,2,7,3,16,12.7,27,.327,.664
Gabriel Moreno RHB,Batting Fourth ​,="53-155",.342,.419,0.077,1,9,0,20,13.0,24,.424,.843
Ildemaro Vargas SHB,Batting Fifth ​,="22-97",.227,.278,0.051,1,2,0,9,8.7,6,.279,.557
Max Kepler LHB,Batting Fifth ​,="16-61",.262,.393,0.131,1,5,0,11,25.7,7,.329,.722
Lars Nootbaar LHB,Batting Fifth ​,="25-126",.198,.286,0.088,2,5,0,9,23.8,20,.306,.592
Nolan Arenado RHB,Batting Sixth ​,="34-136",.250,.419,0.169,5,8,0,21,20.5,9,.301,.720
Jordan Lawlar RHB,Batting Seventh ​,="5-19",.263,.368,0.105,0,2,0,2,17.4,2,.391,.759
Tim Tawa RHB,Batting Seventh ​,="16-72",.222,.319,0.097,2,1,0,7,26.6,5,.273,.592
James McCann RHB,Batting Eighth ​,="21-63",.333,.524,0.191,3,3,0,13,20.9,3,.373,.897
Jose Fernandez RHB,Batting Eighth ​,="12-49",.245,.347,0.102,0,5,0,5,24.5,1,.275,.622
Jorge Barrosa SHB,Batting Ninth ​,="17-87",.195,.333,0.138,0,10,1,7,25.2,10,.283,.616
Ryan Waldschmidt RHB,Batting Ninth ​,="37-127",.291,.402,0.111,2,8,0,13,23.8,12,.361,.763
