Matchup,ARI @ COL
Pitcher,Tanner Gordon
Pitcher Team,COL
Opposing Team,ARI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.1,1.70,="15-47",.319,.447,0.128,1,3,0,3,13.0,6,.389,.836
Batting Second,12.2,1.26,="15-52",.288,.481,0.193,1,5,1,7,24.1,1,.296,.777
Batting Third,13.0,1.08,="13-49",.265,.551,0.286,3,3,1,9,17.6,1,.275,.826
Batting Fourth,9.0,2.56,="19-46",.413,.761,0.348,4,4,0,7,16.0,4,.460,1.221
Batting Fifth,12.1,1.05,="12-49",.245,.408,0.163,1,3,1,7,12.0,1,.260,.668
Batting Sixth,10.1,1.74,="18-46",.391,.674,0.283,2,5,1,8,20.8,0,.396,1.070
Batting Seventh,9.2,1.76,="15-44",.341,.614,0.273,3,3,0,9,21.3,2,.370,.984
Batting Eighth,11.0,1.45,="14-44",.318,.545,0.227,1,7,0,5,12.2,2,.362,.907
Batting Ninth,9.1,1.93,="15-42",.357,.595,0.238,3,1,0,8,33.3,3,.400,.995

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Ketel Marte SHB,Batting First ​,="95-362",.262,.470,0.208,17,20,2,56,15.2,28,.316,.786
Corbin Carroll LHB,Batting Second ​,="85-306",.278,.546,0.268,13,19,12,40,19.8,46,.376,.922
Gabriel Moreno RHB,Batting Third ​,="71-231",.307,.545,0.238,11,20,1,44,12.8,27,.383,.928
Geraldo Perdomo SHB,Batting Third ​,="41-180",.228,.339,0.111,2,8,3,16,12.0,27,.324,.663
Jesus Sanchez LHB,Batting Fourth ​,="30-103",.291,.466,0.175,4,6,0,14,19.5,6,.319,.785
Ildemaro Vargas SHB,Batting Fifth ​,="22-100",.220,.270,0.050,1,2,0,9,9.3,6,.271,.541
Lars Nootbaar LHB,Batting Fifth ​,="25-131",.191,.275,0.084,2,5,0,9,23.4,22,.305,.580
Nolan Arenado RHB,Batting Sixth ​,="50-190",.263,.458,0.195,9,10,0,31,21.1,12,.314,.772
Tim Tawa RHB,Batting Seventh ​,="24-107",.224,.346,0.122,3,2,1,10,24.6,8,.278,.624
James McCann RHB,Batting Eighth ​,="21-70",.300,.471,0.171,3,3,0,13,20.0,4,.347,.818
Pavin Smith LHB,Batting Eighth ​,="8-40",.200,.375,0.175,2,1,0,5,18.6,3,.256,.631
Jose Fernandez RHB,Batting Eighth ​,="16-60",.267,.383,0.116,0,7,0,6,23.5,5,.333,.716
Jordan Lawlar RHB,Batting Ninth ​,="9-40",.225,.375,0.150,1,1,1,6,35.6,2,.311,.686
Ryan Waldschmidt RHB,Batting Ninth ​,="47-179",.263,.369,0.106,3,10,0,19,26.2,20,.345,.714
