Matchup,ARI @ LAD
Pitcher,Eduardo Rodriguez
Pitcher Team,ARI
Opposing Team,LAD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,11.0,1.91,="13-46",.283,.413,0.130,1,1,1,1,13.0,8,.389,.802
Batting Second,11.1,1.85,="16-49",.327,.612,0.285,3,5,0,6,14.8,5,.389,1.001
Batting Third,14.1,0.98,="7-45",.156,.222,0.066,1,0,0,3,17.0,7,.269,.491
Batting Fourth,13.2,1.10,="10-48",.208,.250,0.042,0,2,0,1,18.9,5,.283,.533
Batting Fifth,13.1,1.05,="8-46",.174,.304,0.130,2,0,0,5,15.4,6,.269,.573
Batting Sixth,12.2,0.87,="10-48",.208,.396,0.188,2,3,0,5,24.5,1,.224,.620
Batting Seventh,13.0,0.54,="7-45",.156,.333,0.177,1,3,1,1,24.4,0,.156,.489
Batting Eighth,10.2,0.84,="6-37",.162,.243,0.081,0,3,0,1,10.0,3,.225,.468
Batting Ninth,8.0,1.63,="10-33",.303,.424,0.121,0,4,0,3,13.5,3,.361,.785

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Shohei Ohtani LHB,Batting First ​,="94-323",.291,.536,0.245,20,15,2,56,22.8,60,.406,.942
Kyle Tucker LHB,Batting Second ​,="20-84",.238,.333,0.095,2,2,0,11,24.7,12,.330,.663
Andy Pages RHB,Batting Second ​,="37-154",.240,.422,0.182,5,11,1,18,18.2,17,.324,.746
Freddie Freeman LHB,Batting Third ​,="63-188",.335,.617,0.282,13,14,0,33,17.5,35,.439,1.056
Mookie Betts RHB,Batting Fourth ​,="41-145",.283,.483,0.200,7,8,0,20,12.0,13,.342,.825
Teoscar Hernandez RHB,Batting Fifth ​,="9-52",.173,.173,0.000,0,0,0,6,38.7,8,.290,.463
Max Muncy LHB,Batting Sixth ​,="32-114",.281,.561,0.280,9,5,0,16,24.6,15,.369,.930
Tommy Edman SHB,Batting Sixth ​,="7-20",.350,.550,0.200,0,2,1,3,27.3,2,.409,.959
Alex Call RHB,Batting Eighth ​,="9-37",.243,.270,0.027,0,1,0,8,15.6,5,.356,.626
Dalton Rushing LHB,Batting Eighth ​,="21-80",.263,.513,0.250,5,5,0,11,28.3,9,.348,.861
Miguel Rojas RHB,Batting Ninth ​,="12-48",.250,.333,0.083,1,1,0,4,14.8,3,.315,.648
Eliezer Alfonzo SHB,Batting Ninth ​,="0-5",.000,.000,0.000,0,0,0,0,0.0,0,.000,.000
Alex Freeland SHB,Batting Ninth ​,="35-134",.261,.381,0.120,3,7,0,17,26.3,16,.340,.721
