Matchup,ARI @ SD
Pitcher,Griffin Canning
Pitcher Team,SD
Opposing Team,ARI

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,6.2,1.65,="6-26",.231,.423,0.192,1,2,0,6,25.8,5,.355,.778
Batting Second,4.2,3.43,="12-25",.480,.880,0.400,3,1,0,5,3.4,4,.552,1.432
Batting Third,6.2,0.90,="3-21",.143,.333,0.190,1,1,0,4,28.0,3,.240,.573
Batting Fourth,5.1,2.06,="5-19",.263,.421,0.158,0,3,0,3,12.0,6,.440,.861
Batting Fifth,6.1,1.42,="6-23",.261,.522,0.261,2,0,0,6,23.1,3,.346,.868
Batting Sixth,4.1,2.31,="6-19",.316,.316,0.000,0,0,0,2,20.0,4,.480,.796
Batting Seventh,5.2,0.88,="3-20",.150,.150,0.000,0,0,0,1,31.8,2,.227,.377
Batting Eighth,5.1,1.13,="4-20",.200,.250,0.050,0,1,0,3,40.9,2,.273,.523
Batting Ninth,4.2,1.71,="7-20",.350,.550,0.200,1,1,0,2,18.2,1,.364,.914

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Ketel Marte SHB,Batting First ​,="86-315",.273,.498,0.225,16,19,2,50,13.3,26,.329,.827
Corbin Carroll LHB,Batting Second ​,="61-202",.302,.594,0.292,10,13,8,31,20.4,30,.396,.990
Geraldo Perdomo SHB,Batting Third ​,="37-156",.237,.359,0.122,2,7,3,16,11.6,25,.337,.696
Nolan Arenado RHB,Batting Fourth ​,="19-97",.196,.340,0.144,2,8,0,14,23.3,13,.310,.650
Gabriel Moreno RHB,Batting Fourth ​,="35-108",.324,.380,0.056,0,6,0,12,11.3,13,.395,.775
Ildemaro Vargas SHB,Batting Fifth ​,="20-89",.225,.281,0.056,1,2,0,9,8.4,5,.274,.555
Pavin Smith LHB,Batting Fifth ​,="4-33",.121,.121,0.000,0,0,0,2,22.0,7,.268,.389
Lourdes Gurriel Jr. RHB,Batting Fifth ​,="11-56",.196,.357,0.161,2,3,0,9,16.7,3,.250,.607
Max Kepler LHB,Batting Sixth ​,="4-14",.286,.571,0.285,1,1,0,4,14.3,0,.286,.857
James McCann RHB,Batting Eighth ​,="4-28",.143,.179,0.036,0,1,0,1,24.1,1,.172,.351
Tim Tawa RHB,Batting Eighth ​,="6-29",.207,.276,0.069,0,2,0,4,22.9,4,.294,.570
Jorge Barrosa SHB,Batting Ninth ​,="15-74",.203,.351,0.148,0,9,1,6,28.2,7,.280,.631
Tommy Troy RHB,Batting Ninth ​,="21-97",.216,.351,0.135,3,2,1,6,23.1,11,.296,.647
