Matchup,ARI @ STL
Pitcher,Brandon Pfaadt
Pitcher Team,ARI
Opposing Team,STL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.2,0.92,="8-33",.242,.424,0.182,1,1,1,1,30.3,0,.242,.666
Batting Second,6.2,1.80,="11-30",.367,.633,0.266,2,2,0,7,9.7,1,.387,1.020
Batting Third,6.0,2.00,="9-27",.333,.593,0.260,2,1,0,2,13.3,3,.400,.993
Batting Fourth,7.0,1.43,="7-27",.259,.296,0.037,0,1,0,4,3.2,3,.355,.651
Batting Fifth,6.0,1.83,="7-24",.292,.458,0.166,1,1,0,2,10.7,4,.393,.851
Batting Sixth,7.0,0.57,="3-20",.150,.200,0.050,0,1,0,3,11.5,1,.231,.431
Batting Seventh,6.0,1.33,="6-24",.250,.542,0.292,2,1,0,5,30.8,2,.308,.850
Batting Eighth,6.2,0.30,="2-23",.087,.087,0.000,0,0,0,0,16.7,0,.125,.212
Batting Ninth,5.0,2.00,="6-21",.286,.429,0.143,0,3,0,3,32.0,4,.400,.829

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
JJ Wetherholt LHB,Batting First ​,="97-375",.259,.405,0.146,15,10,0,40,15.7,42,.353,.758
Ivan Herrera RHB,Batting Second ​,="90-373",.241,.373,0.132,11,14,1,41,16.9,51,.366,.739
Alec Burleson LHB,Batting Third ​,="86-304",.283,.490,0.207,14,19,1,48,15.4,28,.350,.840
Nelson Velazquez RHB,Batting Fourth ​,="11-43",.256,.535,0.279,3,3,0,10,22.0,5,.340,.875
Jordan Walker RHB,Batting Fourth ​,="74-264",.280,.511,0.231,16,13,0,57,26.6,20,.332,.843
Lars Nootbaar LHB,Batting Fifth ​,="21-89",.236,.348,0.112,2,4,0,9,26.2,13,.330,.678
Masyn Winn RHB,Batting Sixth ​,="67-267",.251,.341,0.090,4,8,2,37,19.7,28,.331,.672
Bryan Torres LHB,Batting Seventh ​,="9-35",.257,.457,0.200,1,0,2,3,13.2,2,.297,.754
Jose Fermin RHB,Batting Seventh ​,="14-58",.241,.310,0.069,0,4,0,5,14.1,4,.297,.607
Jimmy Crooks LHB,Batting Seventh ​,="4-31",.129,.258,0.129,1,1,0,4,20.0,3,.229,.487
Nathan Church LHB,Batting Seventh ​,="35-152",.230,.368,0.138,5,6,0,18,14.5,5,.258,.626
Pedro Pages RHB,Batting Eighth ​,="28-118",.237,.364,0.127,3,6,0,9,25.6,5,.278,.642
Blaze Jordan RHB,Batting Eighth ​,="14-67",.209,.254,0.045,0,3,0,12,20.3,3,.230,.484
