Matchup,ATH @ ARI
Pitcher,Kohl Drake
Pitcher Team,ARI
Opposing Team,ATH

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Shea Langeliers RHB,Batting Second ​,="52-183",.284,.519,0.235,11,10,0,24,20.1,17,.353,.872
Colby Thomas RHB,Batting Third ​,="6-21",.286,.429,0.143,0,3,0,4,36.4,1,.318,.747
Jonah Heim SHB,Batting Fourth ​,="8-46",.174,.239,0.065,1,0,0,3,27.1,1,.208,.447
Tyler Soderstrom LHB,Batting Fourth ​,="30-123",.244,.439,0.195,5,9,0,17,10.5,19,.343,.782
Carlos Cortes LHB,Batting Fifth ​,="13-51",.255,.353,0.098,0,3,1,3,23.1,1,.269,.622
Jacob Wilson RHB,Batting Fifth ​,="37-131",.282,.397,0.115,3,6,0,15,10.9,5,.307,.704
Joshua Kuroda-Grauer RHB,Batting Fifth ​,="12-31",.387,.613,0.226,1,4,0,3,12.5,1,.406,1.019
Lawrence Butler LHB,Batting Sixth ​,="17-75",.227,.347,0.120,2,3,0,9,27.9,10,.326,.673
Henry Bolte RHB,Batting Sixth ​,="14-42",.333,.357,0.024,0,1,0,0,27.3,1,.364,.721
Tommy White RHB,Batting Seventh ​,="4-7",.571,.571,0.000,0,0,0,0,0.0,1,.625,1.196
Donovan Walton LHB,Batting Eighth ​,="11-31",.355,.645,0.290,2,3,0,5,21.2,2,.394,1.039
Jeff McNeil LHB,Batting Eighth ​,="20-102",.196,.216,0.020,0,2,0,11,12.2,11,.278,.494
Alika Williams RHB,Batting Ninth ​,="21-77",.273,.468,0.195,2,9,0,8,29.6,3,.300,.768
