Matchup,ATH @ BOS
Pitcher,Jake Bennett
Pitcher Team,BOS
Opposing Team,ATH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,9.1,0.86,="6-33",.182,.273,0.091,1,0,0,4,16.2,2,.243,.516
Batting Second,9.2,0.93,="8-35",.229,.286,0.057,0,2,0,4,16.7,1,.250,.536
Batting Third,9.0,1.00,="6-31",.194,.194,0.000,0,0,0,0,23.5,3,.265,.459
Batting Fourth,9.0,0.67,="4-29",.138,.172,0.034,0,1,0,2,21.9,2,.188,.360
Batting Fifth,7.2,1.17,="7-29",.241,.276,0.035,0,1,0,0,19.4,2,.290,.566
Batting Sixth,8.2,0.46,="3-27",.111,.111,0.000,0,0,0,1,13.8,1,.143,.254
Batting Seventh,5.0,2.80,="13-27",.481,.926,0.445,3,3,0,5,17.9,1,.500,1.426
Batting Eighth,7.0,0.86,="6-25",.240,.240,0.000,0,0,0,1,14.8,0,.240,.480
Batting Ninth,6.0,1.17,="6-23",.261,.391,0.130,1,0,0,5,15.4,1,.308,.699

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jonah Heim SHB,Batting Fourth ​,="12-66",.182,.258,0.076,1,2,0,5,24.6,1,.203,.461
Tyler Soderstrom LHB,Batting Fourth ​,="34-147",.231,.422,0.191,6,10,0,20,14.4,19,.317,.739
Carlos Cortes LHB,Batting Fifth ​,="13-51",.255,.353,0.098,0,3,1,3,23.1,1,.269,.622
Tommy White RHB,Batting Fifth ​,="8-32",.250,.250,0.000,0,0,0,0,18.8,0,.250,.500
Jacob Wilson RHB,Batting Fifth ​,="37-131",.282,.397,0.115,3,6,0,15,10.9,5,.307,.704
Lawrence Butler LHB,Batting Sixth ​,="21-89",.236,.371,0.135,2,6,0,11,26.7,11,.327,.698
Max Muncy RHB,Batting Seventh ​,="25-95",.263,.389,0.126,2,4,1,10,36.1,6,.324,.713
Henry Bolte RHB,Batting Seventh ​,="15-53",.283,.415,0.132,2,1,0,8,26.2,7,.377,.792
Donovan Walton LHB,Batting Eighth ​,="11-31",.355,.645,0.290,2,3,0,5,21.2,2,.394,1.039
Jeff McNeil LHB,Batting Eighth ​,="24-113",.212,.230,0.018,0,2,0,13,11.9,11,.286,.516
Brian Serven RHB,Batting Ninth ​,="2-7",.286,.714,0.428,1,0,0,2,28.6,0,.286,1.000
Alika Williams RHB,Batting Ninth ​,="22-85",.259,.435,0.176,2,9,0,9,27.0,3,.284,.719
Jonathan Ornelas RHB,Batting Ninth ​,="2-10",.200,.200,0.000,0,0,0,0,45.5,1,.273,.473
