Matchup,ATH @ CHC
Pitcher,Gage Jump
Pitcher Team,ATH
Opposing Team,CHC

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,0.2,1.50,="1-2",.500,.500,0.000,0,0,0,1,33.3,0,.333,.833
Batting Second,0.2,1.50,="1-3",.333,.333,0.000,0,0,0,1,0.0,0,.333,.666
Batting Third,0.2,1.50,="1-3",.333,.333,0.000,0,0,0,0,33.3,0,.333,.666
Batting Fourth,1.0,1.00,="1-3",.333,.333,0.000,0,0,0,0,0.0,0,.333,.666
Batting Fifth,0.1,3.00,="1-2",.500,.500,0.000,0,0,0,0,33.3,0,.667,1.167
Batting Sixth,0.1,6.00,="2-3",.667,1.000,0.333,0,1,0,1,0.0,0,.667,1.667
Batting Seventh,1.0,0.00,="0-2",.000,.000,0.000,0,0,0,1,33.3,0,.000,.000
Batting Eighth,0.0,-.--,="2-2",1.000,1.500,0.500,0,1,0,0,0.0,0,1.000,2.500
Batting Ninth,0.1,3.00,="0-1",.000,.000,0.000,0,0,0,0,50.0,1,.500,.500

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Nico Hoerner RHB,Batting First ​,="49-186",.263,.387,0.124,4,11,0,28,6.6,21,.341,.728
Michael Busch LHB,Batting Second ​,="14-73",.192,.288,0.096,1,4,0,5,25.0,9,.298,.586
Alex Bregman RHB,Batting Third ​,="33-125",.264,.384,0.120,3,6,0,12,19.3,13,.336,.720
Ian Happ SHB,Batting Fourth ​,="25-114",.219,.386,0.167,4,5,1,9,32.4,26,.373,.759
Seiya Suzuki RHB,Batting Fifth ​,="23-96",.240,.406,0.166,4,4,0,11,26.1,13,.333,.739
Michael Conforto LHB,Batting Sixth ​,="8-23",.348,.783,0.435,2,4,0,7,17.9,4,.429,1.212
Carson Kelly RHB,Batting Seventh ​,="16-55",.291,.382,0.091,1,2,0,11,18.5,9,.400,.782
Moisés Ballesteros LHB,Batting Seventh ​,="7-43",.163,.186,0.023,0,1,0,3,26.0,7,.280,.466
Kevin Alcantara RHB,Batting Eighth ​,="1-2",.500,.500,0.000,0,0,0,0,0.0,0,.500,1.000
Pete Crow-Armstrong LHB,Batting Eighth ​,="24-106",.226,.443,0.217,5,4,2,17,24.8,10,.322,.765
Dansby Swanson RHB,Batting Ninth ​,="16-91",.176,.330,0.154,3,3,1,12,21.3,14,.290,.620
Miguel Amaya RHB,Batting Ninth ​,="12-32",.375,.719,0.344,3,2,0,9,12.5,6,.500,1.219
Pedro Ramirez SHB,Batting Ninth ​,="1-3",.333,.667,0.334,0,1,0,1,0.0,1,.500,1.167
