Matchup,ATH @ MIN
Pitcher,Zebby Matthews
Pitcher Team,MIN
Opposing Team,ATH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,9.0,1.22,="9-36",.250,.417,0.167,1,3,0,1,5.3,2,.289,.706
Batting Second,8.2,1.27,="7-32",.219,.531,0.312,3,1,0,6,13.9,4,.306,.837
Batting Third,8.2,1.04,="8-31",.258,.484,0.226,2,1,0,6,20.0,1,.286,.770
Batting Fourth,7.1,1.64,="9-31",.290,.710,0.420,3,4,0,4,17.1,3,.371,1.081
Batting Fifth,7.2,1.30,="7-30",.233,.433,0.200,1,3,0,4,18.2,3,.303,.736
Batting Sixth,7.1,1.50,="8-29",.276,.552,0.276,2,0,1,7,34.4,3,.344,.896
Batting Seventh,7.0,1.71,="10-30",.333,.467,0.134,1,1,0,3,25.0,2,.375,.842
Batting Eighth,5.2,2.29,="10-26",.385,.615,0.230,2,0,0,6,27.6,3,.448,1.063
Batting Ninth,8.2,0.58,="5-27",.185,.222,0.037,0,1,0,1,18.5,0,.185,.407

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Shea Langeliers RHB,Batting Second ​,="52-183",.284,.519,0.235,11,10,0,24,20.1,17,.353,.872
Colby Thomas RHB,Batting Third ​,="6-21",.286,.429,0.143,0,3,0,4,36.4,1,.318,.747
Jonah Heim SHB,Batting Fourth ​,="9-50",.180,.240,0.060,1,0,0,4,26.4,1,.208,.448
Tyler Soderstrom LHB,Batting Fourth ​,="30-123",.244,.439,0.195,5,9,0,17,10.5,19,.343,.782
Carlos Cortes LHB,Batting Fifth ​,="13-51",.255,.353,0.098,0,3,1,3,23.1,1,.269,.622
Jacob Wilson RHB,Batting Fifth ​,="37-131",.282,.397,0.115,3,6,0,15,10.9,5,.307,.704
Lawrence Butler LHB,Batting Sixth ​,="17-75",.227,.347,0.120,2,3,0,9,27.9,10,.326,.673
Henry Bolte RHB,Batting Sixth ​,="14-42",.333,.357,0.024,0,1,0,0,27.3,1,.364,.721
Max Muncy RHB,Batting Seventh ​,="25-94",.266,.394,0.128,2,4,1,10,35.5,6,.327,.721
Tommy White RHB,Batting Seventh ​,="4-7",.571,.571,0.000,0,0,0,0,0.0,1,.625,1.196
Donovan Walton LHB,Batting Eighth ​,="11-31",.355,.645,0.290,2,3,0,5,21.2,2,.394,1.039
Jeff McNeil LHB,Batting Eighth ​,="20-102",.196,.216,0.020,0,2,0,11,12.2,11,.278,.494
Alika Williams RHB,Batting Ninth ​,="22-79",.278,.468,0.190,2,9,0,9,28.9,3,.305,.773
