Matchup,ATH @ SEA
Pitcher,Kade Anderson
Pitcher Team,SEA
Opposing Team,ATH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,1.1,1.50,="1-5",.200,.400,0.200,0,1,0,0,16.7,1,.333,.733
Batting Second,1.2,0.60,="1-5",.200,.200,0.000,0,0,0,0,20.0,0,.200,.400
Batting Third,1.1,0.75,="1-5",.200,.800,0.600,1,0,0,1,20.0,0,.200,1.000
Batting Fourth,1.0,2.00,="2-5",.400,1.200,0.800,1,1,0,1,40.0,0,.400,1.600
Batting Fifth,0.2,3.00,="0-2",.000,.000,0.000,0,0,0,0,0.0,2,.500,.500
Batting Sixth,0.2,3.00,="0-2",.000,.000,0.000,0,0,0,0,0.0,2,.500,.500
Batting Seventh,1.0,1.00,="1-4",.250,.250,0.000,0,0,0,0,25.0,0,.250,.500
Batting Eighth,1.1,0.00,="0-3",.000,.000,0.000,0,0,0,1,50.0,0,.000,.000
Batting Ninth,1.0,2.00,="2-4",.500,.500,0.000,0,0,0,0,0.0,0,.500,1.000

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Henry Bolte RHB,Batting First ​,="37-127",.291,.449,0.158,4,6,1,13,29.1,9,.357,.806
Jonah Heim SHB,Batting Fourth ​,="18-88",.205,.307,0.102,2,3,0,6,22.1,5,.253,.560
Carlos Cortes LHB,Batting Fifth ​,="14-55",.255,.345,0.090,0,3,1,3,21.4,1,.268,.613
Tommy White RHB,Batting Fifth ​,="19-83",.229,.277,0.048,1,1,0,7,16.5,1,.235,.512
Lawrence Butler LHB,Batting Sixth ​,="24-103",.233,.379,0.146,3,6,0,13,24.8,13,.325,.704
Michael Stefanic RHB,Batting Sixth ​,="2-7",.286,.429,0.143,0,1,0,1,14.3,0,.286,.715
Zack Gelof RHB,Batting Seventh ​,="20-59",.339,.525,0.186,3,2,0,7,18.5,4,.381,.906
Max Muncy RHB,Batting Seventh ​,="29-120",.242,.350,0.108,2,5,1,11,31.4,10,.314,.664
Donovan Walton LHB,Batting Eighth ​,="17-52",.327,.577,0.250,3,4,0,7,18.0,7,.426,1.003
Jeff McNeil LHB,Batting Eighth ​,="24-114",.211,.228,0.017,0,2,0,13,11.7,12,.289,.517
Brian Serven RHB,Batting Ninth ​,="5-22",.227,.636,0.409,3,0,0,7,31.8,0,.227,.863
Denzel Clarke RHB,Batting Ninth ​,="10-55",.182,.200,0.018,0,1,0,6,36.1,4,.237,.437
Alika Williams RHB,Batting Ninth ​,="25-96",.260,.427,0.167,2,10,0,9,26.5,4,.297,.724
Darell Hernaiz RHB,Batting Ninth ​,="16-75",.213,.240,0.027,0,2,0,3,15.5,6,.277,.517
