Matchup,ATH @ SF
Pitcher,Aaron Civale
Pitcher Team,ATH
Opposing Team,SF

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.0,1.50,="12-35",.343,.600,0.257,1,4,1,2,11.1,0,.333,.933
Batting Second,6.2,2.55,="10-28",.357,.786,0.429,4,0,0,5,13.9,7,.486,1.272
Batting Third,6.1,2.05,="11-30",.367,.500,0.133,0,4,0,3,15.6,2,.406,.906
Batting Fourth,5.2,2.65,="11-27",.407,.630,0.223,1,3,0,7,9.7,4,.484,1.114
Batting Fifth,7.2,0.65,="5-27",.185,.333,0.148,1,1,0,3,17.9,0,.179,.512
Batting Sixth,5.1,1.69,="7-22",.318,.500,0.182,1,1,0,1,7.7,2,.400,.900
Batting Seventh,6.2,0.90,="5-25",.200,.480,0.280,2,1,0,4,23.1,1,.231,.711
Batting Eighth,6.0,1.33,="6-24",.250,.250,0.000,0,0,0,0,19.2,2,.308,.558
Batting Ninth,5.2,1.41,="7-24",.292,.625,0.333,2,2,0,4,24.0,1,.320,.945

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Willy Adames RHB,Batting First ​,="29-131",.221,.450,0.229,5,13,1,10,28.1,7,.259,.709
Luis Arraez LHB,Batting Second ​,="54-151",.358,.464,0.106,2,6,2,12,1.8,12,.411,.875
Matt Chapman RHB,Batting Third ​,="22-86",.256,.384,0.128,2,3,1,12,21.6,10,.330,.714
Casey Schmitt RHB,Batting Third ​,="25-98",.255,.449,0.194,5,4,0,13,20.6,2,.275,.724
Rafael Devers LHB,Batting Fourth ​,="49-184",.266,.495,0.229,8,16,1,27,27.8,13,.318,.813
Jung Hoo Lee LHB,Batting Fifth ​,="34-97",.351,.474,0.123,1,7,1,9,6.9,2,.366,.840
Buddy Kennedy RHB,Batting Sixth ​,="0-3",.000,.000,0.000,0,0,0,0,66.7,0,.000,.000
Bryce Eldridge LHB,Batting Seventh ​,="13-45",.289,.489,0.200,1,6,0,2,26.0,5,.360,.849
Drew Gilbert LHB,Batting Eighth ​,="17-86",.198,.256,0.058,1,2,0,8,18.0,10,.303,.559
Daniel Susac RHB,Batting Eighth ​,="16-46",.348,.457,0.109,0,3,1,5,18.9,4,.423,.880
Eric Haase RHB,Batting Ninth ​,="6-32",.188,.438,0.250,2,2,0,4,28.6,2,.235,.673
Victor Bericoto RHB,Batting Ninth ​,="2-9",.222,.556,0.334,1,0,0,1,33.3,0,.222,.778
Jonah Cox RHB,Batting Ninth ​,="5-13",.385,.769,0.384,1,0,1,2,50.0,0,.385,1.154
