Matchup,ATL @ BAL
Pitcher,Trevor Rogers
Pitcher Team,BAL
Opposing Team,ATL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,="16-48",.333,.542,0.209,2,4,0,10,17.0,.377,.919
Batting Second,="6-48",.125,.125,0.000,0,0,0,3,15.1,.208,.333
Batting Third,="16-47",.340,.596,0.256,4,0,0,6,13.7,.392,.988
Batting Fourth,="9-44",.205,.364,0.159,1,2,1,7,28.0,.280,.644
Batting Fifth,="10-40",.250,.400,0.150,0,4,1,3,15.2,.348,.748
Batting Sixth,="10-41",.244,.463,0.219,2,3,0,5,22.7,.295,.758
Batting Seventh,="8-36",.222,.389,0.167,1,3,0,7,21.1,.263,.652
Batting Eighth,="6-35",.171,.200,0.029,0,1,0,1,21.6,.216,.416
Batting Ninth,="13-35",.371,.457,0.086,0,3,0,4,16.2,.405,.862

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Ozzie Albies SHB,Batting Second ​,="25-131",.191,.359,0.168,5,7,0,14,22.4,9,.245,.604
Drake Baldwin LHB,Batting Second ​,="51-179",.285,.497,0.212,11,5,0,33,23.0,18,.360,.857
Matt Olson LHB,Batting Third ​,="81-312",.260,.506,0.246,20,17,0,48,22.6,37,.339,.845
Michael Harris II LHB,Batting Fourth ​,="18-68",.265,.382,0.117,2,2,0,11,16.7,2,.292,.674
Mauricio Dubon RHB,Batting Fifth ​,="31-117",.265,.427,0.162,4,5,1,23,15.0,7,.306,.733
Austin Riley RHB,Batting Fifth ​,="25-107",.234,.355,0.121,3,2,1,14,33.3,10,.317,.672
Eli White RHB,Batting Sixth ​,="10-40",.250,.500,0.250,2,2,1,5,20.5,4,.318,.818
Dominic Smith LHB,Batting Seventh ​,="23-71",.324,.479,0.155,3,2,0,17,13.9,3,.359,.838
Mike Yastrzemski LHB,Batting Eighth ​,="15-90",.167,.233,0.066,2,0,0,8,21.2,11,.269,.502
Joey Bart RHB,Batting Eighth ​,="5-35",.143,.286,0.143,1,2,0,4,29.3,1,.268,.554
Jorge Mateo RHB,Batting Ninth ​,="17-72",.236,.264,0.028,0,2,0,2,34.7,3,.267,.531
Brewer Hicklen RHB,Batting Ninth ​,="7-15",.467,.733,0.266,0,4,0,3,23.5,2,.529,1.262
Jim Jarvis LHB,Batting Ninth ​,="11-36",.306,.472,0.166,1,1,1,5,23.1,2,.359,.831
