Matchup,ATL @ CWS
Pitcher,Martin Perez
Pitcher Team,ATL
Opposing Team,CWS

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.1,1.23,="6-27",.222,.519,0.297,2,2,0,3,16.7,3,.300,.819
Batting Second,7.0,1.43,="6-24",.250,.333,0.083,0,0,1,0,17.2,4,.379,.712
Batting Third,6.2,0.90,="5-23",.217,.565,0.348,2,0,1,3,26.9,1,.240,.805
Batting Fourth,6.2,0.75,="2-22",.091,.136,0.045,0,1,0,1,32.0,3,.200,.336
Batting Fifth,5.2,1.24,="4-20",.200,.250,0.050,0,1,0,1,25.0,3,.292,.542
Batting Sixth,6.0,1.17,="7-24",.292,.583,0.291,1,2,1,6,20.8,0,.292,.875
Batting Seventh,6.2,0.60,="1-20",.050,.050,0.000,0,0,0,0,17.4,3,.174,.224
Batting Eighth,4.1,2.08,="7-20",.350,.600,0.250,1,2,0,2,13.0,2,.435,1.035
Batting Ninth,6.1,0.47,="2-19",.105,.158,0.053,0,1,0,1,19.0,1,.143,.301

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Sam Antonacci LHB,Batting First ​,="29-98",.296,.347,0.051,0,5,0,5,18.1,7,.395,.742
Chase Meidroth RHB,Batting First ​,="28-107",.262,.430,0.168,4,6,0,10,21.4,10,.325,.755
Miguel Vargas RHB,Batting Third ​,="37-154",.240,.468,0.228,9,8,0,24,18.2,28,.366,.834
Colson Montgomery LHB,Batting Fourth ​,="39-179",.218,.447,0.229,11,8,0,27,33.0,17,.310,.757
Edgar Quero SHB,Batting Fifth ​,="4-39",.103,.205,0.102,1,1,0,6,26.5,7,.224,.429
Randal Grichuk RHB,Batting Sixth ​,="7-26",.269,.385,0.116,0,3,0,4,29.6,0,.259,.644
Andrew Benintendi LHB,Batting Sixth ​,="21-70",.300,.443,0.143,2,4,0,9,19.0,7,.359,.802
Jacob Gonzalez LHB,Batting Sixth ​,="5-17",.294,.471,0.177,1,0,0,4,26.3,2,.368,.839
Braden Montgomery SHB,Batting Sixth ​,="2-5",.400,1.000,0.600,1,0,0,3,40.0,0,.400,1.400
Tristan Peters LHB,Batting Seventh ​,="21-68",.309,.500,0.191,1,10,0,6,20.0,4,.365,.865
Derek Hill RHB,Batting Ninth ​,="4-25",.160,.160,0.000,0,0,0,1,51.9,1,.222,.382
Luisangel Acuna RHB,Batting Ninth ​,="9-55",.164,.182,0.018,0,1,0,3,17.7,4,.230,.412
Drew Romo SHB,Batting Ninth ​,="7-42",.167,.381,0.214,2,3,0,5,19.6,9,.314,.695
