Matchup,ATL @ SD
Pitcher,JR Ritchie
Pitcher Team,ATL
Opposing Team,SD

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,3.2,2.18,="5-16",.313,.688,0.375,2,0,0,5,5.3,3,.421,1.109
Batting Second,4.2,0.86,="2-15",.133,.400,0.267,1,1,0,4,10.5,2,.263,.663
Batting Third,5.0,1.00,="4-18",.222,.222,0.000,0,0,0,0,36.8,1,.263,.485
Batting Fourth,3.2,2.45,="5-14",.357,.857,0.500,2,1,0,3,16.7,4,.500,1.357
Batting Fifth,5.0,0.40,="1-16",.063,.063,0.000,0,0,0,0,47.1,1,.118,.181
Batting Sixth,2.1,3.43,="4-12",.333,.833,0.500,2,0,0,4,17.6,4,.529,1.362
Batting Seventh,4.0,1.00,="3-15",.200,.200,0.000,0,0,0,0,6.3,1,.250,.450
Batting Eighth,3.2,1.36,="3-13",.231,.308,0.077,0,1,0,3,20.0,2,.333,.641
Batting Ninth,3.1,1.20,="1-10",.100,.100,0.000,0,0,0,0,14.3,3,.357,.457

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Fernando Tatis Jr. RHB,Batting First ​,="46-145",.317,.421,0.104,2,9,0,12,15.8,11,.367,.788
Jackson Merrill LHB,Batting Third ​,="25-111",.225,.369,0.144,4,4,0,12,27.3,7,.277,.646
Manny Machado RHB,Batting Fourth ​,="30-157",.191,.401,0.210,9,6,0,29,22.7,20,.276,.677
Xander Bogaerts RHB,Batting Fifth ​,="37-156",.237,.308,0.071,3,2,0,16,20.2,15,.306,.614
Miguel Andujar RHB,Batting Sixth ​,="15-49",.306,.490,0.184,1,4,1,8,18.0,1,.320,.810
Gavin Sheets LHB,Batting Sixth ​,="13-75",.173,.347,0.174,3,4,0,10,27.2,5,.235,.582
Samad Taylor RHB,Batting Sixth ​,="9-24",.375,.542,0.167,1,1,0,5,24.0,1,.400,.942
Ty France RHB,Batting Seventh ​,="19-78",.244,.538,0.294,6,3,1,15,32.5,3,.289,.827
Jase Bowen RHB,Batting Eighth ​,="0-14",.000,.000,0.000,0,0,0,0,50.0,0,.000,.000
Will Wagner LHB,Batting Eighth ​,="3-11",.273,.273,0.000,0,0,0,0,21.4,3,.429,.702
Sung-Mun Song LHB,Batting Eighth ​,="5-25",.200,.240,0.040,0,1,0,2,13.8,4,.310,.550
Rodolfo Durán RHB,Batting Ninth ​,="6-48",.125,.354,0.229,3,2,0,6,26.8,7,.250,.604
Blake Hunt RHB,Batting Ninth ​,="0-3",.000,.000,0.000,0,0,0,0,100.0,0,.000,.000
