Matchup,ATL @ WSH
Pitcher,AJ Smith-Shawver
Pitcher Team,ATL
Opposing Team,WSH

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,1.1,3.00,="4-8",.500,.500,0.000,0,0,0,1,11.1,0,.444,.944
Batting Second,1.2,1.20,="1-7",.143,.286,0.143,0,1,0,1,12.5,1,.250,.536
Batting Third,2.1,0.86,="0-6",.000,.000,0.000,0,0,0,1,0.0,2,.250,.250
Batting Fourth,2.0,0.50,="1-7",.143,.143,0.000,0,0,0,0,0.0,0,.143,.286
Batting Fifth,1.0,4.00,="3-6",.500,1.167,0.667,1,1,0,2,28.6,1,.571,1.738
Batting Sixth,2.0,0.00,="0-6",.000,.000,0.000,0,0,0,0,50.0,0,.000,.000
Batting Seventh,2.0,0.50,="0-5",.000,.000,0.000,0,0,0,0,16.7,1,.167,.167
Batting Eighth,1.0,3.00,="1-4",.250,.250,0.000,0,0,0,0,16.7,2,.500,.750
Batting Ninth,0.1,15.00,="4-5",.800,1.000,0.200,0,1,0,2,16.7,1,.833,1.833

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Abimelec Ortiz LHB,Batting Second ​,="18-77",.234,.455,0.221,5,2,0,10,25.9,4,.272,.727
Andres Chaparro RHB,Batting Third ​,="15-72",.208,.444,0.236,5,2,0,18,22.5,7,.288,.732
Brady House RHB,Batting Third ​,="39-159",.245,.415,0.170,7,6,0,24,29.3,7,.281,.696
CJ Abrams LHB,Batting Fourth ​,="97-365",.266,.518,0.252,23,19,2,67,24.7,35,.335,.853
Dylan Crews RHB,Batting Fifth ​,="30-140",.214,.393,0.179,7,4,0,15,24.0,12,.286,.679
Daylen Lile LHB,Batting Sixth ​,="36-174",.207,.385,0.178,7,8,1,20,22.3,9,.255,.640
Jose Tena LHB,Batting Seventh ​,="18-67",.269,.373,0.104,0,5,1,5,27.6,8,.355,.728
Harry Ford RHB,Batting Seventh ​,="4-30",.133,.233,0.100,1,0,0,1,26.5,4,.235,.468
Jorbit Vivas LHB,Batting Eighth ​,="26-107",.243,.327,0.084,1,4,1,11,12.7,14,.325,.652
Keibert Ruiz SHB,Batting Ninth ​,="33-133",.248,.376,0.128,2,11,0,15,13.5,6,.284,.660
Nasim Nuñez SHB,Batting Ninth ​,="39-152",.257,.303,0.046,0,1,3,6,18.6,15,.321,.624
Andrew Pinckney RHB,Batting Ninth ​,="4-15",.267,.400,0.133,0,0,1,1,41.2,0,.294,.694
Jacob Young RHB,Batting Ninth ​,="24-103",.233,.379,0.146,2,7,1,15,16.1,11,.314,.693
