Matchup,BAL @ BOS
Pitcher,Shane Baz
Pitcher Team,BAL
Opposing Team,BOS

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.2,1.74,="18-57",.316,.526,0.210,1,7,1,6,21.3,4,.361,.887
Batting Second,13.1,1.65,="15-51",.294,.490,0.196,2,4,0,10,8.3,7,.367,.857
Batting Third,13.2,1.39,="12-48",.250,.396,0.146,2,1,0,8,12.1,7,.328,.724
Batting Fourth,12.2,1.58,="13-48",.271,.375,0.104,1,2,0,6,21.4,7,.357,.732
Batting Fifth,11.0,1.73,="17-50",.340,.540,0.200,1,7,0,6,17.0,2,.377,.917
Batting Sixth,13.2,1.02,="10-46",.217,.304,0.087,0,4,0,5,32.1,4,.283,.587
Batting Seventh,13.0,0.92,="8-44",.182,.227,0.045,0,2,0,4,30.0,4,.260,.487
Batting Eighth,12.0,1.00,="8-43",.186,.279,0.093,1,1,0,4,29.2,4,.250,.529
Batting Ninth,9.2,1.55,="12-40",.300,.600,0.300,1,7,1,5,16.3,3,.349,.949

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Anthony Seigler SHB,Batting First ​,="10-58",.172,.276,0.104,1,3,0,4,22.7,5,.246,.522
Jarren Duran LHB,Batting First ​,="39-181",.215,.409,0.194,9,4,2,25,29.9,12,.269,.678
Ceddanne Rafaela RHB,Batting Second ​,="58-215",.270,.414,0.144,4,17,1,22,16.8,8,.299,.713
Jahmai Jones RHB,Batting Third ​,="7-32",.219,.375,0.156,1,2,0,3,34.3,3,.286,.661
Wilyer Abreu LHB,Batting Third ​,="64-260",.246,.442,0.196,11,14,2,35,20.3,26,.314,.756
Willson Contreras RHB,Batting Fourth ​,="68-242",.281,.550,0.269,16,13,2,49,25.0,24,.370,.920
Masataka Yoshida LHB,Batting Fifth ​,="20-76",.263,.474,0.211,3,5,1,8,13.3,5,.313,.787
Andruw Monasterio RHB,Batting Sixth ​,="11-36",.306,.556,0.250,1,4,1,5,20.5,2,.342,.898
Romy Gonzalez RHB,Batting Sixth ​,="5-19",.263,.526,0.263,1,0,1,5,30.0,1,.300,.826
Caleb Durbin RHB,Batting Sixth ​,="25-110",.227,.373,0.146,3,5,1,15,17.4,9,.289,.662
Connor Wong RHB,Batting Eighth ​,="17-75",.227,.333,0.106,1,5,0,14,24.2,10,.337,.670
Carlos Narvaez RHB,Batting Eighth ​,="20-105",.190,.276,0.086,2,3,0,7,29.8,8,.263,.539
Tsung-Che Cheng LHB,Batting Ninth ​,="10-33",.303,.333,0.030,0,1,0,5,28.9,4,.368,.701
