Matchup,BAL @ COL
Pitcher,Kyle Bradish
Pitcher Team,BAL
Opposing Team,COL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,="18-69",.261,.391,0.130,2,1,1,6,22.2,.370,.761
Batting Second,="23-65",.354,.477,0.123,1,5,0,7,15.8,.447,.924
Batting Third,="10-69",.145,.246,0.101,1,4,0,4,32.0,.213,.459
Batting Fourth,="15-58",.259,.500,0.241,3,5,0,7,23.5,.368,.868
Batting Fifth,="16-60",.267,.500,0.233,3,3,1,12,17.9,.313,.813
Batting Sixth,="12-54",.222,.333,0.111,1,1,1,5,25.4,.317,.650
Batting Seventh,="17-57",.298,.509,0.211,3,1,1,9,14.5,.339,.848
Batting Eighth,="20-54",.370,.500,0.130,1,4,0,6,18.6,.424,.924
Batting Ninth,="9-54",.167,.259,0.092,1,2,0,7,25.4,.220,.479

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jake McCarthy LHB,Batting First ​,="93-327",.284,.483,0.199,12,21,4,44,16.2,16,.323,.806
Mickey Moniak LHB,Batting Second ​,="50-193",.259,.560,0.301,14,12,2,36,24.5,9,.294,.854
Cole Carrigg SHB,Batting Second ​,="14-71",.197,.282,0.085,1,3,0,7,23.8,7,.288,.570
Hunter Goodman RHB,Batting Third ​,="48-209",.230,.517,0.287,17,9,0,32,34.8,12,.277,.794
TJ Rumfield LHB,Batting Fourth ​,="57-187",.305,.460,0.155,6,11,0,18,14.2,29,.406,.866
Troy Johnston LHB,Batting Fifth ​,="33-120",.275,.342,0.067,0,6,1,15,14.2,15,.369,.711
Willi Castro SHB,Batting Sixth ​,="34-102",.333,.539,0.206,4,7,1,18,25.4,10,.395,.934
Jordan Beck RHB,Batting Sixth ​,="7-29",.241,.379,0.138,0,2,1,5,36.7,1,.267,.646
Connor Norby RHB,Batting Seventh ​,="13-64",.203,.375,0.172,2,5,0,10,31.5,7,.288,.663
Zac Veen LHB,Batting Eighth ​,="2-6",.333,.333,0.000,0,0,0,0,25.0,2,.500,.833
Brett Sullivan LHB,Batting Ninth ​,="17-75",.227,.373,0.146,3,2,0,8,22.8,2,.253,.626
Ezequiel Tovar RHB,Batting Ninth ​,="25-104",.240,.404,0.164,4,5,0,15,19.7,8,.284,.688
Ryan Ritter RHB,Batting Ninth ​,="1-9",.111,.111,0.000,0,0,0,0,27.3,1,.200,.311
