Matchup,BAL @ MIN
Pitcher,Bailey Ober
Pitcher Team,MIN
Opposing Team,BAL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.2,1.69,="13-44",.295,.432,0.137,1,3,0,1,18.0,5,.380,.812
Batting Second,11.2,1.20,="13-48",.271,.375,0.104,0,5,0,3,14.3,1,.286,.661
Batting Third,11.1,1.32,="12-45",.267,.467,0.200,2,3,0,7,8.3,3,.313,.780
Batting Fourth,10.1,1.45,="13-43",.302,.512,0.210,2,3,0,10,17.4,2,.348,.860
Batting Fifth,11.0,1.18,="9-40",.225,.600,0.375,4,3,0,10,18.2,4,.295,.895
Batting Sixth,8.1,1.80,="14-40",.350,.575,0.225,2,3,0,7,17.1,1,.366,.941
Batting Seventh,10.0,0.80,="5-34",.147,.294,0.147,1,2,0,2,15.8,3,.216,.510
Batting Eighth,9.2,0.93,="6-35",.171,.371,0.200,2,1,0,6,18.4,3,.237,.608
Batting Ninth,10.0,0.60,="4-32",.125,.125,0.000,0,0,0,0,20.0,2,.176,.301

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Gunnar Henderson LHB,Batting Second ​,="55-247",.223,.413,0.190,12,9,1,29,22.1,23,.301,.714
Pete Alonso RHB,Batting Fourth ​,="62-248",.250,.472,0.222,15,10,0,47,23.8,34,.346,.818
Tyler O'Neill RHB,Batting Fifth ​,="11-61",.180,.246,0.066,1,1,0,2,23.9,9,.296,.542
Christian Encarnacion-Strand RHB,Batting Fifth ​,="2-17",.118,.118,0.000,0,0,0,1,26.3,1,.167,.285
Leody Taveras SHB,Batting Sixth ​,="39-157",.248,.350,0.102,1,9,2,15,21.9,15,.318,.668
Dylan Beavers LHB,Batting Sixth ​,="13-51",.255,.353,0.098,1,2,0,6,24.1,3,.296,.649
Colton Cowser LHB,Batting Seventh ​,="22-127",.173,.244,0.071,3,0,0,13,31.8,17,.272,.516
Carlos Narvaez RHB,Batting Eighth ​,="20-105",.190,.276,0.086,2,3,0,7,29.8,8,.263,.539
Christian Franklin RHB,Batting Eighth ​,="1-3",.333,.667,0.334,0,1,0,0,33.3,0,.333,1.000
Coby Mayo RHB,Batting Eighth ​,="18-91",.198,.319,0.121,3,2,0,11,33.3,7,.263,.582
Yohel Pozo RHB,Batting Ninth ​,="2-15",.133,.333,0.200,1,0,0,1,20.0,0,.133,.466
Jeremiah Jackson RHB,Batting Ninth ​,="21-85",.247,.376,0.129,2,5,0,14,19.8,3,.267,.643
Jackson Holliday LHB,Batting Ninth ​,="19-71",.268,.437,0.169,3,3,0,11,20.3,7,.329,.766
