Matchup,BAL @ NYM
Pitcher,Sean Manaea
Pitcher Team,NYM
Opposing Team,BAL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,16.1,1.53,="22-68",.324,.676,0.352,6,4,1,10,21.9,3,.370,1.046
Batting Second,15.0,1.73,="19-63",.302,.603,0.301,4,3,2,8,18.3,7,.380,.983
Batting Third,15.2,1.15,="12-59",.203,.458,0.255,4,3,0,14,20.9,6,.299,.757
Batting Fourth,15.2,1.15,="16-61",.262,.410,0.148,2,3,0,8,21.2,2,.297,.707
Batting Fifth,16.2,1.02,="12-59",.203,.288,0.085,1,2,0,6,27.3,5,.288,.576
Batting Sixth,15.0,1.40,="17-58",.293,.534,0.241,1,5,3,7,23.1,4,.344,.878
Batting Seventh,14.0,1.14,="12-55",.218,.345,0.127,1,4,0,5,23.3,4,.283,.628
Batting Eighth,11.1,1.85,="14-47",.298,.340,0.042,0,2,0,6,19.3,7,.404,.744
Batting Ninth,13.0,1.31,="14-47",.298,.553,0.255,2,4,1,13,19.3,3,.339,.892

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jackson Holliday LHB,Batting First ​,="18-72",.250,.347,0.097,1,4,0,7,20.0,2,.267,.614
Gunnar Henderson LHB,Batting Second ​,="55-247",.223,.413,0.190,12,9,1,29,22.1,23,.301,.714
Pete Alonso RHB,Batting Fourth ​,="63-258",.244,.469,0.225,16,10,0,49,23.8,35,.339,.808
Samuel Basallo LHB,Batting Fifth ​,="45-212",.212,.382,0.170,9,7,1,33,25.2,19,.278,.660
Leody Taveras SHB,Batting Sixth ​,="40-169",.237,.331,0.094,1,9,2,15,23.4,17,.310,.641
Dylan Beavers LHB,Batting Sixth ​,="19-77",.247,.442,0.195,4,3,0,10,25.0,7,.310,.752
Christian Encarnacion-Strand RHB,Batting Sixth ​,="11-54",.204,.407,0.203,3,2,0,8,24.6,6,.279,.686
Heston Kjerstad LHB,Batting Seventh ​,="2-6",.333,.500,0.167,0,1,0,1,66.7,0,.333,.833
Colton Cowser LHB,Batting Seventh ​,="25-133",.188,.286,0.098,4,1,0,15,31.6,18,.286,.572
Carlos Narvaez RHB,Batting Eighth ​,="20-116",.172,.250,0.078,2,3,0,7,28.9,9,.258,.508
Rece Hinds RHB,Batting Eighth ​,="6-27",.222,.333,0.111,0,3,0,5,40.6,3,.313,.646
Coby Mayo RHB,Batting Eighth ​,="19-94",.202,.319,0.117,3,2,0,11,32.0,8,.272,.591
Yohel Pozo RHB,Batting Ninth ​,="5-21",.238,.381,0.143,1,0,0,1,13.6,1,.273,.654
Jeremiah Jackson RHB,Batting Ninth ​,="21-86",.244,.372,0.128,2,5,0,14,20.7,3,.264,.636
