Matchup,BAL @ TEX
Pitcher,Jacob deGrom
Pitcher Team,TEX
Opposing Team,BAL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.1,1.50,="14-54",.259,.556,0.297,4,2,1,7,15.0,6,.333,.889
Batting Second,14.0,1.29,="12-54",.222,.426,0.204,2,5,0,5,31.7,6,.300,.726
Batting Third,13.2,1.32,="16-57",.281,.491,0.210,3,3,0,7,28.8,2,.305,.796
Batting Fourth,14.0,1.00,="11-54",.204,.315,0.111,1,3,0,4,38.6,3,.246,.561
Batting Fifth,14.1,0.77,="10-53",.189,.283,0.094,1,2,0,7,40.7,1,.204,.487
Batting Sixth,11.0,1.27,="9-41",.220,.293,0.073,1,0,0,4,25.5,5,.298,.591
Batting Seventh,11.0,1.18,="11-43",.256,.488,0.232,3,1,0,8,26.7,2,.289,.777
Batting Eighth,10.1,1.35,="11-41",.268,.366,0.098,1,1,0,4,31.8,3,.318,.684
Batting Ninth,11.2,0.69,="7-40",.175,.200,0.025,0,1,0,1,19.0,1,.195,.395

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Gunnar Henderson LHB,Batting Second ​,="55-247",.223,.413,0.190,12,9,1,29,22.1,23,.301,.714
Pete Alonso RHB,Batting Fourth ​,="62-248",.250,.472,0.222,15,10,0,47,23.8,34,.346,.818
Tyler O'Neill RHB,Batting Fifth ​,="11-61",.180,.246,0.066,1,1,0,2,23.9,9,.296,.542
Christian Encarnacion-Strand RHB,Batting Fifth ​,="2-17",.118,.118,0.000,0,0,0,1,26.3,1,.167,.285
Leody Taveras SHB,Batting Sixth ​,="36-145",.248,.338,0.090,1,8,1,14,22.3,15,.323,.661
Dylan Beavers LHB,Batting Sixth ​,="13-51",.255,.353,0.098,1,2,0,6,24.1,3,.296,.649
Colton Cowser LHB,Batting Seventh ​,="22-127",.173,.244,0.071,3,0,0,13,31.8,17,.272,.516
Carlos Narvaez RHB,Batting Eighth ​,="20-105",.190,.276,0.086,2,3,0,7,29.8,8,.263,.539
Christian Franklin RHB,Batting Eighth ​,="1-3",.333,.667,0.334,0,1,0,0,33.3,0,.333,1.000
Coby Mayo RHB,Batting Eighth ​,="18-91",.198,.319,0.121,3,2,0,11,33.3,7,.263,.582
Yohel Pozo RHB,Batting Ninth ​,="2-15",.133,.333,0.200,1,0,0,1,20.0,0,.133,.466
Jeremiah Jackson RHB,Batting Ninth ​,="21-85",.247,.376,0.129,2,5,0,14,19.8,3,.267,.643
Jackson Holliday LHB,Batting Ninth ​,="19-71",.268,.437,0.169,3,3,0,11,20.3,7,.329,.766
