Matchup,BAL @ TOR
Pitcher,Brandon Young
Pitcher Team,BAL
Opposing Team,TOR

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,5.1,1.50,="4-20",.200,.200,0.000,0,0,0,0,12.5,4,.333,.533
Batting Second,4.1,2.08,="6-19",.316,.632,0.316,2,0,0,4,4.5,3,.409,1.041
Batting Third,5.0,1.20,="5-21",.238,.286,0.048,0,1,0,1,22.7,1,.273,.559
Batting Fourth,6.0,0.83,="3-20",.150,.200,0.050,0,1,0,1,27.3,2,.227,.427
Batting Fifth,4.0,2.25,="8-19",.421,.684,0.263,1,2,0,7,19.0,1,.429,1.113
Batting Sixth,4.0,2.00,="5-17",.294,.529,0.235,1,1,0,4,14.3,3,.381,.910
Batting Seventh,5.0,1.40,="5-19",.263,.474,0.211,1,1,0,6,19.0,2,.333,.807
Batting Eighth,4.2,0.86,="3-16",.188,.250,0.062,0,1,0,1,16.7,1,.222,.472
Batting Ninth,4.2,0.64,="3-17",.176,.235,0.059,0,1,0,0,22.2,0,.222,.457

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
George Springer RHB,Batting First ​,="32-156",.205,.353,0.148,5,8,0,13,20.6,15,.283,.636
Nathan Lukes LHB,Batting First ​,="16-38",.421,.632,0.211,1,5,0,8,10.3,0,.436,1.068
Yohendrick Pinango LHB,Batting Second ​,="8-26",.308,.462,0.154,1,1,0,4,17.9,2,.357,.819
Vladimir Guerrero Jr. RHB,Batting Third ​,="55-186",.296,.382,0.086,2,10,0,21,10.6,26,.389,.771
Jesus Sanchez LHB,Batting Fourth ​,="19-75",.253,.413,0.160,3,3,0,12,17.1,3,.268,.681
Kazuma Okamoto RHB,Batting Fourth ​,="22-106",.208,.368,0.160,5,2,0,19,30.8,12,.292,.660
Daulton Varsho LHB,Batting Sixth ​,="16-64",.250,.313,0.063,0,4,0,2,14.3,6,.314,.627
Ernie Clement RHB,Batting Sixth ​,="14-59",.237,.424,0.187,3,2,0,9,10.9,4,.281,.705
Myles Straw RHB,Batting Seventh ​,="5-28",.179,.321,0.142,1,1,0,3,12.1,4,.273,.594
Charles McAdoo RHB,Batting Seventh ​,="1-4",.250,.250,0.000,0,0,0,0,0.0,0,.250,.500
Andres Gimenez LHB,Batting Eighth ​,="25-116",.216,.362,0.146,4,5,0,18,16.5,5,.270,.632
Tyler Heineman SHB,Batting Ninth ​,="7-59",.119,.169,0.050,1,0,0,3,23.9,2,.175,.344
Brandon Valenzuela SHB,Batting Ninth ​,="18-82",.220,.439,0.219,5,3,0,11,25.3,13,.326,.765
