Matchup,CHC @ MIL
Pitcher,Robert Gasser
Pitcher Team,MIL
Opposing Team,CHC

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.0,0.77,="7-45",.156,.267,0.111,1,2,0,4,22.0,3,.240,.507
Batting Second,10.2,1.31,="9-42",.214,.357,0.143,2,0,0,3,28.6,5,.327,.684
Batting Third,10.0,1.50,="12-41",.293,.366,0.073,0,3,0,3,20.0,3,.333,.699
Batting Fourth,8.2,1.96,="13-38",.342,.658,0.316,2,6,0,13,16.7,4,.405,1.063
Batting Fifth,10.0,1.00,="6-37",.162,.324,0.162,1,3,0,3,19.0,4,.262,.586
Batting Sixth,9.0,1.11,="8-35",.229,.400,0.171,1,1,1,1,20.5,2,.308,.708
Batting Seventh,7.2,1.96,="11-33",.333,.667,0.334,3,2,0,8,23.7,4,.421,1.088
Batting Eighth,9.2,0.72,="7-35",.200,.314,0.114,1,1,0,1,19.4,0,.200,.514
Batting Ninth,7.2,1.83,="12-33",.364,.576,0.212,2,1,0,5,25.0,2,.400,.976

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Pete Crow-Armstrong LHB,Batting First ​,="108-355",.304,.676,0.372,33,23,5,72,26.8,57,.405,1.081
Seiya Suzuki RHB,Batting Second ​,="51-187",.273,.497,0.224,9,15,0,33,21.7,38,.398,.895
Alex Bregman RHB,Batting Third ​,="66-225",.293,.547,0.254,15,12,0,47,14.2,24,.368,.915
Michael Busch LHB,Batting Third ​,="55-241",.228,.382,0.154,10,7,0,33,23.7,35,.336,.718
Ian Happ SHB,Batting Fifth ​,="53-215",.247,.479,0.232,11,15,1,36,27.5,25,.333,.812
Nico Hoerner RHB,Batting Sixth ​,="68-227",.300,.374,0.074,2,9,1,25,11.2,8,.322,.696
Carson Kelly RHB,Batting Seventh ​,="22-89",.247,.360,0.113,2,4,0,18,18.8,11,.337,.697
Michael Conforto LHB,Batting Seventh ​,="14-66",.212,.409,0.197,4,1,0,9,32.4,7,.284,.693
Gabriel Arias RHB,Batting Seventh ​,="13-57",.228,.246,0.018,0,1,0,3,40.0,3,.267,.513
Pedro Ramirez SHB,Batting Seventh ​,="23-98",.235,.398,0.163,3,5,1,18,23.9,8,.296,.694
Matt Shaw RHB,Batting Seventh ​,="14-43",.326,.721,0.395,4,1,2,10,20.0,2,.356,1.077
BJ Murray Jr. SHB,Batting Eighth ​,="1-4",.250,.250,0.000,0,0,0,0,25.0,0,.250,.500
Tyrone Taylor RHB,Batting Ninth ​,="13-47",.277,.362,0.085,0,4,0,2,9.8,2,.320,.682
Miguel Amaya RHB,Batting Ninth ​,="29-98",.296,.480,0.184,4,6,0,15,23.0,11,.384,.864
