Matchup,CHC @ SF
Pitcher,Trevor McDonald
Pitcher Team,SF
Opposing Team,CHC

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,5.0,1.00,="4-19",.211,.211,0.000,0,0,0,0,23.8,1,.286,.497
Batting Second,4.1,1.38,="4-17",.235,.235,0.000,0,0,0,1,25.0,2,.350,.585
Batting Third,4.1,1.62,="6-17",.353,.647,0.294,1,2,0,1,30.0,1,.450,1.097
Batting Fourth,5.0,1.00,="4-18",.222,.222,0.000,0,0,0,1,10.5,1,.263,.485
Batting Fifth,4.1,1.15,="3-16",.188,.500,0.312,1,0,1,4,27.8,2,.278,.778
Batting Sixth,4.1,1.15,="5-17",.294,.588,0.294,1,2,0,5,16.7,0,.278,.866
Batting Seventh,4.1,0.92,="1-14",.071,.071,0.000,0,0,0,1,23.5,3,.235,.306
Batting Eighth,3.2,1.64,="4-15",.267,.400,0.133,0,2,0,0,17.6,2,.353,.753
Batting Ninth,3.2,0.82,="3-14",.214,.214,0.000,0,0,0,2,26.7,0,.267,.481

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Nico Hoerner RHB,Batting First ​,="51-196",.260,.383,0.123,4,12,0,28,6.3,23,.341,.724
Michael Busch LHB,Batting Second ​,="14-73",.192,.288,0.096,1,4,0,5,25.0,9,.298,.586
Alex Bregman RHB,Batting Third ​,="34-137",.248,.358,0.110,3,6,0,13,18.2,15,.325,.683
Ian Happ SHB,Batting Fourth ​,="26-121",.215,.372,0.157,4,5,1,10,31.8,27,.364,.736
Seiya Suzuki RHB,Batting Fifth ​,="26-104",.250,.452,0.202,5,6,0,16,26.9,13,.336,.788
Michael Conforto LHB,Batting Sixth ​,="8-23",.348,.783,0.435,2,4,0,7,17.9,4,.429,1.212
Carson Kelly RHB,Batting Seventh ​,="16-55",.291,.382,0.091,1,2,0,11,18.5,9,.400,.782
Moisés Ballesteros LHB,Batting Seventh ​,="10-54",.185,.204,0.019,0,1,0,4,24.6,7,.279,.483
Pete Crow-Armstrong LHB,Batting Eighth ​,="24-106",.226,.443,0.217,5,4,2,17,24.8,10,.322,.765
Pedro Ramirez SHB,Batting Eighth ​,="1-14",.071,.071,0.000,0,0,0,0,6.3,2,.188,.259
Dansby Swanson RHB,Batting Ninth ​,="19-113",.168,.301,0.133,3,4,1,13,22.7,16,.275,.576
Miguel Amaya RHB,Batting Ninth ​,="13-35",.371,.686,0.315,3,2,0,9,13.6,7,.500,1.186
Matt Shaw RHB,Batting Ninth ​,="7-31",.226,.355,0.129,0,4,0,3,18.2,2,.273,.628
