Matchup,CIN @ ATL
Pitcher,Chris Sale
Pitcher Team,ATL
Opposing Team,CIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,18.0,1.39,="19-73",.260,.342,0.082,1,3,0,5,19.0,6,.316,.658
Batting Second,17.0,1.47,="22-73",.301,.356,0.055,0,4,0,2,26.9,3,.346,.702
Batting Third,18.1,1.25,="21-71",.296,.479,0.183,3,4,0,7,29.3,2,.311,.790
Batting Fourth,19.0,0.84,="11-67",.164,.224,0.060,1,1,0,4,24.3,5,.230,.454
Batting Fifth,19.1,0.67,="10-68",.147,.279,0.132,2,3,0,7,43.8,3,.205,.484
Batting Sixth,17.0,0.94,="14-63",.222,.238,0.016,0,1,0,2,30.9,2,.279,.517
Batting Seventh,17.2,0.74,="8-58",.138,.224,0.086,1,0,1,7,39.4,5,.242,.466
Batting Eighth,15.0,1.00,="11-54",.204,.296,0.092,1,2,0,3,30.5,4,.271,.567
Batting Ninth,15.1,0.65,="9-52",.173,.231,0.058,0,3,0,4,30.9,1,.218,.449

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Dane Myers RHB,Batting First ​,="21-96",.219,.406,0.187,5,3,0,10,27.7,15,.330,.736
Elly De La Cruz SHB,Batting First ​,="52-209",.249,.450,0.201,9,9,3,20,25.4,30,.342,.792
Carlos Jorge LHB,Batting First ​,="2-17",.118,.235,0.117,0,0,1,0,36.8,2,.211,.446
Héctor Rodríguez LHB,Batting First ​,="11-36",.306,.583,0.277,3,1,0,4,27.0,1,.324,.907
Matt McLain RHB,Batting Second ​,="23-119",.193,.294,0.101,2,6,0,9,27.1,19,.314,.608
Sal Stewart RHB,Batting Second ​,="58-208",.279,.514,0.235,14,7,0,43,22.4,13,.325,.839
JJ Bleday LHB,Batting Third ​,="40-182",.220,.407,0.187,9,5,1,17,23.1,29,.330,.737
Tyler Stephenson RHB,Batting Fourth ​,="29-109",.266,.459,0.193,5,6,0,21,28.1,15,.359,.818
Eugenio Suarez RHB,Batting Fifth ​,="52-242",.215,.430,0.215,14,10,0,44,31.0,29,.307,.737
Oswaldo Cabrera SHB,Batting Seventh ​,="0-6",.000,.000,0.000,0,0,0,0,42.9,0,.000,.000
Juan Brito SHB,Batting Seventh ​,="11-48",.229,.438,0.209,2,4,0,10,30.9,5,.309,.747
Jose Trevino RHB,Batting Eighth ​,="22-93",.237,.387,0.150,4,2,0,14,13.4,1,.242,.629
Will Banfield RHB,Batting Eighth ​,="1-6",.167,.167,0.000,0,0,0,0,16.7,0,.167,.334
Ke'Bryan Hayes RHB,Batting Ninth ​,="29-196",.148,.230,0.082,4,2,1,8,19.1,11,.201,.431
