Matchup,CIN @ CWS
Pitcher,Sean Burke
Pitcher Team,CWS
Opposing Team,CIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,15.0,1.33,="13-56",.232,.357,0.125,1,4,0,1,18.2,7,.328,.685
Batting Second,16.1,1.10,="10-58",.172,.259,0.087,1,2,0,4,27.3,8,.273,.532
Batting Third,16.0,1.06,="16-60",.267,.517,0.250,3,4,1,11,28.6,1,.270,.787
Batting Fourth,15.1,1.17,="12-57",.211,.316,0.105,1,1,1,4,29.7,6,.297,.613
Batting Fifth,13.1,1.50,="18-56",.321,.536,0.215,3,3,0,10,20.0,2,.367,.903
Batting Sixth,15.0,0.80,="7-50",.140,.240,0.100,1,2,0,3,32.7,5,.218,.458
Batting Seventh,12.0,1.50,="12-47",.255,.404,0.149,1,4,0,6,37.7,6,.340,.744
Batting Eighth,12.0,1.00,="9-45",.200,.356,0.156,2,1,0,3,26.0,3,.280,.636
Batting Ninth,12.2,0.71,="8-44",.182,.318,0.136,1,1,1,2,29.2,1,.234,.552

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Dane Myers RHB,Batting First ​,="10-46",.217,.435,0.218,3,1,0,6,31.6,10,.368,.803
TJ Friedl LHB,Batting First ​,="26-137",.190,.277,0.087,2,6,0,7,22.6,12,.270,.547
Matt McLain RHB,Batting Second ​,="23-118",.195,.297,0.102,2,6,0,9,27.3,19,.317,.614
JJ Bleday LHB,Batting Third ​,="29-140",.207,.400,0.193,8,3,0,13,25.0,23,.323,.723
Elly De La Cruz SHB,Batting Third ​,="49-168",.292,.518,0.226,10,8,0,29,28.0,17,.355,.873
Sal Stewart RHB,Batting Fourth ​,="56-203",.276,.502,0.226,11,13,0,37,20.5,28,.363,.865
Eugenio Suarez RHB,Batting Fifth ​,="38-177",.215,.412,0.197,9,8,0,27,34.2,17,.286,.698
Noelvi Marte RHB,Batting Sixth ​,="11-64",.172,.359,0.187,3,3,0,9,21.2,2,.197,.556
Héctor Rodríguez LHB,Batting Sixth ​,="1-7",.143,.286,0.143,0,1,0,0,0.0,0,.143,.429
Tyler Stephenson RHB,Batting Seventh ​,="22-100",.220,.390,0.170,4,5,0,15,30.4,13,.313,.703
Jose Trevino RHB,Batting Eighth ​,="16-62",.258,.435,0.177,3,2,0,9,15.4,1,.270,.705
Ke'Bryan Hayes RHB,Batting Ninth ​,="22-152",.145,.250,0.105,4,2,1,7,18.4,9,.202,.452
