Matchup,CIN @ MIL
Pitcher,Jacob Misiorowski
Pitcher Team,MIL
Opposing Team,CIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,12.0,1.00,="7-43",.163,.302,0.139,2,0,0,3,43.8,5,.250,.552
Batting Second,12.1,0.65,="6-44",.136,.205,0.069,1,0,0,2,47.9,2,.208,.413
Batting Third,11.2,0.86,="4-39",.103,.128,0.025,0,1,0,0,21.7,6,.239,.367
Batting Fourth,11.1,0.79,="6-40",.150,.250,0.100,1,1,0,1,48.9,3,.244,.494
Batting Fifth,11.2,0.69,="7-41",.171,.195,0.024,0,1,0,2,31.0,1,.190,.385
Batting Sixth,11.0,0.82,="5-35",.143,.143,0.000,0,0,0,3,27.5,4,.225,.368
Batting Seventh,9.2,0.83,="6-36",.167,.167,0.000,0,0,0,0,44.7,2,.211,.378
Batting Eighth,8.2,0.92,="6-32",.188,.313,0.125,1,1,0,3,45.7,2,.257,.570
Batting Ninth,10.2,0.38,="2-31",.065,.065,0.000,0,0,0,0,38.2,2,.147,.212

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
TJ Friedl LHB,Batting First ​,="26-137",.190,.277,0.087,2,6,0,7,22.6,12,.270,.547
JJ Bleday LHB,Batting Second ​,="19-99",.192,.444,0.252,7,4,0,14,22.6,13,.289,.733
Matt McLain RHB,Batting Second ​,="23-118",.195,.297,0.102,2,6,0,9,27.3,19,.317,.614
Elly De La Cruz SHB,Batting Third ​,="49-168",.292,.518,0.226,10,8,0,29,28.0,17,.355,.873
Sal Stewart RHB,Batting Fourth ​,="56-203",.276,.502,0.226,11,13,0,37,20.5,28,.363,.865
Eugenio Suarez RHB,Batting Fifth ​,="31-144",.215,.382,0.167,6,6,0,22,32.3,13,.278,.660
Nathaniel Lowe LHB,Batting Fifth ​,="17-69",.246,.536,0.290,5,5,0,10,28.9,7,.316,.852
Spencer Steer RHB,Batting Sixth ​,="21-104",.202,.346,0.144,4,3,0,7,28.3,12,.300,.646
Ivan Johnson SHB,Batting Seventh ​,="0-3",.000,.000,0.000,0,0,0,0,0.0,0,.000,.000
Noelvi Marte RHB,Batting Seventh ​,="7-35",.200,.429,0.229,2,2,0,3,27.5,5,.300,.729
Jose Trevino RHB,Batting Eighth ​,="10-48",.208,.250,0.042,0,2,0,4,13.7,1,.224,.474
Tyler Stephenson RHB,Batting Eighth ​,="27-96",.281,.448,0.167,4,4,0,12,18.0,14,.369,.817
Edwin Arroyo SHB,Batting Ninth ​,="16-52",.308,.365,0.057,0,3,0,3,17.2,3,.351,.716
