Matchup,CIN @ MIL
Pitcher,Nick Lodolo
Pitcher Team,CIN
Opposing Team,MIL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,4.2,2.14,="7-21",.333,.571,0.238,1,2,0,3,22.2,3,.481,1.052
Batting Second,4.0,3.50,="11-21",.524,.667,0.143,1,0,0,2,15.4,3,.615,1.282
Batting Third,6.0,1.50,="7-24",.292,.625,0.333,2,2,0,3,30.8,2,.346,.971
Batting Fourth,5.0,2.00,="7-19",.368,.632,0.264,1,2,0,4,4.0,3,.440,1.072
Batting Fifth,6.0,1.33,="4-18",.222,.222,0.000,0,0,0,3,8.3,4,.333,.555
Batting Sixth,6.0,1.17,="6-20",.300,.400,0.100,0,0,1,3,16.7,1,.304,.704
Batting Seventh,4.0,2.00,="6-19",.316,.737,0.421,2,2,0,7,18.2,2,.409,1.146
Batting Eighth,5.2,0.53,="3-18",.167,.167,0.000,0,0,0,1,15.8,0,.211,.378
Batting Ninth,5.1,0.38,="2-17",.118,.294,0.176,1,0,0,3,33.3,0,.118,.412

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Christian Yelich LHB,Batting First ​,="29-110",.264,.345,0.081,1,6,0,12,28.0,12,.344,.689
Jackson Chourio RHB,Batting Second ​,="36-113",.319,.602,0.283,8,8,0,24,19.0,11,.381,.983
William Contreras RHB,Batting Third ​,="42-116",.362,.483,0.121,3,5,0,19,14.1,11,.414,.897
Brice Turang LHB,Batting Third ​,="35-128",.273,.492,0.219,6,6,2,22,29.1,18,.361,.853
Gary Sanchez RHB,Batting Fourth ​,="13-61",.213,.393,0.180,2,3,1,8,25.0,13,.355,.748
Jake Bauers LHB,Batting Fifth ​,="39-143",.273,.559,0.286,11,6,1,35,23.0,33,.416,.975
Andrew Vaughn RHB,Batting Sixth ​,="15-45",.333,.556,0.223,2,4,0,12,10.4,2,.375,.931
Garrett Mitchell LHB,Batting Seventh ​,="12-64",.188,.375,0.187,3,3,0,8,41.7,7,.264,.639
Sal Frelick LHB,Batting Seventh ​,="29-117",.248,.342,0.094,2,5,0,18,5.9,14,.328,.670
Blake Perkins SHB,Batting Eighth ​,="4-31",.129,.161,0.032,0,1,0,3,22.2,5,.250,.411
Cooper Pratt RHB,Batting Eighth ​,="8-35",.229,.257,0.028,0,1,0,2,22.0,5,.317,.574
David Hamilton LHB,Batting Ninth ​,="28-125",.224,.344,0.120,3,2,2,8,24.6,12,.297,.641
Joey Ortiz RHB,Batting Ninth ​,="22-114",.193,.246,0.053,1,3,0,11,19.4,11,.260,.506
