Matchup,CIN @ STL
Pitcher,Kyle Leahy
Pitcher Team,STL
Opposing Team,CIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,10.2,2.25,="16-46",.348,.609,0.261,2,4,1,5,21.8,8,.455,1.064
Batting Second,12.1,1.30,="12-49",.245,.510,0.265,3,4,0,5,17.0,4,.302,.812
Batting Third,13.0,0.92,="10-48",.208,.208,0.000,0,0,0,4,26.0,2,.240,.448
Batting Fourth,11.0,1.36,="10-41",.244,.512,0.268,2,5,0,10,14.6,5,.333,.845
Batting Fifth,10.2,1.50,="12-42",.286,.405,0.119,1,2,0,3,10.9,4,.348,.753
Batting Sixth,11.0,0.73,="8-41",.195,.244,0.049,0,2,0,3,23.3,0,.214,.458
Batting Seventh,7.2,2.35,="13-35",.371,.514,0.143,1,2,0,2,17.5,5,.450,.964
Batting Eighth,7.2,1.96,="12-32",.375,.563,0.188,1,3,0,3,10.8,3,.459,1.022
Batting Ninth,10.1,0.48,="3-32",.094,.094,0.000,0,0,0,0,33.3,2,.147,.241

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Dane Myers RHB,Batting First ​,="10-46",.217,.435,0.218,3,1,0,6,31.6,10,.368,.803
TJ Friedl LHB,Batting First ​,="26-137",.190,.277,0.087,2,6,0,7,22.6,12,.270,.547
JJ Bleday LHB,Batting Third ​,="22-101",.218,.386,0.168,5,2,0,10,23.3,14,.319,.705
Elly De La Cruz SHB,Batting Third ​,="49-168",.292,.518,0.226,10,8,0,29,28.0,17,.355,.873
Sal Stewart RHB,Batting Fourth ​,="56-203",.276,.502,0.226,11,13,0,37,20.5,28,.363,.865
Eugenio Suarez RHB,Batting Fifth ​,="35-166",.211,.398,0.187,8,7,0,25,34.8,14,.271,.669
Nathaniel Lowe LHB,Batting Fifth ​,="24-103",.233,.515,0.282,8,5,0,15,29.7,8,.288,.803
Spencer Steer RHB,Batting Sixth ​,="23-114",.202,.333,0.131,4,3,0,7,27.3,14,.303,.636
Noelvi Marte RHB,Batting Sixth ​,="10-57",.175,.386,0.211,3,3,0,8,20.3,2,.203,.589
Tyler Stephenson RHB,Batting Seventh ​,="22-100",.220,.390,0.170,4,5,0,15,30.4,13,.313,.703
Jose Trevino RHB,Batting Eighth ​,="16-56",.286,.482,0.196,3,2,0,9,11.9,1,.298,.780
Ke'Bryan Hayes RHB,Batting Ninth ​,="20-137",.146,.219,0.073,2,2,1,5,16.4,8,.199,.418
Edwin Arroyo SHB,Batting Ninth ​,="20-68",.294,.338,0.044,0,3,0,3,14.9,3,.329,.667
