Matchup,CLE @ COL
Pitcher,Gabriel Hughes
Pitcher Team,COL
Opposing Team,CLE

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,5.0,1.20,="4-19",.211,.263,0.052,0,1,0,2,18.2,2,.273,.536
Batting Second,4.2,1.71,="6-19",.316,.632,0.316,1,3,0,6,22.7,2,.381,1.013
Batting Third,4.2,2.14,="7-19",.368,.526,0.158,0,1,1,1,27.3,3,.455,.981
Batting Fourth,3.0,2.67,="7-16",.438,.688,0.250,1,1,0,5,10.5,1,.526,1.214
Batting Fifth,2.2,3.00,="5-13",.385,.615,0.230,0,3,0,1,31.3,3,.500,1.115
Batting Sixth,4.2,0.43,="2-16",.125,.313,0.188,1,0,0,5,18.8,0,.125,.438
Batting Seventh,3.2,1.09,="3-14",.214,.214,0.000,0,0,0,4,12.5,1,.250,.464
Batting Eighth,4.2,0.64,="2-15",.133,.267,0.134,0,0,1,0,25.0,1,.188,.455
Batting Ninth,4.0,0.75,="3-15",.200,.200,0.000,0,0,0,0,13.3,0,.200,.400

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Steven Kwan LHB,Batting First ​,="70-278",.252,.313,0.061,2,9,1,19,10.6,46,.362,.675
Travis Bazzana LHB,Batting First ​,="35-156",.224,.449,0.225,6,13,2,21,23.9,17,.301,.750
Jose Ramirez SHB,Batting Third ​,="42-196",.214,.352,0.138,6,9,0,20,13.9,39,.345,.697
Chase DeLauter LHB,Batting Third ​,="52-196",.265,.398,0.133,6,8,0,27,17.0,20,.330,.728
Nathaniel Lowe LHB,Batting Fifth ​,="39-137",.285,.540,0.255,8,11,0,21,26.4,11,.338,.878
David Fry RHB,Batting Fifth ​,="9-48",.188,.229,0.041,0,2,0,2,33.3,6,.278,.507
Jo Adell RHB,Batting Sixth ​,="43-168",.256,.405,0.149,6,5,1,21,24.3,5,.294,.699
Angel Martinez SHB,Batting Sixth ​,="13-80",.163,.263,0.100,1,5,0,10,23.0,3,.200,.463
Austin Hedges RHB,Batting Eighth ​,="41-152",.270,.395,0.125,4,7,0,19,16.9,18,.347,.742
Patrick Bailey SHB,Batting Eighth ​,="37-194",.191,.330,0.139,6,7,1,23,22.5,15,.245,.575
Brayan Rocchio SHB,Batting Ninth ​,="63-236",.267,.403,0.136,6,10,2,33,13.1,20,.338,.741
Petey Halpin LHB,Batting Ninth ​,="16-78",.205,.359,0.154,3,1,1,6,13.8,3,.250,.609
Angel Genao SHB,Batting Ninth ​,="7-19",.368,.526,0.158,1,0,0,2,9.5,1,.429,.955
