Matchup,CLE @ CWS
Pitcher,Erick Fedde
Pitcher Team,CWS
Opposing Team,CLE

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,9.0,1.11,="5-31",.161,.387,0.226,2,1,0,3,10.5,5,.289,.676
Batting Second,6.1,2.84,="13-30",.433,1.100,0.667,6,0,1,9,11.4,5,.514,1.614
Batting Third,8.0,1.25,="6-29",.207,.483,0.276,2,2,0,6,14.7,4,.294,.777
Batting Fourth,6.2,1.80,="10-30",.333,.600,0.267,2,2,0,4,12.5,2,.375,.975
Batting Fifth,8.1,1.08,="8-33",.242,.364,0.122,1,1,0,2,20.0,1,.265,.629
Batting Sixth,7.0,1.71,="8-29",.276,.310,0.034,0,1,0,5,17.6,4,.382,.692
Batting Seventh,7.2,1.70,="11-34",.324,.471,0.147,1,2,0,2,22.2,2,.361,.832
Batting Eighth,9.1,0.75,="5-30",.167,.167,0.000,0,0,0,1,18.2,2,.212,.379
Batting Ninth,7.2,0.91,="5-27",.185,.222,0.037,0,1,0,0,12.9,2,.267,.489

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Steven Kwan LHB,Batting First ​,="32-162",.198,.253,0.055,1,6,0,10,11.1,23,.303,.556
Travis Bazzana LHB,Batting First ​,="25-92",.272,.565,0.293,5,10,1,15,19.2,11,.346,.911
Rhys Hoskins RHB,Batting Fourth ​,="10-95",.105,.232,0.127,3,3,0,12,29.9,17,.248,.480
Kyle Manzardo LHB,Batting Fourth ​,="36-164",.220,.360,0.140,6,5,0,20,34.8,17,.299,.659
David Fry RHB,Batting Fifth ​,="9-40",.225,.275,0.050,0,2,0,2,35.6,5,.311,.586
Daniel Schneemann LHB,Batting Fifth ​,="11-68",.162,.221,0.059,1,1,0,8,34.2,5,.219,.440
Kahlil Watson LHB,Batting Sixth ​,="2-10",.200,.500,0.300,1,0,0,1,50.0,0,.200,.700
Stuart Fairchild RHB,Batting Seventh ​,="2-9",.222,.222,0.000,0,0,0,0,54.5,1,.364,.586
Austin Hedges RHB,Batting Eighth ​,="27-98",.276,.378,0.102,1,7,0,9,16.8,10,.345,.723
Patrick Bailey SHB,Batting Eighth ​,="18-94",.191,.277,0.086,1,3,1,6,20.6,7,.245,.522
Gabriel Arias RHB,Batting Eighth ​,="6-23",.261,.565,0.304,2,1,0,3,44.0,2,.320,.885
Brayan Rocchio SHB,Batting Ninth ​,="56-202",.277,.416,0.139,5,9,2,31,12.2,17,.346,.762
Petey Halpin LHB,Batting Ninth ​,="5-26",.192,.269,0.077,0,0,1,1,27.6,1,.222,.491
