Matchup,CLE @ NYY
Pitcher,Cam Schlittler
Pitcher Team,NYY
Opposing Team,CLE

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.1,1.20,="9-35",.257,.314,0.057,0,2,0,3,16.7,1,.278,.592
Batting Second,10.0,0.60,="5-34",.147,.235,0.088,1,0,0,1,28.6,1,.171,.406
Batting Third,8.2,0.92,="8-34",.235,.412,0.177,1,3,0,3,41.2,0,.235,.647
Batting Fourth,9.2,0.31,="2-31",.065,.065,0.000,0,0,0,1,40.6,1,.094,.159
Batting Fifth,9.1,0.32,="1-29",.034,.034,0.000,0,0,0,0,41.9,2,.097,.131
Batting Sixth,6.2,1.35,="7-27",.259,.407,0.148,0,2,1,0,13.8,2,.310,.717
Batting Seventh,5.0,2.40,="8-23",.348,.391,0.043,0,1,0,3,25.9,4,.444,.835
Batting Eighth,6.2,0.90,="5-24",.208,.208,0.000,0,0,0,0,19.2,1,.240,.448
Batting Ninth,7.1,0.55,="3-23",.130,.261,0.131,1,0,0,2,36.0,1,.167,.428

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Travis Bazzana LHB,Batting First ​,="11-32",.344,.656,0.312,1,7,0,2,20.6,2,.382,1.038
Chase DeLauter LHB,Batting Second ​,="32-120",.267,.492,0.225,6,7,1,21,10.3,16,.353,.845
Jose Ramirez SHB,Batting Third ​,="34-162",.210,.370,0.160,6,8,0,16,14.5,31,.337,.707
Rhys Hoskins RHB,Batting Fourth ​,="8-65",.123,.262,0.139,2,3,0,9,26.2,15,.286,.548
Kyle Manzardo LHB,Batting Fourth ​,="27-137",.197,.299,0.102,4,2,0,15,37.5,12,.270,.569
David Fry RHB,Batting Fifth ​,="9-36",.250,.306,0.056,0,2,0,2,35.0,4,.325,.631
Daniel Schneemann LHB,Batting Sixth ​,="10-50",.200,.280,0.080,1,1,0,6,34.5,8,.310,.590
Angel Martinez SHB,Batting Sixth ​,="6-48",.125,.188,0.063,0,3,0,7,22.6,2,.157,.345
Stuart Fairchild RHB,Batting Seventh ​,="0-3",.000,.000,0.000,0,0,0,0,100.0,0,.000,.000
Austin Hedges RHB,Batting Eighth ​,="19-78",.244,.333,0.089,1,4,0,6,18.9,9,.318,.651
Patrick Bailey SHB,Batting Eighth ​,="8-62",.129,.210,0.081,1,2,0,5,16.2,5,.191,.401
Brayan Rocchio SHB,Batting Ninth ​,="50-167",.299,.437,0.138,4,9,1,26,11.1,15,.369,.806
Petey Halpin LHB,Batting Ninth ​,="2-15",.133,.133,0.000,0,0,0,1,18.8,1,.188,.321
