Matchup,COL @ NYY
Pitcher,Max Fried
Pitcher Team,NYY
Opposing Team,COL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,11.2,1.37,="11-44",.250,.273,0.023,0,1,0,2,24.5,5,.327,.600
Batting Second,13.1,0.75,="5-43",.116,.116,0.000,0,0,0,0,20.8,5,.208,.324
Batting Third,12.0,1.00,="7-39",.179,.205,0.026,0,1,0,2,32.6,5,.261,.466
Batting Fourth,9.1,1.71,="11-38",.289,.447,0.158,1,3,0,6,27.9,5,.372,.819
Batting Fifth,11.1,0.53,="4-35",.114,.143,0.029,0,1,0,2,12.5,2,.179,.322
Batting Sixth,8.2,1.62,="9-34",.265,.382,0.117,0,2,1,3,23.1,5,.359,.741
Batting Seventh,10.0,0.80,="7-34",.206,.441,0.235,2,2,0,7,25.0,1,.250,.691
Batting Eighth,9.0,0.78,="7-34",.206,.235,0.029,0,1,0,1,23.5,0,.206,.441
Batting Ninth,9.2,0.62,="5-31",.161,.161,0.000,0,0,0,2,21.2,1,.188,.349

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jake McCarthy LHB,Batting First ​,="104-361",.288,.488,0.200,13,23,5,49,15.7,20,.330,.818
Mickey Moniak LHB,Batting Second ​,="51-202",.252,.540,0.288,14,12,2,36,23.9,9,.286,.826
Cole Carrigg SHB,Batting Second ​,="14-78",.179,.256,0.077,1,3,0,7,26.1,8,.273,.529
Hunter Goodman RHB,Batting Third ​,="51-229",.223,.493,0.270,17,11,0,35,35.2,14,.271,.764
TJ Rumfield LHB,Batting Fourth ​,="68-209",.325,.512,0.187,8,13,1,24,13.9,33,.424,.936
Troy Johnston LHB,Batting Fifth ​,="33-120",.275,.342,0.067,0,6,1,15,14.2,15,.369,.711
Connor Norby RHB,Batting Sixth ​,="18-70",.257,.343,0.086,1,3,0,4,25.9,8,.358,.701
Jordan Beck RHB,Batting Sixth ​,="7-34",.206,.324,0.118,0,2,1,5,40.0,1,.229,.553
Adael Amador SHB,Batting Seventh ​,="5-15",.333,.667,0.334,1,2,0,4,23.5,2,.412,1.079
Vimael Machín LHB,Batting Eighth ​,="0-2",.000,.000,0.000,0,0,0,0,100.0,0,.000,.000
Kyle Karros RHB,Batting Eighth ​,="25-89",.281,.494,0.213,3,8,1,10,19.4,18,.398,.892
Brett Sullivan LHB,Batting Ninth ​,="17-75",.227,.373,0.146,3,2,0,8,22.8,2,.253,.626
Ezequiel Tovar RHB,Batting Ninth ​,="29-121",.240,.380,0.140,4,5,0,15,22.4,8,.278,.658
Zac Veen LHB,Batting Ninth ​,="3-12",.250,.417,0.167,0,0,1,1,40.0,2,.357,.774
