Matchup,COL @ STL
Pitcher,Kyle Freeland
Pitcher Team,COL
Opposing Team,STL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,13.2,1.46,="14-56",.250,.357,0.107,1,3,0,4,12.7,6,.333,.690
Batting Second,13.2,1.61,="20-59",.339,.525,0.186,2,3,1,8,24.2,2,.371,.896
Batting Third,14.0,1.36,="17-56",.304,.518,0.214,3,3,0,10,8.3,2,.333,.851
Batting Fourth,12.0,1.83,="16-52",.308,.519,0.211,1,6,1,5,29.3,6,.379,.898
Batting Fifth,11.0,1.73,="16-49",.327,.633,0.306,3,4,1,13,15.1,3,.377,1.010
Batting Sixth,12.0,1.33,="14-48",.292,.563,0.271,3,2,1,9,23.5,2,.314,.877
Batting Seventh,12.1,0.73,="9-47",.191,.426,0.235,3,2,0,9,14.6,0,.208,.634
Batting Eighth,10.0,1.60,="14-43",.326,.698,0.372,4,4,0,10,17.4,2,.348,1.046
Batting Ninth,9.1,1.93,="18-45",.400,.667,0.267,1,7,1,6,28.9,0,.400,1.067

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
JJ Wetherholt LHB,Batting First ​,="105-424",.248,.387,0.139,16,11,0,43,15.2,55,.352,.739
Ivan Herrera RHB,Batting Second ​,="92-382",.241,.372,0.131,11,15,1,42,17.4,51,.363,.735
Alec Burleson LHB,Batting Third ​,="101-346",.292,.512,0.220,17,23,1,55,15.8,35,.363,.875
Nelson Velazquez RHB,Batting Fourth ​,="12-47",.255,.532,0.277,3,4,0,10,24.1,5,.333,.865
Jordan Walker RHB,Batting Fourth ​,="74-264",.280,.511,0.231,16,13,0,57,26.6,20,.332,.843
Everson Pereira RHB,Batting Fifth ​,="3-30",.100,.167,0.067,0,2,0,2,29.4,2,.176,.343
Masyn Winn RHB,Batting Sixth ​,="74-294",.252,.344,0.092,4,11,2,39,20.2,33,.335,.679
Bryan Torres LHB,Batting Seventh ​,="12-46",.261,.413,0.152,1,0,2,5,14.0,3,.306,.719
Jose Fermin RHB,Batting Seventh ​,="16-66",.242,.348,0.106,1,4,0,7,12.5,4,.292,.640
Nathan Church LHB,Batting Seventh ​,="43-177",.243,.379,0.136,6,6,0,24,15.3,9,.279,.658
Pedro Pages RHB,Batting Eighth ​,="29-121",.240,.364,0.124,3,6,0,9,26.5,5,.279,.643
Blaze Jordan RHB,Batting Eighth ​,="19-89",.213,.270,0.057,0,5,0,16,16.5,4,.237,.507
César Prieto LHB,Batting Eighth ​,="0-10",.000,.000,0.000,0,0,0,0,20.0,0,.000,.000
Jimmy Crooks LHB,Batting Ninth ​,="9-44",.205,.432,0.227,3,1,0,5,41.3,2,.239,.671
