Matchup,CWS @ KC
Pitcher,Daniel Lynch IV
Pitcher Team,KC
Opposing Team,CWS

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.1,1.80,="11-36",.306,.472,0.166,1,1,1,7,11.9,4,.381,.853
Batting Second,12.2,0.55,="3-40",.075,.100,0.025,0,1,0,3,22.7,4,.159,.259
Batting Third,10.2,1.13,="11-42",.262,.476,0.214,2,3,0,9,14.0,1,.279,.755
Batting Fourth,7.1,1.50,="9-31",.290,.484,0.194,1,3,0,3,9.1,2,.333,.817
Batting Fifth,7.2,1.17,="8-30",.267,.500,0.233,2,1,0,5,22.6,1,.290,.790
Batting Sixth,7.1,1.23,="6-28",.214,.321,0.107,0,3,0,1,24.2,3,.333,.654
Batting Seventh,8.1,0.48,="4-30",.133,.200,0.067,0,2,0,3,33.3,0,.133,.333
Batting Eighth,7.1,0.82,="4-25",.160,.200,0.040,0,1,0,0,3.7,2,.222,.422
Batting Ninth,7.0,1.29,="3-22",.136,.227,0.091,0,2,0,0,6.9,6,.321,.548

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Sam Antonacci LHB,Batting First ​,="86-333",.258,.375,0.117,6,17,2,31,15.5,33,.356,.731
Chase Meidroth RHB,Batting First ​,="47-164",.287,.506,0.219,8,12,0,18,22.3,20,.364,.870
Munetaka Murakami LHB,Batting Second ​,="70-328",.213,.457,0.244,22,14,0,48,34.6,66,.348,.805
Miguel Vargas RHB,Batting Third ​,="94-375",.251,.469,0.218,20,22,0,49,18.5,64,.364,.833
Kyle Teel LHB,Batting Third ​,="5-22",.227,.545,0.318,2,1,0,9,33.3,2,.292,.837
Randal Grichuk RHB,Batting Fourth ​,="23-59",.390,.712,0.322,4,7,0,14,18.8,5,.438,1.150
Andrew Benintendi LHB,Batting Fourth ​,="21-95",.221,.379,0.158,3,6,0,13,19.0,9,.286,.665
Colson Montgomery LHB,Batting Fourth ​,="66-300",.220,.450,0.230,19,12,0,49,34.5,28,.301,.751
Braden Montgomery SHB,Batting Fifth ​,="21-107",.196,.280,0.084,1,4,1,11,18.3,13,.283,.563
Brenton Doyle RHB,Batting Seventh ​,="7-43",.163,.186,0.023,0,1,0,0,34.0,4,.234,.420
Tommy Pham RHB,Batting Eighth ​,="0-6",.000,.000,0.000,0,0,0,0,66.7,0,.000,.000
Tristan Peters LHB,Batting Eighth ​,="52-181",.287,.536,0.249,9,12,3,31,16.5,14,.338,.874
Jake Rogers RHB,Batting Ninth ​,="17-114",.149,.228,0.079,1,4,1,8,29.1,15,.248,.476
Luisangel Acuna RHB,Batting Ninth ​,="20-89",.225,.281,0.056,1,2,0,5,16.7,4,.263,.544
