Matchup,CWS @ MIN
Pitcher,Erick Fedde
Pitcher Team,CWS
Opposing Team,MIN

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.1,1.09,="4-25",.160,.400,0.240,2,0,0,3,13.3,4,.267,.667
Batting Second,4.1,3.69,="11-23",.478,1.348,0.870,6,0,1,9,14.3,5,.571,1.919
Batting Third,6.2,1.05,="5-24",.208,.417,0.209,1,2,0,5,11.1,2,.259,.676
Batting Fourth,5.0,1.80,="8-23",.348,.652,0.304,2,1,0,4,12.5,1,.375,1.027
Batting Fifth,6.0,1.50,="8-26",.308,.462,0.154,1,1,0,2,22.2,1,.333,.795
Batting Sixth,5.0,2.00,="6-21",.286,.286,0.000,0,0,0,3,19.2,4,.423,.709
Batting Seventh,5.2,1.59,="7-24",.292,.458,0.166,1,1,0,2,15.4,2,.346,.804
Batting Eighth,7.1,0.68,="3-22",.136,.136,0.000,0,0,0,1,16.0,2,.200,.336
Batting Ninth,5.1,1.13,="4-19",.211,.263,0.052,0,1,0,0,4.3,2,.318,.581

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Byron Buxton RHB,Batting First ​,="52-187",.278,.599,0.321,17,9,0,26,26.3,16,.341,.940
Trevor Larnach LHB,Batting Second ​,="25-89",.281,.337,0.056,0,5,0,5,18.6,13,.373,.710
Austin Martin RHB,Batting Second ​,="15-42",.357,.524,0.167,1,4,0,3,14.5,11,.491,1.015
Luke Keaschall RHB,Batting Third ​,="15-70",.214,.286,0.072,1,2,0,9,11.7,6,.273,.559
Josh Bell SHB,Batting Fourth ​,="18-98",.184,.214,0.030,0,3,0,8,26.2,7,.243,.457
Kody Clemens LHB,Batting Fifth ​,="14-55",.255,.436,0.181,2,4,0,3,16.9,2,.293,.729
Victor Caratini SHB,Batting Sixth ​,="8-56",.143,.268,0.125,2,1,0,8,22.9,6,.271,.539
Orlando Arcia RHB,Batting Seventh ​,="7-15",.467,.533,0.066,0,1,0,1,0.0,0,.467,1.000
Brooks Lee SHB,Batting Eighth ​,="29-75",.387,.627,0.240,4,6,0,20,17.1,5,.432,1.059
Tristan Gray LHB,Batting Ninth ​,="15-57",.263,.456,0.193,3,2,0,20,38.7,2,.279,.735
Alex Jackson RHB,Batting Ninth ​,="5-17",.294,.353,0.059,0,1,0,1,52.9,0,.294,.647
Ryan Kreidler RHB,Batting Ninth ​,="3-24",.125,.375,0.250,2,0,0,5,29.6,3,.222,.597
James Outman LHB,Batting Ninth ​,="10-46",.217,.348,0.131,0,4,1,3,36.2,1,.234,.582
