Matchup,CWS @ NYY
Pitcher,Carlos Rodon
Pitcher Team,NYY
Opposing Team,CWS

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,4.1,0.92,="2-15",.133,.400,0.267,1,1,0,1,35.3,2,.235,.635
Batting Second,3.0,2.67,="5-13",.385,.615,0.230,1,0,0,1,17.6,3,.500,1.115
Batting Third,3.2,1.91,="2-12",.167,.250,0.083,0,1,0,1,17.6,5,.412,.662
Batting Fourth,4.1,0.46,="0-13",.000,.000,0.000,0,0,0,0,46.7,2,.133,.133
Batting Fifth,2.1,2.57,="3-10",.300,.400,0.100,0,1,0,0,28.6,3,.500,.900
Batting Sixth,2.2,1.88,="3-11",.273,.273,0.000,0,0,0,1,30.8,2,.385,.658
Batting Seventh,4.1,0.23,="0-11",.000,.000,0.000,0,0,0,1,38.5,1,.077,.077
Batting Eighth,3.0,1.00,="3-12",.250,.417,0.167,0,2,0,4,8.3,0,.250,.667
Batting Ninth,3.1,0.30,="0-9",.000,.000,0.000,0,0,0,1,9.1,1,.091,.091

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Sam Antonacci LHB,Batting First ​,="32-112",.286,.357,0.071,1,5,0,7,18.9,9,.385,.742
Chase Meidroth RHB,Batting First ​,="28-107",.262,.430,0.168,4,6,0,10,21.4,10,.325,.755
Miguel Vargas RHB,Batting Third ​,="37-154",.240,.468,0.228,9,8,0,24,18.2,28,.366,.834
Colson Montgomery LHB,Batting Fourth ​,="41-192",.214,.448,0.234,12,9,0,29,32.7,18,.304,.752
Everson Pereira RHB,Batting Fifth ​,="3-28",.107,.179,0.072,0,2,0,2,29.0,1,.161,.340
Braden Montgomery SHB,Batting Fifth ​,="3-18",.167,.278,0.111,0,2,0,1,21.1,1,.211,.489
Edgar Quero SHB,Batting Fifth ​,="4-39",.103,.205,0.102,1,1,0,6,26.5,7,.224,.429
Randal Grichuk RHB,Batting Sixth ​,="7-26",.269,.385,0.116,0,3,0,4,29.6,0,.259,.644
Andrew Benintendi LHB,Batting Sixth ​,="21-70",.300,.443,0.143,2,4,0,9,19.0,7,.359,.802
Jacob Gonzalez LHB,Batting Sixth ​,="5-17",.294,.471,0.177,1,0,0,4,26.3,2,.368,.839
Tristan Peters LHB,Batting Eighth ​,="18-73",.247,.425,0.178,2,3,2,11,18.3,7,.313,.738
Luisangel Acuna RHB,Batting Ninth ​,="9-55",.164,.182,0.018,0,1,0,3,17.7,4,.230,.412
Drew Romo SHB,Batting Ninth ​,="8-52",.154,.327,0.173,2,3,0,5,23.0,9,.279,.606
