Matchup,DET @ NYY
Pitcher,Casey Mize
Pitcher Team,DET
Opposing Team,NYY

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,8.1,0.84,="5-29",.172,.414,0.242,1,4,0,3,35.5,2,.226,.640
Batting Second,6.2,1.35,="7-27",.259,.333,0.074,0,2,0,3,23.3,2,.333,.666
Batting Third,8.1,0.84,="4-26",.154,.308,0.154,1,1,0,2,20.7,3,.241,.549
Batting Fourth,8.1,0.60,="4-27",.148,.185,0.037,0,1,0,0,28.6,1,.179,.364
Batting Fifth,5.2,1.41,="7-25",.280,.520,0.240,1,3,0,3,18.5,1,.296,.816
Batting Sixth,5.1,1.50,="7-23",.304,.478,0.174,1,1,0,2,41.7,1,.333,.811
Batting Seventh,5.1,1.13,="4-19",.211,.263,0.052,0,1,0,3,27.3,2,.273,.536
Batting Eighth,5.2,0.53,="2-19",.105,.158,0.053,0,1,0,0,20.0,1,.150,.308
Batting Ninth,3.2,2.45,="8-19",.421,.632,0.211,0,4,0,0,5.0,1,.450,1.082

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Paul Goldschmidt RHB,Batting First ​,="26-78",.333,.641,0.308,6,4,1,15,16.7,11,.422,1.063
Ben Rice LHB,Batting Second ​,="42-154",.273,.545,0.272,10,8,2,26,21.2,15,.335,.880
Cody Bellinger LHB,Batting Fourth ​,="36-148",.243,.432,0.189,6,10,0,23,15.4,25,.349,.781
Jasson Dominguez SHB,Batting Fourth ​,="2-19",.105,.158,0.053,0,1,0,1,19.0,2,.190,.348
Jazz Chisholm Jr. LHB,Batting Fifth ​,="26-122",.213,.402,0.189,6,5,0,14,23.4,17,.305,.707
Amed Rosario RHB,Batting Sixth ​,="10-31",.323,.581,0.258,2,2,0,5,21.2,2,.364,.945
Spencer Jones LHB,Batting Sixth ​,="9-32",.281,.438,0.157,1,2,0,3,40.5,5,.378,.816
Oswaldo Cabrera SHB,Batting Seventh ​,="0-3",.000,.000,0.000,0,0,0,0,25.0,0,.000,.000
Jose Caballero RHB,Batting Eighth ​,="19-79",.241,.380,0.139,2,5,0,8,23.5,5,.294,.674
Max Schuemann RHB,Batting Eighth ​,="5-15",.333,.533,0.200,0,3,0,3,21.1,4,.474,1.007
Anthony Volpe RHB,Batting Eighth ​,="10-40",.250,.450,0.200,1,3,1,9,18.0,10,.400,.850
Ali Sanchez RHB,Batting Ninth ​,="6-20",.300,.400,0.100,0,2,0,3,31.8,1,.364,.764
Austin Wells LHB,Batting Ninth ​,="11-88",.125,.159,0.034,1,0,0,3,28.1,8,.198,.357
